Testament,Book,Chapter,Verse,Content
"New","40","1","1","Ибраһим һәм Дауыт тоҡомонан булған Ғайса Мәсихтең нәҫел шәжәрәһе."
"New","40","1","2","Ибраһим Исхаҡтың, Исхаҡ Яҡубтың, Яҡуб Йәһүҙәнең һәм уның ағай-энеләренең атаһы;"
"New","40","1","3","Йәһүҙә Фамарҙан тыуған Фарес һәм Зерахтың атаһы; Фарес Есромдың, Есром Арамдың,"
"New","40","1","4","Арам Аминадавтың, Аминадав Наассондың, Наассон Салмондың,"
"New","40","1","5","Салмон Рахавтан тыуған Воостың, Воос Руфтан тыуған Овидтың, Овид Иессейҙың,"
"New","40","1","6","Иессей Дауыт батшаның атаһы ине; Дауыт Урияның ҡатынынан тыуған Сөләймәндең,"
"New","40","1","7","Сөләймән Ровоамдың, Ровоам Авияның, Авия Асаның,"
"New","40","1","8","Аса Иосафаттың, Иосафат Иорамдың, Иорам Озияның,"
"New","40","1","9","Озия Иоафамдың, Иоафам Ахаздың, Ахаз Езекияның,"
"New","40","1","10","Езекия Манассияның, Манассия Амондың, Амон Иосияның атаһы ине;"
"New","40","1","11","Израиль халҡы көсләп Вавилонға күсерелгән дәүерҙә Иосияның улы Иоаким һәм уның ағай-энеләре тыуҙы."
"New","40","1","12","Вавилонға көсләп күсерелгәндән һуң Иоакимдың улы Салафиил тыуҙы. Салафиил Зоровавелдең,"
"New","40","1","13","Зоровавель Авиудтың, Aвиуд Елиакимдың, Елиаким Азорҙың,"
"New","40","1","14","Азор Садоктың, Садок Ахимдың, Ахим Елиудтың,"
"New","40","1","15","Елиуд Елеазарҙың, Елеазар Матфандың, Матфан Яҡубтың,"
"New","40","1","16","Яҡуб — Мәрйәмдең ире Йософтоң атаһы ине. Мәрйәмдән Мәсих тип аталған Ғайса тыуҙы."
"New","40","1","17","Шулай итеп, Ибраһимдан Дауытҡа тиклем бөтәһе ун дүрт быуын, Дауыттан алып Вавилонға көсләп күсерелгән ваҡытҡа тиклем ун дүрт быуын һәм Вавилонға күсерелеп, Мәсих тыуғанға тиклем ун дүрт быуын булды."
"New","40","1","18","Ғайса Мәсихтең тыуыуы былай: әсәһе Мәрйәм Йософ менән йәрәшелгән була, әммә улар өйләнешкәнсе үк Мәрйәмдең Изге Рухтан балаға ҡалғаны асыҡлана."
"New","40","1","19","Ире Йософ иһә, тәҡүә кеше булараҡ, Мәрйәмде оятҡа ҡалдырмаҫ өсөн, йәрәшеүҙе йәшерен генә өҙөргә ниәтләй."
"New","40","1","20","Ошо турала уйлағандан һуң, төшөнә Раббы фәрештәһе инә. — Дауыт нәҫеленән булған Йософ, Мәрйәмде кәләш итеп алырға ҡурҡма! — ти ул. — Уның ҡарынындағы Бала Изге Рухтан яралды."
"New","40","1","21","Мәрйәм Ир Бала табыр һәм һин Уға Ғайса тип исем ҡушырһың, сөнки Ул Үҙенең халҡын гонаһтарҙан ҡотҡарасаҡ."
"New","40","1","22","Былар барыһы ла Раббының пәйғәмбәр аша:"
"New","40","1","23","«Бына ғиффәтле ҡыҙ ауырға ҡалыр һәм ир бала табыр. Уға Еммануил тип исем ҡушырҙар», — тигән һүҙҙәре ғәмәлгә ашһын өсөн булды. «Еммануил» «Алла беҙҙең менән» тигәнде аңлата."
"New","40","1","24","Йософ, йоҡоһонан уянғас, Раббы фәрештәһе ҡушҡанды үтәй: ул Мәрйәмгә өйләнә."
