Testament,Book,Chapter,Verse,Content
"New","40","1","1","Кніга радаводу Ісуса Хрыста, cына Давідавага, сына Аўраамавага."
"New","40","1","2","Аўраам спарадзіў Ісаака; Ісаак спарадзіў Якава; Якаў спарадзіў Юду і братоў яго;"
"New","40","1","3","Юда спарадзіў Фарэса і Зару ад Фамары; Фарэс спарадзіў Эсрома; Эсром спарадзіў Арама;"
"New","40","1","4","Арам спарадзіў Амінадава; Амінадаў спарадзіў Наасона; Наасон спарадзіў Салмона;"
"New","40","1","5","Салмон спарадзіў Ваоза ад Рахавы; Ваоз спарадзіў Авіда ад Руфі;"
"New","40","1","6","Авід спарадзіў Ясея; Ясей спарадзіў Давіда цара; Давід цар спарадзіў Салямона ад Ур’явай;"
"New","40","1","7","Салямон спарадзіў Раваама; Раваам спарадзіў Авію; Авія спарадзіў Асу;"
"New","40","1","8","Аса спарадзіў Ясафата; Ясафат спарадзіў Ярама; Ярам спарадзіў Озію;"
"New","40","1","9","Озія спарадзіў Яфама; Яфам спарадзіў Ахаза; Ахаз спарадзіў Язэкію;"
"New","40","1","10","Язэкія спарадзіў Манасію; Манасія спарадзіў Амона; Амон спарадзіў Іосію;"
"New","40","1","11","Іосія спарадзіў Якіма; Якім спарадзіў Яхоньню ды братоў яго, перад перасяленьнем у Вавілон."
"New","40","1","12","Пасьля-ж перасяленьня ў Вавілон Яхоньня спарадзіў Саляфііла; Саляфііл спарадзіў Зарававэля;"
"New","40","1","13","Зарававэль спарадзіў Авіуда; Авіуд спарадзіў Эліакіма; Эліакім спарадзіў Азора;"
"New","40","1","14","Азор спарадзіў Садока; Садок спарадзіў Ахіма; Ахім спарадзіў Эліуда;"
"New","40","1","15","Эліуд спарадзіў Элеазара; Элеазар спарадзіў Матфана; Матфан спарадзіў Якава;"
"New","40","1","16","Якаў спарадзіў Язэпа, мужа Марыі, ад каторай нарадзіўся Ісус, называны Хрыстос."
"New","40","1","17","Гэтак усіх радоў ад Аўраама да Давіда чатырнаццаць радоў; і ад Давіда да перасяленьня ў Вавілон чатырнаццаць радоў; і ад перасяленьня ў Вавілон да Хрыста чатырнаццаць радоў."
"New","40","1","18","Ражство Ісуса Хрыста было вось як: па заручынах маткі Яго Марыі з Язэпам, раней іхняга вясельля, выявілася, што яна цяжарная ад Духа Сьвятога."
"New","40","1","19","Язэп жа, муж яе, будучы праведным і ня хочучы агаласіць яе, хацеў тайком адпусьціць яе."
"New","40","1","20","Але, калі ён падумаў гэтае, вось Ангел Гасподні зьявіўся яму ўва сьне і сказаў: Язэп, сын Давідаў! Ня бойся прыняць Марыю, жонку тваю, бо зарадзіўшаеся ў ёй ёсьць ад Духа Сьвятога;"
"New","40","1","21","вось жа народзіць Сына, і дасі Яму імя Ісус, бо Ён спасе людзей Сваіх ад грахоў іх."
"New","40","1","22","А ўсё гэтае здарылася, каб збылося сказанае Госпадам праз прарока, які кажа:"
"New","40","1","23","вось Дзяўчына прыйме ў нутро і народзіць Сына; і дадуць Яму імя Эмануіл, гэта значыць: з намі Бог. (Ісая 7:1)"
"New","40","1","24","Устаўшы зо-сну, Язэп зрабіў, як загадаў яму Ангел Гасподні, і прыняў жонку сваю,"
"New","40","1","25","і ня ведаў яе, ажно нарадзіла Сына свайго першароднага, і ён даў Яму імя: Ісус."
"New","40","2","1","Калі-ж Ісус нарадзіўся ў Віфляеме Юдэйскім у дні цара Ірада, прыйшлі ў Ерузалім магі з усходу і кажуць:"
"New","40","2","2","Дзе народжаны Цар Юдэйскі? бо мы бачылі зорку Яго на ўсходзе і прыйшлі пакланіцца Яму."
"New","40","2","3","Пачуўшы гэтае, Ірад цар занепакоіўся і ўвесь Ерузалім з ім."
"New","40","2","4","I, сабраўшы ўсіх архірэяў і кніжнікаў народных, пытаўся у іх: дзе належа нарадзіцца Хрысту?"
"New","40","2","5","Яны-ж сказалі яму: у Віфляеме Юдэйскім, бо гэтак напісана праз прарока:"
"New","40","2","6","I ты, Віфляем, зямля Юдзіна, нічым ня меншы за ваяводзтвы Юдавы, бо з цябе выйдзе Правадыр, Каторы ўпасе народ Мой Ізраільскі. (Міх 5:2)"
"New","40","2","7","Тады Ірад, тайком прыклікаўшы магаў, выведаў ад іх час зьяўленьня зоркі."
"New","40","2","8","I, паслаўшы іх у Віфляем, сказаў: пайдзеце, добра разьведайце пра Дзіцятка і, калі знойдзеце, паведаміце мяне, каб і мне пайсьці пакланіцца Яму."
"New","40","2","9","Яны, выслухаўшы цара, пайшлі. I вось зорка, якую бачылі яны на ўсходзе, ішла перад імі, пакуль нарэшце прыйшоўшы не супынілася над месцам, дзе было Дзіця."
"New","40","2","10","Угледзіўшы-ж зорку, яны ўзрадаваліся вялікаю радасьцяй."
"New","40","2","11","І, увайшоўшы ў дом, убачылі Дзіцятка з Марыяй, маткаю Яго, і ўпаўшы пакланіліся Яму; і, адчыніўшы скарбы сваі, прынясьлі Яму падарункі: золата, ладан і сьмірну."
"New","40","2","12","I, меўшы ў Сьне наказ ад Бога не варочацца да Ірада, іншым шляхам адыйшлі ў старану сваю."
"New","40","2","13","Калі-ж яны адыйшлі, вось, Ангел Гасподні зьяўляецце ў сьне Язэпу і кажа: устань, вазьмі Дзіця і матку Яго і бяжы ў Эгіпет і будзь там, дакуль не скажу табе; бо Ірад хоча шукаць Дзіцятка, каб загубіць Яго."
