Testament,Book,Chapter,Verse,Content
"New","40","1","1","Kniha rodu Ježíše Krista, syna Davidova, syna Abrahamova,"
"New","40","1","2","Abraham zplodil Isáka, Isák zplodil Jakuba, Jakub zplodil Judu a bratry jeho."
"New","40","1","3","Juda pak zplodil Faresa a Zaru z Tamary, Fares zplodil Esrona, Esron zplodil Arama,"
"New","40","1","4","Aram zplodil Aminadaba, Aminadab zplodil Naasona, Naason zplodil Salmona,"
"New","40","1","5","Salmon zplodil Booza z Rahaby. Booz pak zplodil Obéda z Ruty. Obéd zplodil Jessea."
"New","40","1","6","Jesse zplodil Davida krále, David pak král zplodil Šalomouna z té, která bývala Uriášovou,"
"New","40","1","7","Šalomoun zplodil Roboama, Roboam zplodil Abiama, Abiam zplodil Asu,"
"New","40","1","8","Asa zplodil Josafata, Josafat zplodil Jorama, foram zplodil OziáŠe,"
"New","40","1","9","Oziáš zplodil Joatama, Joatam zplodil Achaza, Achaz zplodil Ezechiáše,"
"New","40","1","10","Ezechiáš zplodil Manassa, Manasses zplodil Amona, Amon zplodil Josiáše,"
"New","40","1","11","Josiáš pak zplodil Jechoniáše a bratry jeho za stěhování babylonského."
"New","40","1","12","A po stěhování babylonském Jechoniáš zplodil Salatiele, Salatiel zplodil Zorobábele,"
"New","40","1","13","Zorobábel zplodil Abiuda, Abiud zplodil Eliakima, Eliakim zplodil Azora,"
"New","40","1","14","Azor zplodil Sadoka, Sadok zplodil Achima, Achim zplodil Eliuda,"
"New","40","1","15","Eliud zplodil Eleazara, Eleazar zplodil Matana, Matan zplodil Jakuba,"
"New","40","1","16","Jakub pak zplodil Josefa, muže Marie, z níž se narodil Ježíš, jenž slove Kristus."
"New","40","1","17","Všech tedy rodů od Abrahama až do Davida bylo čtrnáct, od Davida až do stěhování babylonského rodů čtrnáct a od stěhování babylonského až do Krista rodů čtrnáct."
"New","40","1","18","Kristovo narození stalo se takto: Když matka jeho, Maria, byla zasnoubena Josefovi, nalezena jest prve než se sešli, těhotnou z Ducha svatého."
"New","40","1","19","Josef pak, muž její, jsa spravedlivý, a nechtěje postaviti ji na odiv, odhodlal se propustiti jí tajně."
"New","40","1","20","Když však o tom přemýšlel, hle, anděl Páně ukázal se mu ve snách a řekl: „Josefe, synu Davidův, neboj se přijmouti Marii, manželku svou; neboť co se v ní počalo, z Ducha svatého jest."
"New","40","1","21","Porodí pak syna a nazveš jméno jeho Ježíš (Spasitel), neboť on spasí lid svůj od hříchů jejich.“"
"New","40","1","22","Toto pak všecko stalo se, aby se naplnilo, co bylo pověděno od Pána skrze proroka slovy:"
"New","40","1","23","„Aj, panna počne a porodí syna a nazvou ho jménem Emanuel“, to jest (v překladě) „S námi Bůh.“"
"New","40","1","24","Probudiv se pak Josef ze sna, učinil, jak mu přikázal anděl Páně. I přijal manželku svou,"
"New","40","1","25","ale nepoznal ji, až porodila syna svého prvorozeného, a nazval jméno jeho Ježíš."
"New","40","2","1","Když tedy Ježíš narodil se v Betlemě judském za dnů Heroda krále, hle mudrci od východu přišli do Jerusalema,"
"New","40","2","2","řkouce: „Kde jest ten novorozený král židovský? Neboť viděli jsme hvězdu jeho na východě, i přišli jsme poklonit se jemu.“"
"New","40","2","3","Uslyšev to král Herodes, vzrušil se, a všechen Jerusalem s ním."
"New","40","2","4","I shromáždiv všecky velekněze a znalce Písma v lidu, tázal se jich, kde se má Vykupitel naroditi."
"New","40","2","5","Oni pak řekli jemu: „V Betlemě judském; neboť takto jest psáno skrze proroka:"
"New","40","2","6","A ty, Betleme, území judské, nikoli nejsi nejmenší mezi knížecími městy judskými: neboť z tebe vyjde vévoda, který bude spravovat lid můj israelský.“"
"New","40","2","7","Tu Herodes, povolav tajně mudrce, vyptal se jich bedlivě na čas, kdy hvězda svítila,"
"New","40","2","8","a poslav je do Betlema, řekl: „jděte a ptejte se pilně po dítěti a když je naleznete, zvěstujte mi, abych i já přijda poklonil se jemu.“"
"New","40","2","9","Oni pak vyslechnuvše krále, odjeli; a hle, hvězda, kterou byli uzřeli na východě, předcházela je, až přišedši stanula nad místem, kde bylo dítě."
"New","40","2","10","Uzřevše hvězdu, zaradovali se radostí velmi velikou."
"New","40","2","11","I vešedše do domu, nalezli dítko s Marií, matkou jeho, a padše, klaněli se jemu, a otevřevše poklady své, obětovali mu dary: zlato, kadidlo a myrrhu."
"New","40","2","12","A dostávše napomenutí ve snách, aby se nevraceli k Herodovi, navrátili se jinou cestou do země své."
