Testament,Book,Chapter,Verse,Content
"New","40","1","1","Kitap de kuat ke Yecu Kritho, wen e Dabid, Dabid e Abraɣam."
"New","40","1","2","Abraɣam ee Yithak dhieth; ku dhieth Yithak Jakob; ku dhieth Jakob Juda ku watmathken;"
"New","40","1","3","ku dhieth Juda Peredh ku Dhera de Tamar; ku dhieth Peredh Kedhron; ku dhieth Kedhron Aram;"
"New","40","1","4","ku dhieth Aram Aminadap; ku dhieth Aminadap Nacɔn; ku dhieth Nacɔn Thalmon;"
"New","40","1","5","ku dhieth Thalmon Boadh de Rakab; ku dhieth Boadh Obed de Ruth; ku dhieth Obed Jethe;"
"New","40","1","6","ku dhieth Jethe Dabid melek. Ku dhieth Dabid Tholomon ne tiŋ ne ci kan ya tiŋ de Uria;"
"New","40","1","7","ku dhieth Tholomon Rekoboam; ku dhieth Rekoboam Abija; ku dhieth Abija Atha;"
"New","40","1","8","ku dhieth Atha Jekocapat; ku dhieth Jekocapat Joram; ku dhieth Joram Udhia;"
"New","40","1","9","ku dhieth Udhia Jotham; ku dhieth Jotham Akadh; ku dhieth Akadh Kedhekia;"
"New","40","1","10","ku dhieth Kedhekia Manathe; ku dhieth Manathe Amon; ku dhieth Amon Jothia;"
"New","40","1","11","ku dhieth Jothia Jekonia; ku watmathken, ne run e lere kɔc Babulon."
"New","40","1","12","Ku na ci kɔc laar Babulon, ke Jekonia dhieth Calathiel; ku dhieth Calathiel Dhorobabel;"
"New","40","1","13","ku dhieth Dhorobabel Abiud; ku dhieth Abiud Eliakim; ku dhieth Eliakim Adhor;"
"New","40","1","14","ku dhieth Adhor Thadok; ku dhieth Thadok Acim; ku dhieth Acim Eliud;"
"New","40","1","15","ku dhieth Eliud Eleadhar; ku dhieth Eleadhar Mathan; ku dhieth Mathan Jakob;"
"New","40","1","16","ku dhieth Jakob Jothep mony de Mari, man ci Yecu dhieth, ci cɔɔl Kritho."
"New","40","1","17","Yen kuat kedhia ne Abraɣam agut Dabid aaye thiɛr ku ŋuan; ku ne Dabid agut leer de kɔc Babulon aaye thiɛr ku ŋuan; ku ne leer de kɔc Babulon agut Kritho aaye thiɛr ku ŋuan."
"New","40","1","18","Dhiɛ th de Yecu Kritho ee yinla: na ci man Mari koot ne Jothep, aŋootki e ke ken guɔ reer, go yo k ke liac ne meth ne Jɔŋdiit Lajik."
"New","40","1","19","Ku Jothep monyde, ee ye ran piath, ku cin piɔu bi caath guɔ p, nɔŋ piɔu bi nyaai neluɔɔŋ."
"New","40","1","20","Ku te tɛk en keekake, ŋɛmka, go malaika de Bɛnydit tuɔl enɔŋ en ne nyuɔ th, jiɛm, Ye Jothep, wen de Dabid, duɔne riɔc ne leer de tiŋdu Mari: ke liɛc en ee ke de Jɔŋdiit Lajik."
"New","40","1","21","Kabi wa dhieth, ku kabin rinke ca k cɔ k ye Yecu: yeneka bi kɔ c ke luɔ k ne karɛ c ken."
"New","40","1","22","Keekake kedhia aa loi bi ke ci luel ne Nhialic ne thoŋ de nebi bi ya yi c, jiɛm,"
"New","40","1","23","Ye ŋɛmka, dhueny ken thɔny ke roor abi liac, ku kabi wa dhieth, Ku kabi k ca k cɔ k ki ye Emanuel; te luele yen ne thoŋda, ke ye, Nhialic ee tɔ ke wɔ."
"New","40","1","24","Go Jothep rɔ t jɔ t ne ninic, ku loi ci man cene ye lɛk e ne malaika de Bɛnydit, loom tiŋde;"
"New","40","1","25","ku ci k thɔny agut te dhieth en wa: ku jɔl rinke cɔɔl Yecu."
"New","40","2","1","Na ci Yecu dhieth ne Bethlekem de Judaya ne run ke Kerod melek, ŋɛmka, go roor nyic kaŋ goki bɛn piny ciɛn biki Jeruthalem,"
"New","40","2","2","ku thiecki, Yi tɔ Meleŋ de Judai ne piɔc dhieth teno? Cierde acu k ŋem ciɛn, a wɔ bɔ bu k bi door."
"New","40","2","3","Na ci Kerod melek ye piŋ, go nom diaŋ kene kɔ c ke Jeruthalem kedhia."
"New","40","2","4","Go banydi t ke ka ke Nhialic ku dugɛɛr ke kɔc cɔ k gueer kedhia, ku thiec keek ye bi Kritho dhieth teno?"
"New","40","2","5","Goki yɔɔk, Yi ne Bethlekem de Judaya: yenekee gɔɔr ne nebii,"
"New","40","2","6","Ya yin Bethlekem, pan de Juda, Yin cie can de bany ke Juda: Yin eka bii gabana bɛn bei ne yiyic, Yen man bi ya dubioŋ de Yithrael jurdie."
"New","40","2","7","Go Kerod roor nyic kaŋ cɔɔl neluɔɔŋ, ku piŋ te tule cier enɔŋ keek apiath."
"New","40","2","8","Ku cɔ k ke lɔ Bethlekem, ku jiɛm, Ye la k lɔ thiecka te de yemɛnhe apiath; ku na ca k ye yo k, ke we yiɛnka ɣa thok, ba lɔ door eya."
"New","40","2","9","Na ci k wel ke melek piŋ, goki lɔ ɣɔu dhol; ku ŋɛmka, cier ci k ŋem ciɛn ee ke ŋɔɔr, agut te jɔl en ɣeet ku kɛɛc nhial te tɔ meth thin."
"New","40","2","10","Na yi ŋemki cier, goki piɔ th lɔyum ne yum dit."
"New","40","2","11","Ku bi k ɣo t, goki meth yo k kene man Mari; goki kenhiɔl tu k ku dorki; ku liepki weuken miɔcki ne luŋ de jini, ku libano ku wal nyir."
"New","40","2","12","Ku nyiine keek ne Nhialic ne nyuɔ th duɔke ke bi dhu k enɔŋ Kerod, goki dhu k panden ne dhol dɛ."
"New","40","2","13","Te ci k ke k jaal, ŋɛmka, go malaika de Bɛnydit tuɔl enɔŋ Jothep ne nyuɔ th, jiɛm, Ye jɔt rɔt, laare meth kene man, riɛŋe Yijep, ku tɔ eeti agut te ban yi yɔɔk: Kerod abi mɛnhthi kɔɔr bi nɔ k."
"New","40","2","14","Go rɔ t jɔ t, ku loom meth ku man wakɔu, leki Yijep;"
"New","40","2","15","ku tɔki eeti agut te thou e Kerod; bi ke e ci Bɛnydit luel ne thoŋ de nebi bi ya yi c, jiɛm, Ye wendie aca cɔɔl bei ne Yijep."
"New","40","2","16","Go Kerod, te cen rɔ t ŋem ke cii kɔ c nyic kaŋ muɔny, go ɣok areet, ku tu c, ye nɛk mi th ye roor kedhia tɔ ne Bethlekem ku bɛi thiaak kene ye kedhia, dhuɔ k ci run ya rou ku ka kuany kecok, ci man e cen e thiec apiath enɔŋ kɔ c nyic kaŋ."
"New","40","2","17","Go ke cii nebi Jeremia luel ya yi c, jiɛm,"
"New","40","2","18","Ye ror ee piŋ ne Rama, Dhieu ku wuɔi dit, Racel adhiau ne mi th ke, Ku cii duɔt e piɔu gam, ne liuden."
"New","40","2","19","Ku te ci Kerod thou, ke ŋɛmka, malaika de Bɛnydit ee tuɔl ne nyuɔ th enɔŋ Jothep ne Yijep,"
"New","40","2","20","jiɛm, Ye jɔ t rɔ t, lom mɛnhthi kene man, ku laka piny de Yithrael: kɔ c eke nɔŋ piɔ th bi k mɛnhthi nɔ k aa thou."
"New","40","2","21","Go rɔ t jɔ t, loom mɛnhthi kene man, leki piny de Yithrael."
"New","40","2","22","Na ci e piŋ ke Arkelao ci lɔɔk ne thony de wun Kerodic ne ceŋ ne Judaya, go riɔc ne lɔ eeti: ku ci nyiɛn ne Nhialic ne nyuɔ th, go yei piny de Galili:"
"New","40","2","23","bii ku ceŋ pan cɔl Nadhareth: bi ke cii nebi luel bi ya yi c, ye kabi ya cɔɔl ran de Nadhareth."
"New","40","3","1","Na ɣɔn ne keeakolke ke Jɔn Baptith bɔ weet kɔc roŋ de Judaya,"
"New","40","3","2","jiɛm, Ye wɛlka wepiɔ th, ceŋ de Nhialic ee ɣeet."
"New","40","3","3","Yenekee ci luel ɣɔn ne nebi Yithaya, jiɛm, Ye ror de toŋ ye coot roor, Ye juɛrka dhol de Bɛnydit, Ca k ka dhɔlke lacith."
"New","40","3","4","Ku Jɔn ee ye ceŋ ne alanh ci cuec ne nhim ke thɔrɔt, ku laak e ethar; ku yee cam ne kɔriɔm ku mio k de ciɛc ye yo k roki c."
"New","40","3","5","Go raan ebɛn ya lɔ enɔŋ en de Jeruthalem, ku Judaya, ku piny ebɛn yuil Jordan;"
"New","40","3","6","go ke baptith ne Jordan e ke gam karɛ c ken."
"New","40","3","7","Te ŋem en kɔ c ke Parithai ku Thadokai e ke bɔ bi ke baptith ne yen, go ke yɔɔk, Ye we kuan de karoor, ŋa ci we nyiɛn ba k kɛ t wei ne ɣok bi bɛn?"
"New","40","3","8","Yen yaka luɔ k apiath ne wei de piɔu:"
"New","40","3","9","ku duɔka ye luel ne tɛŋ de wepiɔ th, Wuɔ wɔ nɔŋ Abraɣam awada: we ya yɔɔk, Ya Nhialic aleu keekurke ne cak e ke ye mi th ke Abraɣam."
"New","40","3","10","Ku ye p athiɔ k emane bene mei ke tiim dac ye p: yen tim ebɛn cie luɔ k apiath aye dac yɛ p piny ku cuɛ t e mɛɛc."
"New","40","3","11","We ya baptith ne piu ba k wepiɔ th wel: ku yen man biɔth acok yeneka rir ne ɣɛn, an ce piath a ɣan ce wɛrke muk: yeneka bi we baptith ne Jɔŋdiit Lajik kene mac:"
"New","40","3","12","amuk akɔ t ne yeciin, ku kabi pinyde weec apiath; ku kabi rɛ p ke kuɔ t gu k, ku ayiɛl abi nyo p ne many ce leu ne piɔ k."
"New","40","3","13","Go Yecu jaal ne Galili bii Jordan, bi bi baptith ne Jɔn."
"New","40","3","14","Go Jɔn peen, jiɛm, Ye yin ŋaŋ ba a baptith, ku bɛɛre bɛn enɔŋ ɣa?"
"New","40","3","15","Go Yecu gam, ku yook, Ye ne tɔ yeya emane: yeluɔine aye wɔ pia th ebɛn cɔ k ye yi c. Go gam e."
"New","40","3","16","Ku te cene Yecu baptith, go dac bɛn bei ne piui c, go nhial eyic liɛp e, go Jɔŋdiit de Nhialic, ŋem ne bɔ piny ke ci t guɔ p kure, ku nyuuc ne yenom,"
"New","40","3","17","go ror bɛn bei nhial, jiɛm, Ye yekene kee Wendiɛn nhiar, amiɛ t Ɣan piɔu."
"New","40","4","1","Ɣɔn ke Yecu leere Jɔŋdit roor bii durie th lɔ them."
"New","40","4","2","Ku te cen thieel ne akol yi c keethiɛrŋuan ku weer yi c keethiɛrŋuan, ke jɔl kuk."
"New","40","4","3","Go duthem bɛn ku yook, Ye na ye Wen de Nhialic, ke yin yɔɔke keekurke bi k ya cuin."
"New","40","4","4","Go dhu k jiɛm, Ye kee gɔɔr, Ya raan aci bi ya piir ne cuin nyin yetok, ee ya wɛ t ebɛn wɛ t ye bɛn bei ne Nhialic thok."
"New","40","4","5","Go durie th laar pandiit lajik; ku tɛɛu ne yekalu nom tethoi,"
"New","40","4","6","ku yook, Ye na ye Wen de Nhialic, ke yin cua t e rɔ t piny: ee gɔɔr, Ya kabi malaikaike cɔ k ye yi ŋem apiath: Ku bi k yi ya muɔ k nhial ne kecin, Kɛlke yin bii kuur kaak cok piny ne dhuŋ."
"New","40","4","7","Go Yecu bɛɛr yɔɔk, Ye kee gɔɔr, Ya duɔne Nhialic Bɛnydiitdu duɔne ye them."
"New","40","4","8","Go durie th bɛɛr laar ne kuur baar areet nom, ku nyu th ceŋ de piny ebɛn, ku dheeŋden;"
"New","40","4","9","ku yook, Ye keekake kedhia aabake yiɛn yin, te bin yinhiɔl tu k ne anom ku dor a."
"New","40","4","10","Go Yecu yɔɔk, Ye nyai, Catan: ee gɔɔr, Ya yin bi Bɛnydit Nhialinydu aba ya door, ku kede yetok eka ba ya loi."
"New","40","4","11","Go durie th jal puɔl; ku ŋɛmka, malaikai kaa bɛn, ku konyki."
"New","40","4","12","Na ɣɔn ye piŋ gɛm de Jɔn, go jaal ne Galili;"
"New","40","4","13","ku pɛl Nadhareth, bii ku ceŋ ne Kapernaum, pan thiaak ke bardit, ne aken de Dhebulun thok ke Naptali:"
"New","40","4","14","bi ke ci luel ne Yithaya nebi bi ya yi c, jiɛm,"
"New","40","4","15","Ye piny de Dhebulun, ku piny de Naptali, Te lɔ bardit, ne Jordan lɔŋti, Galili de Juurkɔk,"
"New","40","4","16","Kɔ c ye reer ne cuɔlic Aa ɣɛɛr dit ŋem, Ku kɔ c rɛɛr piny de thou ku tiɛ p de, Keeka ci ɣɛɛr ke tuɔl."
"New","40","4","17","Yekole ekee gɔle Yecu weet, ye jam, Ye wɛlka wepiɔ th, ceŋ nhial ee ɣeet."
"New","40","4","18","Ku te ciɛ th e Yecu ne bar yɔu de Galili, ke ŋem ŋɛ k ke manhe, Thimon ci cɔɔl Petero ku manhe Andereya, e ke deep alɛɛth bɛɛr; aake ye kɔ c ke dɛ p de rec."
"New","40","4","19","Go ke yɔɔk, Ye biathka ɣa, ku we bake cɔ k ye adeep ke kɔc."
"New","40","4","20","Goki alɛɛthken dac waan, ku biɔthki cok."
"New","40","4","21","Ku beer ye jiɛl etɛɛn, ke beer yi ŋɛ k ke manhe ŋem, Jakob wen de Dhebedayo ku manhe Jɔn, ne tɔ riɛi kene Dhebedayo wuɔnden, e ke ruk alɛɛthken; go ke cɔɔl."
"New","40","4","22","Goki riai dac waan kene wuɔnden, ku biɔthki cok."
"New","40","4","23","Go Yecu piny de Galili caath ebɛn, yee kɔc piɔc ne lue k ken ke gueer yi c, ku yee ke wɛɛt ne welpiɛ th ke ceŋ, ku cɔ k kɔc cɔ k dem ne bec ebɛn ku tɔɔk ebɛn."
"New","40","4","24","Go thoŋde lɔ ne Thuriaic ebɛn: goki yiɛn kɔ c tok kedhia, cike mu k ne benye ke benye ku kaluc ke, ku ci ke dɔm ne ja k rac, ku nok, ku keu, ku adhiɛɛk; go ke cɔ k dem kedhia."
"New","40","4","25","Go biɔth cok ne duut ne Galili, ku Dekapoli, ku Jeruthalem, ku Judaya, ku Jordan lɔŋti."
"New","40","5","1","Na ci duut ŋem, ke lɔ ne kuur nom: ela ci nyuc, ke kɔ c piocke bɔ enɔŋ en:"
"New","40","5","2","go yethok kue k pioc keek, jiɛm,"
"New","40","5","3","Ye kɔ c ye ŋɔŋ ne tip aaye thiei: ceŋ nhial ee keden."
"New","40","5","4","Kɔ c ye alɔjeth ke nɔ k aaye thiei: aabike ya duut piɔ th."
"New","40","5","5","Kɔ c ye piɔ th kuur aaye thiei: piny abi ya ya adonyden."
"New","40","5","6","Kɔ c ye cɔk ku yiki yal ne luɔi lajik aaye thiei: aabike cɔ k kueth."
"New","40","5","7","Kɔ c ye piɔ th ka c aaye thiei: aabi kac de piɔu ya yo k."
"New","40","5","8","Kɔ c ye piɔ th lɔcar aaye thiei: aabi Nhialic ya ŋem."
"New","40","5","9","Kɔ c ye kɔc dɔɔr aaye thiei: aabi ya cɔɔl wɛɛt ke Nhialic."
"New","40","5","10","Kɔ c ci ŋe t ne luɔiden lajik aaye thiei: ceŋ nhial ee keden."
"New","40","5","11","We ye thiei te ye kɔc we laat, ku yiki we ŋe t, ku yiki we lɛ k rɛɛc ebɛn ne rieth, ne ɣɛn."
"New","40","5","12","Yaka piɔ th lɔyum, miɛ t ka piɔ th: ario p duɔn ee di t nhial: aake ye nebii ŋaar ne wenhiim kan ŋe t yila."
