Testament,Book,Chapter,Verse,Content
"New","40","1","1","Jeesuse Messia, Aabrahami poja, Taaveti poja sugupuu:"
"New","40","1","2","Aabrahamile sündis Iisak, Iisakile sündis Jaakob, Jaakobile sündisid Juuda ja tema vennad."
"New","40","1","3","Juudale sündisid Taamariga Perets ja Serah, Peretsile sündis Hesron, Hesronile sündis Aram,"
"New","40","1","4","Aramile sündis Amminadab, Amminadabile sündis Nahson, Nahsonile sündis Salma,"
"New","40","1","5","Salmale sündis Raahabiga Boas, Boasele sündis Rutiga Oobed, Oobedile sündis Iisai,"
"New","40","1","6","Iisaile sündis kuningas Taavet. Taavetile sündis Uurija naisega Saalomon,"
"New","40","1","7","Saalomonile sündis Rehabeam, Rehabeamile sündis Abija, Abijale sündis Aasa,"
"New","40","1","8","Aasale sündis Joosafat, Joosafatile sündis Jooram, Jooramile sündis Ussija,"
"New","40","1","9","Ussijale sündis Jootam, Jootamile sündis Aahas, Aahasele sündis Hiskija,"
"New","40","1","10","Hiskijale sündis Manasse, Manassele sündis Aamon, Aamonile sündis Joosija,"
"New","40","1","11","Joosijale sündisid Jekonja ja tema vennad Paabeli vangipõlve ajal."
"New","40","1","12","Pärast Paabeli vangipõlve sündis Jekonjale Sealtiel, Sealtielile sündis Serubbaabel,"
"New","40","1","13","Serubbaabelile sündis Abihuud, Abihuudile sündis Eljakim, Eljakimile sündis Assur,"
"New","40","1","14","Assurile sündis Saadok, Saadokile sündis Ahhim, Ahhimile sündis Elihuud,"
"New","40","1","15","Elihuudile sündis Eleasar, Eleasarile sündis Mattan, Mattanile sündis Jaakob."
"New","40","1","16","Jaakobile sündis Maarja mees Joosep ja Maarjast sündis Jeesus, keda hüütakse Messiaks."
"New","40","1","17","Seega on Aabrahamist Taavetini kokku neliteist sugupõlve, Taavetist Paabeli vangipõlveni neliteist sugupõlve ja Paabeli vangipõlvest Messiani neliteist sugupõlve."
"New","40","1","18","Ent Jeesuse, Messia, sündimisega oli nõnda. Tema ema Maarja oli kihlatud Joosepiga, kuid enne abiellumist ja kokkusaamist selgus, et ta on lapseootel Pühast Vaimust."
"New","40","1","19","Joosep oli õiglane mees ega tahtnud Maarjat avalikult häbistada, seepärast otsustas ta temast vaikselt lahutada."
"New","40","1","20","Aga kui ta seda mõtet kaalus, ilmus talle unenäos Issanda ingel, kes ütles: „Joosep, Taaveti poeg, ära karda Maarjat naiseks võtta! Laps tema ihus on eostunud Pühast Vaimust."
"New","40","1","21","Maarja sünnitab poja, kellele sina paned nimeks Jeesus, sest tema päästab oma rahva nende pattudest.“"
"New","40","1","22","See kõik sündis, et läheks täide, mis Issand oli öelnud prohveti suu läbi:"
"New","40","1","23","„Pange tähele, neitsi jääb lapseootele ja sünnitab poja, ning talle pannakse nimeks Immanuel“ – mis tähendab „Jumal on meiega“."
"New","40","1","24","Kui Joosep unest ärkas, tegi ta nii, nagu Issanda ingel oli käskinud. Ta võttis Maarja endale naiseks ja viis ta koju,"
"New","40","1","25","kuid ei puutunud temasse, kuni poeg oli sündinud. Ja ta pani temale nimeks Jeesus."
"New","40","2","1","Pärast Jeesuse sündimist Petlemmas Juudamaal, kuningas Heroodese valitsusajal, saabusid hommikumaalt pärit tähetargad Jeruusalemma."
"New","40","2","2","„Kus on see laps, kes sündis juutide kuningaks?“ küsisid nad. „Me nägime ta tähte tõusmas ja tulime teda kummardama.“"
"New","40","2","3","Seda kuuldes läks kuningas Heroodes ärevile ja kogu Jeruusalemm koos temaga."
"New","40","2","4","Ta kutsus kokku kõik juutide ülempreestrid ja kirjatundjad ning päris nende käest, kus Messias pidi sündima."
"New","40","2","5","Need vastasid talle: „Juudamaa linnas Petlemmas, sest nõnda on prohvet kirjutanud:"
"New","40","2","6","„Sina, Petlemm Juudamaal, ei ole vähim Juuda valitsejate seas, sest sinust võrsub Valitseja, kes mu rahvast Iisraeli karjatseb.“ “"
"New","40","2","7","Siis kutsus Heroodes tähetargad salaja enda juurde ja uuris neilt välja aja, millal täht oli paistma hakanud."
"New","40","2","8","Seejärel läkitas ta nad Petlemma, öeldes: „Minge ja otsige last. Kui te ta leiate, siis teatage mulle, et minagi võiksin minna teda kummardama!“"
"New","40","2","9","Tähetargad kuulasid kuninga ära ja asusid teele. Ja ennäe, täht, mille tõusu nad olid jälginud, juhatas neid, kuni jäi seisma selle paiga kohal, kus asus laps."
"New","40","2","10","Seda nähes rõõmustasid tähetargad väga."
"New","40","2","11","Nad astusid majja ja nägid last koos tema ema Maarjaga ning kummardusid ta ette maha. Siis avasid nad oma varalaekad ja andsid talle kinke: kulda, viirukit ja mürri."
"New","40","2","12","Ja saanud unenäos Jumalalt hoiatuse, et nad ei läheks enam Heroodese juurde, pöördusid nad teist teed pidi tagasi oma maale."
"New","40","2","13","Kui tähetargad olid lahkunud, ilmus Issanda ingel unenäos Joosepile ja ütles: „Tõuse üles, võta kaasa laps ja tema ema! Põgene Egiptusesse ja ole seal, kuni ma sulle ütlen; sest Heroodes hakkab otsima last, et teda hukata.“"
"New","40","2","14","Joosep tõusis, võttis kaasa lapse ja tema ema ning põgenes öösel Egiptusesse."
"New","40","2","15","Seal viibis ta Heroodese surmani, et läheks täide, mida Issand oli öelnud prohveti kaudu: „Ma kutsusin oma poja Egiptusest.“"
"New","40","2","16","Kui Heroodes nägi, et tähetargad olid teda petnud, sattus ta suurde raevu. Ta andis käsu hukata kõik poisslapsed Petlemmas ja kogu selle ümbruses: kaheaastased ja alla selle, vastavalt ajale, mille ta oli tähetarkadelt välja uurinud."
"New","40","2","17","Nii läks täide, mis oli öeldud prohvet Jeremija suu läbi:"
"New","40","2","18","„Raamas on kuulda häält, rohket nuttu ja hala. Raahel nutab taga lapsi ega lase end lohutada, sest neid ei ole enam.“"
"New","40","2","19","Ent pärast Heroodese surma ilmus Issanda ingel Egiptuses viibivale Joosepile unenäos"
"New","40","2","20","ja ütles: „Tõuse üles, võta kaasa laps ja tema ema ning mine Iisraelimaale! Need, kes lapse elu kallale kippusid, on nüüd surnud!“"
"New","40","2","21","Joosep võttis lapse ja tema ema ning läks Iisraelimaale."
"New","40","2","22","Aga kui ta kuulis, et Arhelaos valitseb Juudamaad kuningana oma isa Heroodese asemel, kartis ta sinna minna. Ja saanud Jumalalt unenäos hoiatuse, suundus ta Galilea aladele"
"New","40","2","23","ning asus elama Naatsareti linna. Nii läks täide, mis oli öeldud prohvetite suu läbi: „Teda hüütakse Naatsaretlaseks.“"
"New","40","3","1","Neil päevil tuli Ristija Johannes, kes kuulutas Juuda kõrbes"
"New","40","3","2","ja ütles: „Parandage meelt, sest taevariik on lähedal!“"
"New","40","3","3","Temast rääkiski prohvet Jesaja: „Hüüdja hääl on kõrbes: „Valmistage Issandale tee, tehke tasaseks tema teerajad!“ “"
"New","40","3","4","Johannesel olid seljas kaamelikarvadest rõivad ja nahkvöö vööl, aga toiduks olid tal rohutirtsud ja metsmesi."
"New","40","3","5","Siis läks Jeruusalemma, kogu Juudamaa ja Jordani ümbruskonna rahvas tema juurde."
"New","40","3","6","Nad tunnistasid üles oma patud ja ta ristis nad Jordani jões."
"New","40","3","7","Aga kui ta nägi, kui palju varisere ja sadusere tema juurde ristimisele tuli, ütles ta neile: „Rästikute sugu! Kes teile andis märku põgeneda saabuva viha eest?"
"New","40","3","8","Seepärast kandke meeleparandusele kohast vilja"
"New","40","3","9","ja ärge mõtelge endamisi: „Meie isa on Aabraham!“ Sest ma ütlen teile, Jumal võib nendest kividest äratada lapsi Aabrahamile."
"New","40","3","10","Kirves on juba pandud puude juurte külge. Iga puu, mis ei kanna head vilja, raiutakse maha ja visatakse tulle."
"New","40","3","11","Mina ristin teid veega meeleparanduseks, aga kes tuleb pärast mind, on minust vägevam. Mina pole väärt tema sandaalegi lahti siduma. Tema ristib teid Püha Vaimu ja tulega."
"New","40","3","12","Tal on tuulamiskühvel käes ja ta teeb puhtaks oma rehealuse. Ta kogub nisu aita, aga aganad ta põletab ära kustumatu tulega.“"
"New","40","3","13","Sel ajal saabus Jeesus Galileast Jordani äärde, et Johannes teda ristiks."
"New","40","3","14","Johannes püüdis keelduda, öeldes: „Mul on vaja, et sina mind ristiksid, aga sina tuled hoopis minu juurde!“"
"New","40","3","15","Jeesus aga vastas talle: „Las praegu olla nii! Nõnda on meil kohane täita kõike, mis on õige!“ Siis Johannes andis talle järele."
