Testament,Book,Chapter,Verse,Content
"New","40","1","1","Raa inɗe maamiraaɓe Yeesu *Almasiifu, ɓii *Ibraahim ɓii *Dawda :"
"New","40","1","2","Ibraahim rimi Iciyaaku, Iciyaaku rimi *Yaakuubu, Yaakuubu rimi Yahuuda e rimdaaɓe muuɗum,"
"New","40","1","3","Yahuuda rimi Faares e Jaara, Tamar woni inna maɓɓe. Faares rimi Hesruuna, Hesruuna rimi Aram,"
"New","40","1","4","Aram rimi Aminadabu, Aminadabu rimi Naasuna, Naasuna rimi Salmuuna,"
"New","40","1","5","Salmuuna rimi Bo'es, Rahab woni inna ma'ako, Bo'es rimi Obida, Ruut woni inna ma'ako, Obida rimi Jesse,"
"New","40","1","6","Jesse rimi laamiiɗo *Dawda. Dawda rimi Suleymaanu, mo o rimdi e koree Uuriyano,"
"New","40","1","7","Suleymaanu rimi Rehobowam, Rehobowam rimi Abiya, Abiya rimi Aaca,"
"New","40","1","8","Aaca rimi Yehosafat, Yehosafat rimi Yoram, Yoram rimi Ajaariya,"
"New","40","1","9","Ajaariya rimi Yotam, Yotam rimi Ahas, Ahas rimi Hejekiya,"
"New","40","1","10","Hejekiya rimi Manasa, Manasa rimi Amon, Amon rimi Yoosiya,"
"New","40","1","11","Yoosiya rimi Yekooniya e rimdaaɓe muuɗum. Nder wakkaci ma'ajum Isiraa'iila'en konaa njaharaa lesdi Babiila."
"New","40","1","12","Ɓaawo jahareeki maɓɓe Babiila, Yekooniya rimi Salaatiyel, Salaatiyel rimi Jarubabel,"
"New","40","1","13","Jarubabel rimi Abihudu, Abihudu rimi Eliyaakim, Eliyaakim rimi Ajoora,"
"New","40","1","14","Ajoora rimi Saduku, Saduku rimi Akim, Akim rimi Eliyuda,"
"New","40","1","15","Eliyuda rimi Eliyaajaru, Eliyaajaru rimi Mattan, Mattan rimi Yaakuubu."
"New","40","1","16","Yaakuubu rimi Yusufu, koree Maryaama. Maryaama kam woni inna Yeesu bi'eteeɗo Almasiifu."
"New","40","1","17","To noon, gada Ibraahim faa wargo Dawda ɗum jaamanuuji sappo e nayi, gada Dawda faa wargo nde *Yahuudu'en konaa njaharaa Babiila ɗum jaamanuuji sappo e nayi, gada jahareeki Yahuudu'en Babiila faa wargo e Almasiifu boo, ɗum jaamanuuji sappo e nayi."
"New","40","1","18","Raa no danyeeki Yeesu *Almasiifu laatorii. Maryaama inna ma'ako no ɗaɓɓaaɗo Yusufu, ammaa ila Yusufu hewtaay mo, sey ɗum tawi o caawɗo gada e baawɗe *Ruhu Ceniiɗo."
"New","40","1","19","Yusufu ɗaɓɓuɗo mo no neɗɗo kulo Allah, mo gikku mbooɗngu. Gam ma'ajum o nyumii seedgo e Maryaama nder suuɗeefi, gam o yiɗaa semtingo ɗum."
"New","40","1","20","Emo nder nyumooji ɗiin, sey malaa'ikaajo Jawmiraawo wari to ma'ako nder koyɗol, vi'i mo : — Aan Yusufu taan Dawda, ta'a hul hoovaago Maryaama, gam ɓinngel ngel o saawi ivii gada e baawɗe Ruhu Ceniiɗo."
"New","40","1","21","O danyey ɓiɗɗo gorko, a tokaney mo Yeesu, gam kanko hisnata yimɓe ma'ako gada e hakkeeji mu''en."
"New","40","1","22","Ɗum fuu ɗum waɗii gam ɗum hebbina ko Allah volvi gada e honnduko annabiijo biiɗo :"
"New","40","1","23"," Surbaajo mo anndaa gorko no heɓey reedu, o danya ɓiɗɗo gorko. O tokanee Imaanuwel. Ma'ana innde ndeen woni : Allah e wondi e meeɗen."
"New","40","1","24","Nde Yusufu fini gada ɗoyngol, o waɗii noon no malaa'ikaajo Jawmiraawo vi'i mo. O hooƴi Maryaama laatii koree ma'ako,"
"New","40","1","25","ammaa o hawtaay e ma'ako faa o danyi ɓiyiiko gorko. Yusufu tokani mo Yeesu."
"New","40","2","1","Yeesu danyaama si'ire Baytilaama nder lesdi *Yahuudiya jaamanu laamu *Hiruudus. Ɓaawo danyeeki ma'ako, sey woɓɓe annduɓe koode ngari *Urusaliima gada fu'unaange."
"New","40","2","2","Nde ɓe ngari, ɓe ƴami ɓe mbi'i : — Toye ɓinngel danyaangel laatotoongel laamiiɗo *Yahuudu'en woni ? Min ngi'ii hoodere ma'agel vanngii gada fu'una, min ngarii gam min cujjidana ngel."
"New","40","2","3","Nde laamiiɗo Hiruudus nani habaru ɗuum o waannake korey, kanko e yimɓe Urusaliima fuu."
"New","40","2","4","Sey o noddi *mawɓe aardiiɓe diina e *moodiɓɓe Tawreeta fuu, o ƴami ɓe toye *Almasiifu rimetee."
"New","40","2","5","Ɓe toontii mo, ɓe mbi'i : — Si'ire Baytilaama nder lesdi Yahuudiya. Gam raa ko annabiijo vinndi, o vi'i :"
"New","40","2","6"," Aan Baytilaama, nder lesdi Yahuudiya, wanaa aan ɓuri famɗugo nder ci'e Yahuuda sam, gam gada nder maaɗa ɗum danyata goɗɗo laamiiɗo, aardotooɗo yimɓe am *Isiraa'iila'en kama no gaynaako aardortoo baali muuɗum."
"New","40","2","7","Sey Hiruudus noddi annduɓe koode ɓeen nder suuɗeefi, o ƴami ɓe deydey ɗume wakkaci hoodere ndeen vanngi."
"New","40","2","8","Ndeen o lili ɓe Baytilaama, o vi'i ɓe : — Njahee, njillee e hakkiilo to ɓinngel ngeel woni. To on ngi'ii ngel, ngaree anndinee yam, gam miin boo mi yaha mi sujjidana ngel."
"New","40","2","9","Nde ɓe nani ko laamiiɗo vi'i, ɓe ndilli. Hoodere nde ɓe ngi'inoo gada fu'unaange ndeen, nde aardii ɓe faa nde wari to ɓinngel woni, nde dari."
"New","40","2","10","Ɓesdugo yi'igo hoodere ndeen velii ɓe korey."
"New","40","2","11","Nde ɓe natti nder wuro, ɓe ngi'ii ɓinngel ngeel e inna ma'agel Maryaama. Ɓe ndiccii, ɓe cujjidani ngel, ɓe piɓti boorooji maɓɓe, ɓe kokki ngel jiinaariya e urdi mbelndi e ɗacce ɗe luuɓngol belngol bi'eteeɗe *miir."
"New","40","2","12","Allah holli ɓe nder koyɗol to' ɓe mbittu to Hiruudus. Gam ma'ajum ɓe tokki laawol feere, ɓe kooti lesdi maɓɓe."
"New","40","2","13","Ɓaawo dillol annduɓe koode ɓeen, sey malaa'ikaajo Jawmiraawo wari to Yusufu nder koyɗol, vi'i mo : — Umma hooy ɓinngel e inna ma'agel paayron lesdi *Misira. Njooɗooɗon toon faa nde mbi'eymaami ngarton, gam *Hiruudus no yilloto wargo ɓinngel ngeel."
"New","40","2","14","Yusufu boo ummii caka jemma, hooƴi ɓinngel ngeel e inna ma'agel faayri Misira."
"New","40","2","15","Ɓe njooɗii toon faa Hiruudus maayi, gam ɗum hebbina ko Allah volvi gada e honnduko annabiijo biiɗo : Gada Misira noddoymi ɓiyam."
"New","40","2","16","Nde *Hiruudus annditi annduɓe koode pijirii ɗum, o huunƴi korey. O vi'i ɓikkon ngoron ngonkon Baytilaama e takkol muuɗum fuu mbaree, gada keccon faa yahago kon duuɓi ɗiɗi, deydey e bannguki hoodere ko annduɓe koode ɓeen ngeccinoo mo."
"New","40","2","17","Kanjum hebbini ko annabi Yeremiya vi'inoo nde o vi'i :"
"New","40","2","18","Yaayaare nanaama nder si'ire Raama, ɗum bojji e ƴokayeeji jurminiiɗi : Rahiila voyata ɓikkon muuɗum. O jaɓaay de''ineego gam kon cooyti."
"New","40","2","19","Ɓaawo maayde *Hiruudus, malaa'ikaajo Jawmiraawo vannganii Yusufu nder koyɗol toon lesdi *Misira,"
"New","40","2","20","o vi'i mo : — Umma hooy ɓinngel e inna ma'agel co''oɗaa lesdi *Isiraa'iila, gam ɓeen yillotonooɓe wargo ngel maayii."
"New","40","2","21","Sey Yusufu ummii hooƴi ɓinngel e inna ma'agel hooti lesdi Isiraa'iila."
"New","40","2","22","Ammaa nde o nani Arkilayus ronii laamu baaba muuɗum Hiruudus dow lesdi *Yahuudiya, o hulii yottoyaago lesdi ndiin. Ɓaawo o heɓii vagginoore Allah nder koyɗol, o yahii lesdi *Gaaliili,"
"New","40","2","23","o jooɗii si'ire vi'eteende Najaratu. Noon ɗum hebbiniri ko annabo'en mbi'inoo, nde ɓe mbi'i : « O noddirte Najaratunkeejo. »"
"New","40","3","1","Nder balɗe ɗeen, goɗɗo bi'eteeɗo *Yahayya baɗoowo *baptisma vanngii nder ladde *Yahuudiya, emo waɗa ka wooyya, emo vi'a :"
"New","40","3","2","— Tuubee, gam *laamu Allah ɓadake !"
"New","40","3","3","Kanko woni mo annabi *Ecaaya volvunoo dow muuɗum, o vi'i : — Goɗɗo e waɗa ka wooyya nder ladde, e vi'a : Mo''inee ɗatal gam Jawmiraawo, poortee laawol gam garol ma'ako !"
"New","40","3","4","Yahayya e ɓornii kolte leeɓe geelooɗi, emo taadii taadorde laral. Nyaamdu ma'ako woni baɓɓatti e njuumri ladde."
"New","40","3","5","Yimɓe ivoyi *Urusaliima e lesdi Yahuudiya e jaaje piliiɗe maayo Urdun fuu ngari to ma'ako."
"New","40","3","6","Ɓe mbanngini hakkeeji maɓɓe ɗi ɓe mbaɗi fuu, Yahayya boo waɗani ɓe *baptisma nder maayo Urdun."
"New","40","3","7","Nde Yahayya yi'i *Fariisa'en e *Saduuki'en ɗuuɗɓe e ngara gam mbaɗanee baptisma, sey o vi'i ɓe : — Onon ɓiɓɓe bo'ole ! Moye vi'i on paayon huunƴere wareynde ?"
"New","40","3","8","Kuwee kuuɗe kolleyɗe on tuubii."
"New","40","3","9","To' on tammo on kisey halkere gam on taaniraaɓe *Ibraahim. Emi vi'a on : Allah e waawi waylitgo ɗe'e kaaƴe laatina ɗe ɓiɓɓe Ibraahim !"
"New","40","3","10","Ila jo'oni jammbere aagaama gam fe''ugo leɗɗe gada e ɗaɗi ma'aje. Lekki ki rimataa ɓikkon mbooɗkon fuu, ki fe''ete ki feree nder yiite."
"New","40","3","11","Miin, emi wa'arana on baptisma e ndiyam gam hollugo on tuubii. Ammaa gareyɗo ɓaawo am ɓurii yam baawɗe. Mi fotaay fiɓtugo koo ɓoggi paɗe ma'ako. Kanko o wa'araney on baptisma e *Ruhu Ceniiɗo e yiite."
"New","40","3","12","Emo jogii jaartirɗum e junngo ma'ako, gam o sennda gawri e nyaande. O hawrita gawri nder beembal ma'ako, ammaa o wulda nyaande ndeen e yiite nge nyifataa."
"New","40","3","13","E wakkaci ɗuum Yeesu ivi lesdi *Gaaliili wari maayo Urdun to *Yahayya, gam Yahayya waɗana mo *baptisma."
"New","40","3","14","Ammaa Yahayya jaɓaay, vi'i mo : — Miin haani mbaɗanaa baptisma, ee noye ngardataa to am ?"
"New","40","3","15","Yeesu toontii mo, vi'i : — Jaɓ ɗum laatoo noon jo'oni, gam noon haani mba'aren ko Allah yiɗi. Ndeen Yahayya jaɓi."
"New","40","3","16","Nde Yeesu waɗanaa baptisma, o vurti ndiyam tan, sey dow omtii o yi'i *Ruhu Allah e jippoyoo nder nanndi foondu e wara dow ma'ako."
"New","40","3","17","Sey ɗum nani voliinde ivoynde gada dow e vi'a : — O'o woni Ɓiyam giɗaaɗo, emi nana belɗum ma'ako."
"New","40","4","1","Ɓaawo ma'ajum, sey *Ruhu Ceniiɗo yahari Yeesu nder ladde, gam *Ceyɗaan jarraboo mo."
"New","40","4","2","Yeesu waɗi balɗe arba'iin (40), emo suumii jemma e nyalawma. Sey veelo nanngi mo."
"New","40","4","3","Ndeen Jarrabotooɗo wari vi'i mo : — To a *Ɓiɗɗo Allah kam, vi' ɗe'e kaaƴe laatoo nyaamdu."
"New","40","4","4","Yeesu toontii mo vi'i : — Ɗum vinndaama : « Naa e nyaamdu tan neɗɗo foofrata, ammaa gada e koo ndeye voliinde ivoynde to Allah. »"
