Testament,Book,Chapter,Verse,Content
"New","40","1","1","Leabhar sloinntearachd Ìosa Crìosd, mhic Dhaibhidh, mhic Abrahàim:"
"New","40","1","2","Ghin Abrahàm Ìsaac, ghin Ìsaac Iàcob, ghin Iàcob Iùdas agus a bhràithrean,"
"New","40","1","3","ghin Iùdas Phares agus Sàra o Thamar, ghin Phares Esrom, ghin Esrom Aram,"
"New","40","1","4","ghin Aram Aminadab, ghin Aminadab Naasòn, ghin Naasòn Salmon,"
"New","40","1","5","ghin Salmon Bòas o Rachab, ghin Bòas Obed o Rut, ghin Obed Iese,"
"New","40","1","6","ghin Iese Daibhidh an rìgh. Ghin Daibhidh an rìgh Solamh on bhean a bh' aig Uriah,"
"New","40","1","7","ghin Solamh Rebòam, ghin Rebòam Abia, ghin Abia Asa,"
"New","40","1","8","ghin Asa Iòsaphat, ghin Iòsaphat Iòram, ghin Iòram Òtsiah,"
"New","40","1","9","ghin Òtsiah Iòatam, ghin Iòatam Ahas, ghin Ahas Heseciah,"
"New","40","1","10","ghin Heseciah Manaseh, ghin Manaseh Amòs, ghin Amòs Iòsiah,"
"New","40","1","11","ghin Iòsiah Iechoniah agus a bhràithrean, aig àm an fhògraidh do Bhàbilon."
"New","40","1","12","Às dèidh an fhògraidh do Bhàbilon: ghin Iechoniah Salatiel, ghin Salatiel Sorobabel,"
"New","40","1","13","ghin Sorobabel Abiud, ghin Abiud Eliacim, ghin Eliacim Asòr,"
"New","40","1","14","ghin Asòr Sadòc, ghin Sadòc Achim, ghin Achim Eliud,"
"New","40","1","15","ghin Eliud Eleàsar, ghin Eleàsar Matan, ghin Matan Iàcob,"
"New","40","1","16","ghin Iàcob Iòsaph, an duine aig Moire, on do rugadh Ìosa, ris an canar Crìosd."
"New","40","1","17","Mar sin b' iad na ginealaichean uile o Abrahàm gu Daibhidh ceithir ginealaichean deug, agus o Dhaibhidh gu fògradh Bhàbiloin ceithir ginealaichean deug, agus o fhògradh Bhàbiloin gu Crìosd, ceithir ginealaichean deug."
"New","40","1","18","A‑nis seo mar a bha breith Ìosa Crìosd: nuair a bha a mhàthair Moire air ceangal‑pòsaidh a dhèanamh le Iòsaph, mus tàinig iad còmhla, chaidh a faighinn torrach on Spiorad Naomh."
"New","40","1","19","Ach on a bha Iòsaph, an duine aice, ionraic agus ain‑deònach a maslachadh, chuir e roimhe a cur air falbh gu dìomhair."
