Testament,Book,Chapter,Verse,Content
"New","40","1","1","Dies ist das Buch der Geschichte Jesu Christi, des Sohnes Davids, des Sohnes Abrahams"
"New","40","1","2","Abraham war der Vater Isaaks. Isaak war der Vater Jakobs. Jakob war der Vater Judas und seiner Brüder."
"New","40","1","3","Juda war - durch Thamar - der Vater des Perez und Serah. Perez war der Vater Hezrons. Hezron war der Vater Rams."
"New","40","1","4","Ram war der Vater Aminadabs. Aminadab war der Vater Nahessons. Nahesson war der Vater Salmas."
"New","40","1","5","Salma war - durch Rahab - der Vater des Boas. Boas war - durch Ruth - der Vater Obeds. Obed war der Vater Isais."
"New","40","1","6","Isai war der Vater des Königs David. David war - durch Urias Witwe - der Vater Salomos."
"New","40","1","7","Salomo war der Vater Rehabeams. Rehabeam war der Vater Abias. Abia war der Vater Asas."
"New","40","1","8","Asa war der Vater Josafats. Josafat war der Vater Jorams. Joram war der Vater Usias."
"New","40","1","9","Usia war der Vater Jotams. Jotam war der Vater des Ahas. Ahas war der Vater Hiskias."
"New","40","1","10","Hiskia war der Vater Manasses. Manasse war der Vater Amons. Amon war der Vater Josias."
"New","40","1","11","Josia wurde der Vater Jechonjas und seiner Brüder zur Zeit der Wegführung nach Babylon."
"New","40","1","12","Nach der Wegführung nach Babylon wurde Jechonja der Vater Sealthiels. Sealthiel war der Vater Serubabels."
"New","40","1","13","Serubabel war der Vater Abiuds. Abiud war der Vater Eljakims. Eljakim war der Vater Asors."
"New","40","1","14","Asor war der Vater Zadoks. Zadoks war der Vater Achims. Achim war der Vater Eliuds."
"New","40","1","15","Eliud war der Vater Eleasars. Eleasar war der Vater Matthans. Matthan war der Vater Jakobs."
"New","40","1","16","Jakob war der Vater Josefs, des Mannes der Maria. Maria aber ist die Mutter jenes Jesus, der den Namen Christus trägt."
"New","40","1","17","Alle Geschlechter von Abraham bis David betragen vierzehn. Auch von David bis zu der Wegfnhrung nach Babylon sind vierzehn Geschlechter. Ebenso sind vierzehn Geschlechter von der Wegfnhrung nach Babylon bis auf den Messias."
"New","40","1","18","Mit Christi Geburt verhielt es sich so: Als seine Mutter Maria mit Josef verlobt war, da zeigte sich's, noch ehe sie zusammenzogen, daß sie vom Heiligen Geist empfangen hatte."
"New","40","1","19","Josef aber, ihr Verlobter, der ein frommer Mann war und sie nicht bloßstellen wollte, ging schon damit um, sich in aller Stille von ihr zu trennen."
"New","40","1","20","Als er dies erwog, da erschien ihm im Traume ein Engel des Herrn und sprach zu ihm: ""Josef, du Sohn Davids, scheue dich nicht, Maria, deine Verlobte, zu deiner Ehefrau zu machen! Denn was in ihr erzeugt ist, das stammt von dem Heiligen Geiste."
"New","40","1","21","Und sie wird einen Sohn gebären, dem sollst du den Namen Jesus geben; denn er wird sein Volk erretten von ihren Sünden."""
"New","40","1","22","Dies alles ist geschehen, damit sich jenes Wort erfülle, das der Herr durch den Mund des Propheten gesprochen hat:"
"New","40","1","23","Siehe, die Jungfrau wird empfangen und einen Sohn gebären, und seinen Namen wird man nennen Immanuel , das heißt: mit uns ist Gott."
"New","40","1","24","Als Josef von seinem Schlaf erwachte, tat er, wie ihm der Engel des Herrn befohlen hatte, und führte seine Verlobte als Eheweib heim."
"New","40","1","25","Aber er verkehrte nicht mit ihr, bis sie einen Sohn geboren hatte. Dem gab er den Namen Jesus."
"New","40","2","1","Als Jesus in den Tagen des Königs Herodes zu Bethlehem in Judäa geboren war, da trafen Sterndeuter aus dem Morgenlande in Jerusalem ein und fragten:"
"New","40","2","2","""Wo ist der König der Juden? Er ist geboren; denn wir haben in den Strahlen der Morgendämmerung seinen Stern erscheinen sehn und sind hierher gekommen, um ihm zu huldigen."""
"New","40","2","3","Als dies dem König Herodes zu Ohren kam, erschrak er, und mit ihm entsetzte sich auch ganz Jerusalem."
"New","40","2","4","Da berief er alle Hohenpriester und Schriftgelehrten des Volkes und legte ihnen die Frage vor: ""Wo soll der Messias geboren werden?"""
"New","40","2","5","Sie antworteten ihm: ""Zu Bethlehem in Judäa. Denn so steht geschrieben in den Worten des Propheten:"
"New","40","2","6","Und du, Bethlehem im Lande Juda, du bist durchaus nicht die geringste unter den Führerstädten. Denn aus dir soll mir ein Herrscher kommen, der wird als Hirte weiden mein Volk Israel."""
"New","40","2","7","Hierauf ließ Herodes die Sterndeuter in aller Stille zu sich rufen und sich von ihnen genau die Zeit angeben, wann der Stern zuerst erschienen sei."
"New","40","2","8","Dann wies er sie nach Bethlehem und sprach: ""Zieht hin und forscht mit Sorgfalt nach dem Kinde; und habt ihr es gefunden, so gebt mir Nachricht, damit ich auch komme und ihm huldige."""
"New","40","2","9","Als sie dies von dem Könige vernommen hatten, machten sie sich auf den Weg. Und sieh, der Stern, den sie im Frühaufgang gesehn, zog vor ihnen her, bis er stillstand über dem Hause, wo das Kindlein war."
"New","40","2","10","Bei dem Anblick des Sternes wurden sie mit großer Freude erfüllt."
"New","40","2","11","Sie traten in das Haus und sahen das Kind bei Maria, seiner Mutter. Da fielen sie vor ihm nieder und huldigten ihm. Dann öffneten sie ihre Schatzbehälter und brachten ihm Gold, Weihrauch und Myrrhen als Geschenke dar."
"New","40","2","12","Im Traum erhielten sie die Weisung, nicht wieder zu Herodes zu gehn. Deshalb zogen sie auf einem andern Wege in ihr Heimatland zurück."
"New","40","2","13","Als sie weggezogen waren, da erschien ein Engel des Herrn dem Josef im Träume und sprach zu ihm: ""Auf, nimm das Kind und seine Mutter, flieh nach Ägypten und bleibe dort so lange, bis ich dir Nachricht gebe! Denn Herodes will das Kind in seine Gewalt bekommen, um es zu töten."""
"New","40","2","14","Da stand er auf und nahm noch in derselben Nacht das Kind und seine Mutter und machte sich auf den Weg nach Ägypten."
"New","40","2","15","Dort blieb er bis zum Tode des Herodes. So erfüllte sich das Wort des Herrn durch den Propheten: Aus Ägypten hat ich meinen Sohn gerufen."
"New","40","2","16","Als nun Herodes sah, daß ihn die Sterndeuter getäuscht hatten, ward er sehr zornig: er sandte Henker aus und ließ in Bethlehem und dem ganzen Umkreis dieses Ortes alle Knaben in dem Alter von zwei Jahren und darunter töten, nach dem Zeitpunkt, den er von den Sterndeutern genau erforscht hatte."
"New","40","2","17","Damals erfüllte sich das Wort des Propheten Jeremia:"
"New","40","2","18","In Rama hat man ein Geschrei gehört, lautes Weinen und Klagen: Rahel weint um ihre Kinder und will sich nicht trösten lassen; denn sie sind dahin."
"New","40","2","19","Als aber Herodes gestorben war, da erschien in Ägypten ein Engel des Herrn dem Josef im Traum"
"New","40","2","20","und sprach zu ihm: ""Auf, nimm das Kind und seine Mutter und ziehe ins Land Israel! Denn die dem Kinde nach dem Leben trachteten, die sind nun tot."""
