Testament,Book,Chapter,Verse,Content
"New","40","1","1","Βίβλος γενέσεως Ἰησοῦ χριστοῦ, υἱοῦ Δαυίδ, υἱοῦ Ἀβραάμ."
"New","40","1","2","¶ Ἀβραὰμ ἐγέννησεν τὸν Ἰσαάκ· Ἰσαὰκ δὲ ἐγέννησεν τὸν Ἰακώβ• Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰούδαν καὶ τοὺς ἀδελφοὺς αὐτοῦ•"
"New","40","1","3","Ἰούδας δὲ ἐγέννησεν τὸν Φαρὲς καὶ τὸν Ζαρὰ ἐκ τῆς Θάμαρ• Φαρὲς δὲ ἐγέννησεν τὸν Ἑσρώμ• Ἑσρὼμ δὲ ἐγέννησεν τὸν Ἀράμ•"
"New","40","1","4","Ἀρὰμ δὲ ἐγέννησεν τὸν Ἀμιναδάβ• Ἀμιναδὰβ δὲ ἐγέννησεν τὸν Ναασσών• Ναασσὼν δὲ ἐγέννησεν τὸν Σαλμών•"
"New","40","1","5","Σαλμὼν δὲ ἐγέννησεν τὸν Βοὸζ ἐκ τῆς Ῥαχάβ• Βοὸζ δὲ ἐγέννησεν τὸν Ὠβὴδ ἐκ τῆς Ῥούθ• Ὠβὴδ δὲ ἐγέννησεν τὸν Ἰεσσαί•"
"New","40","1","6","Ἰεσσαὶ δὲ ἐγέννησεν τὸν Δαυὶδ τὸν βασιλέα. ¶ Δαυὶδ δὲ ὁ βασιλεὺς ἐγέννησεν τὸν Σολομῶνα ἐκ τῆς τοῦ Οὐρίου•"
"New","40","1","7","Σολομὼν δὲ ἐγέννησεν τὸν Ῥοβοάμ• Ῥοβοὰμ δὲ ἐγέννησεν τὸν Ἀβιά• Ἀβιὰ δὲ ἐγέννησεν τὸν Ἀσά•"
"New","40","1","8","Ἀσὰ δὲ ἐγέννησεν τὸν Ἰωσαφάτ• Ἰωσαφὰτ δὲ ἐγέννησεν τὸν Ἰωράμ• Ἰωρὰμ δὲ ἐγέννησεν τὸν Ὀζίαν•"
"New","40","1","9","Ὀζίας δὲ ἐγέννησεν τὸν Ἰωάθαμ• Ἰωάθαμ δὲ ἐγέννησεν τὸν Ἄχαζ• Ἄχαζ δὲ ἐγέννησεν τὸν Ἑζεκίαν•"
"New","40","1","10","Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ• Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμών• Ἀμὼν δὲ ἐγέννησεν τὸν Ἰωσίαν•"
"New","40","1","11","Ἰωσίας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ, ἐπὶ τῆς μετοικεσίας Βαβυλῶνος."
"New","40","1","12","¶ Μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος, Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ• Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβάβελ•"
"New","40","1","13","Ζοροβάβελ δὲ ἐγέννησεν τὸν Ἀβιούδ• Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακείμ• Ἐλιακεὶμ δὲ ἐγέννησεν τὸν Ἀζώρ•"
"New","40","1","14","Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ• Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχείμ• Ἀχεὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ•"
"New","40","1","15","Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ• Ἐλεάζαρ δὲ ἐγέννησεν τὸν Ματθάν• Ματθὰν δὲ ἐγέννησεν τὸν Ἰακώβ•"
"New","40","1","16","Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς, ὁ λεγόμενος χριστός."
"New","40","1","17","¶ Πᾶσαι οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυὶδ γενεαὶ δεκατέσσαρες• καὶ ἀπὸ Δαυὶδ ἕως τῆς μετοικεσίας Βαβυλῶνος, γενεαὶ δεκατέσσαρες• καὶ ἀπὸ τῆς μετοικεσίας Βαβυλῶνος ἕως τοῦ χριστοῦ, γενεαὶ δεκατέσσαρες."
"New","40","1","18","¶ Τοῦ δὲ Ἰησοῦ χριστοῦ ἡ γέννησις οὕτως ἦν. Μνηστευθείσης γὰρ τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτούς, εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου."
"New","40","1","19","Ἰωσὴφ δὲ ὁ ἀνὴρ αὐτῆς, δίκαιος ὤν, καὶ μὴ θέλων αὐτὴν παραδειγματίσαι, ἐβουλήθη λάθρᾳ ἀπολῦσαι αὐτήν."
