Testament,Book,Chapter,Verse,Content
"New","40","1","1","לפניכם ספר קורות חייו של ישוע המשיח, אשר מוצאו מיוחס לדוד המלך ולאברהם אבינו:"
"New","40","1","2","אברהם היה אביו של יצחק; יצחק היה אביו של יעקב; יעקב היה אביהם של יהודה ואחיו"
"New","40","1","3","יהודה היה אביהם של פרץ וזרח (אמם הייתה תמר); פרץ היה אביו של חצרון; חצרון היה אביו של רם;"
"New","40","1","4","רם היה אביו של עמינדב; עמינדב היה אביו של נחשון; נחשון היה אביו של שלמון;"
"New","40","1","5","שלמון היה אביו של בועז (אמו הייתה רחב); בועז היה אביו של עובד (אמו הייתה רות); עובד היה אביו של ישי;"
"New","40","1","6","ישי היה אביו של דוד המלך; דוד היה אביו של שלמה (אמו הייתה אלמנתו של אוריה החתי);"
"New","40","1","7","שלמה היה אביו של רחבעם; רחבעם היה אביו של אביה; אביה היה אביו של אסא;"
"New","40","1","8","אסא היה אביו של יהושפט; יהושפט היה אביו של יורם; יורם היה אביו של עוזיה;"
"New","40","1","9","עוזיה היה אביו של יותם; יותם היה אביו של אחז; אחז היה אביו של חזקיה;"
"New","40","1","10","חזקיה היה אביו של מנשה; מנשה היה אביו של אמון; אמון היה אביו של יאשיה;"
"New","40","1","11","יאשיה היה אביהם של יכניה ואחיו (שנולדו בזמן גלות בבל)."
"New","40","1","12","לאחר הגלות לבבל: יכניה היה אביו של שאלתיאל; שאלתיאל היה אביו של זרובבל;"
"New","40","1","13","זרובבל היה אביו של אביהוד; אביהוד היה אביו של אליקים; אליקים היה אביו של עזור;"
"New","40","1","14","עזור היה אביו של צדוק; צדוק היה אביו של יכין; יכין היה אביו של אליהוד;"
"New","40","1","15","אליהוד היה אביו של אלעזר; אלעזר היה אביו של מתן; מתן היה אביו של יעקב;"
"New","40","1","16","יעקב היה אביו של יוסף (שהיה בעלה של מרים, אמו של ישוע המשיח)."
"New","40","1","17","אם כן, ארבעה-עשר דורות חלפו מאברהם אבינו ועד דוד המלך, ארבעה-עשר מאז דוד המלך ועד גלות בבל וארבעה-עשר דורות מגלות בבל עד המשיח."
"New","40","1","18","זהו סיפור הולדתו של ישוע המשיח: אמו מרים הייתה מאורסת ליוסף, אולם עוד כשהייתה בתולה הרתה מרוח הקודש."
"New","40","1","19","יוסף ארוסה, שהיה איש ישר וערכי, החליט משום כך לבטל את האירוסין, אולם בחר לעשות זאת בסתר, כי לא רצה לבייש את מרים בציבור."
"New","40","1","20","לאחר שהחליט יוסף לגרש את מרים נגלה אליו בחלום מלאך ה' ואמר: ""יוסף בן-דוד, אל תהסס להתחתן עם מרים, כי התינוק שבבטנה נוצר מרוח הקודש!"
"New","40","1","21","מרים תלד בן, ועליך לקרוא לו 'ישוע' (כלומר, מושיע), כי הוא יושיע את בני-עמו מחטאיהם."
"New","40","1","22","לידתו של ישוע קיימה את מה שאמר אלוהים באמצאות נביאיו:"
