Testament,Book,Chapter,Verse,Content
"New","40","1","1","JÉZUS CSALÁDFÁJA (Lk 3:23-58) Jézus Krisztusnak, a Dávid fiának, az Ábrahám fiának történetéről szóló könyv."
"New","40","1","2","Ábrahám fia volt Izsák, Izsák fia volt Jákob, Jákob fia volt Júdás és az ő testvérei."
"New","40","1","3","Júdás fia volt Thámártól Pháresz és Zára, Pháresz fia volt Eszróm, Eszróm fia volt Arám,"
"New","40","1","4","Arám fia volt Aminadáb, Aminadáb fia volt Naasszón, Naasszón fia volt Szalmón,"
"New","40","1","5","Szalmón fia volt Rákhábtól Boesz, Boesz fia volt Rúthtól Jóbéd, Jóbéd fia volt Jesszai."
"New","40","1","6","Jesszai fia volt Dávid, a király. Dávid fia pedig Szolomon volt az Uriás feleségétől,"
"New","40","1","7","Szolomónnak fia volt Roboám, Roboám fia volt Abia, Abia fia volt Aszáph,"
"New","40","1","8","Aszáph fia volt Joszaphát, Joszaphát fia volt Jórám, Jórám fia volt Oziász,"
"New","40","1","9","Oziász fia volt Joathám, Joathám fia volt Aknáz, Akház fia volt Ezekiász,"
"New","40","1","10","Ezekiász fia volt Manasszé, Manasszé fia volt Ámósz, Ámósz fia volt Jósziász,"
"New","40","1","11","Jósziász fia volt Jekhoniász és az ő testvérei a Babüloniába való fogságra vitel idejében."
"New","40","1","12","A Babüloniába való fogságravitel után Jekhoniász fia volt Szaláthiél, Szaláthiél fia volt Zorobábel,"
"New","40","1","13","Zorobábel fia volt Abiúd, Abiúd fia volt Eliákim, Eliákim fia volt Azór,"
"New","40","1","14","Azór fia volt Szádok, Szádok fia volt Ákhim, Ákhim fia volt Eliúd,"
"New","40","1","15","Eliúd fia volt Eleázár, Eleázár fia volt Matthán, Matthán fia volt Jákob,"
"New","40","1","16","Jákob fia volt József, a Mária férje, és Máriától született Jézus, akit Krisztusnak hívnak."
"New","40","1","17","Ábrahámtól Dávidig tehát összesen tizennégy nemzedék élt, és Dávidtól a babülóniai fogságravitelig tizennégy nemzedék, és a babülóniai fogságraviteltől Krisztusig tizennégy nemzedék."
"New","40","1","18","JÉZUS KRISZTUS SZÜLETÉSE (Lk 2:1-7) Jézus Krisztus születése pedig így történt. Mária, az Ő anyja eljegyeztetvén Józsefnek, egybekelésük előtt úgy találtatott, hogy a Szentlélektől viselős."
"New","40","1","19","József azonban, az ő férje, mivel igaz ember volt, és nem kívánta őt gyalázatba keverni, szerette volna titkon elbocsátani."
"New","40","1","20","Amikor ezeken elgondolkodott, ímé, álmában megjelent néki az Úrnak valamelyik angyala, és azt mondta: József, Dávid fia, ne félj magadhoz venni Máriát mint a te feleségedet; mert a gyermek, akit vár, a Szentlélektől van."
"New","40","1","21","Fiat szül, és nevezd Őt Jézusnak, mert Ő megszabadítja majd népét annak bűneitől."
"New","40","1","22","Mind ez pedig azért történt, hogy beteljesedjék, amit az Úr mondott a próféta által, aki így szólt:"
"New","40","1","23","íme, a szűz várandós lesz és fiat szül, és azt Emmánúélnek hívják (Ésaiás 7:14), és ez azt jelenti: Mivelünk az Isten."
"New","40","1","24","József amint álmából fölserkent, úgy cselekedett, amint megparancsolta néki az Úr angyala; és magához vette Máriát feleségül;"
"New","40","1","25","de nem esmérte őt fiának megszüléséig, és a fiút Jézusnak nevezte."
"New","40","2","1","A NAPKELETI BÖLCSEK Amikor Jézus megszületett a júdeai Béthlehemben Héródész (Nagy Héródész) király idejében, ímé, bölcsek érkeztek napkeletről Jeruzsálembe,"
"New","40","2","2","és azt kérdezték: Hol van a zsidóknak most született királya? Láttuk ugyanis az Ő csillagát napkeleten, és eljöttünk, hogy tisztességet tegyünk néki."
"New","40","2","3","Héródész király amint ezt meghallotta, megrémült és ővele együtt mind az egész Jeruzsálem."
"New","40","2","4","És összegyűjtvén mind a főpapokat és a nép írástudóit, tudakozódott tőlük, hol kell a Krisztusnak megszületnie."
"New","40","2","5","Azok azt mondták néki: A júdeai Béthlehemben, mert így írta meg a próféta:"
"New","40","2","6","És te Béthlehem a Júda földjén, semmiképpen sem vagy a legkisebb Júda főhelyei közt, mert belőled származik majd egy fejedelem, aki pásztorolni fogja az én népemet, izráélt. (Mikeás 5:1)"
"New","40","2","7","Akkor Héródész titkon hívatta a bölcseket, és pontosan megtudakolta tőlük a csillag feltűnésének idejét,"
"New","40","2","8","és elküldte őket Béthlehembe és azt mondta: Menjetek el, és gondosan kérdezősködjetek a gyermek felől; és ha megtaláljátok, adjátok tudtomra, hogy én is elmenjek, és tisztességet tegyek néki."
"New","40","2","9","Azok meghallgatván a királyt, elmentek; és ímé, a csillag, amelyet napkeleten láttak, előttük ment mindaddig, amíg odaérvén, megállt a hely fölött, ahol a gyermek volt."
"New","40","2","10","És amikor meglátták a csillagot, igen nagy örömmel örvendeztek."
