Testament,Book,Chapter,Verse,Content
"New","40","1","1","Are waˈ ri qui biˈ ri u mam ri Jesús ojer. Ri Jesús Are rachalaxic ri ka mam David xukujeˈ ri ka mam Abraham ojer."
"New","40","1","2","Ri ka mam Abraham are u tat ri ka mam Isaac. Ri ka mam Isaac are u tat ri ka mam Jacob. Ri ka mam Jacob are u tat ri ka mam Judá xukujeˈ tak ri e rachalal ri areˈ."
"New","40","1","3","Ri ka mam Judá are u tat ri ka mam Fares xukujeˈ ri ka mam Zara. Ri qui nan cˈut are ri nan Tamar. Ri ka mam Fares are u tat ri ka mam Esrom. Ri ka mam Esrom are u tat ri ka mam Aram."
"New","40","1","4","Ri ka mam Aram are u tat ri ka mam Aminadab. Ri ka mam Aminadab are u tat ri ka mam Naasón. Ri ka mam Naasón are u tat ri ka mam Salmón."
"New","40","1","5","Ri ka mam Salmón are u tat ri ka mam Booz. Ru nan ri ka mam Booz are ri nan Rahab. Ri ka mam Booz are u tat ri ka mam Obed. Ru nan ri ka mam Obed are ri nan Rut. Ri ka mam Obed are u tat ri ka mam Isaí."
"New","40","1","6","Ri ka mam Isaí are u tat ri ka mam David ri nim takanel. Ri ka mam David ri nim takanel rucˈ ri chichuˈ ri xrixokilaj na ri tat Urías, e areˈ u nan u tat ri ka mam Salomón."
"New","40","1","7","Ri ka mam Salomón are u tat ri ka mam Roboam. Ri ka mam Roboam are u tat ri ka mam Abías. Ri ka mam Abías are u tat ri ka mam Asa."
"New","40","1","8","Ri ka mam Asa are u tat ri ka mam Josafat. Ri ka mam Josafat are u tat ri ka mam Joram. Ri ka mam Joram are u tat ri ka mam Uzías."
"New","40","1","9","Ri ka mam Uzías are u tat ri ka mam Jotam. Ri ka mam Jotam are u tat ri ka mam Acaz. Ri ka mam Acaz are u tat ri ka mam Ezequías."
"New","40","1","10","Ri ka mam Ezequías are u tat ri ka mam Manasés. Ri ka mam Manasés are u tat ri ka mam Amón. Ri ka mam Amón are u tat ri ka mam Josías."
"New","40","1","11","Ri ka mam Josías are u tat ri ka mam Jeconías, xukujeˈ ri e rachalal. Pa tak ri kˈij riˈ xecˈam bi ri winak aj Israel, xeopan cˈu pa ri tinimit Babilonia."
"New","40","1","12","Aretak ri winak aj Israel e cˈo chic pa ri tinimit Babilonia, ri ka mam Jeconías xcˈoji jun u cˈojol, Salatiel u biˈ. Ri ka mam Salatiel are u tat ri ka mam Zorobabel."
"New","40","1","13","Ri ka mam Zorobabel are u tat ri ka mam Abiud. Ri ka mam Abiud are u tat ri ka mam Eliaquim. Ri ka mam Eliaquim are u tat ri ka mam Azor."
"New","40","1","14","Ri ka mam Azor are u tat ri ka mam Sadoc. Ri ka mam Sadoc are u tat ri ka mam Aquim. Ri ka mam Aquim are u tat ri ka mam Eliud."
"New","40","1","15","Ri ka mam Eliud are u tat ri ka mam Eleazar. Ri ka mam Eleazar are u tat ri ka mam Matán. Ri ka mam Matán are u tat ri ka mam Jacob."
"New","40","1","16","Ri ka mam Jacob are ru tat ri a José ri rachajil ri María. We María riˈ are cˈu waˈ ru nan ri Jesús ri cäbix Cristo che."
"New","40","1","17","Je riˈ chi cajlajuj juchˈob tataxelab cachiˈl ri qui cˈojol e ocˈowinak xchaptaj lok rucˈ ri ka mam Abraham cˈä rucˈ ri ka mam David. Cajlajuj chic xchaptaj lok rucˈ ri ka mam David cˈä aretak xecˈam bi ri winak aj Israel, xeopan pa ri tinimit Babilonia. Te cˈu riˈ e cˈo chi cajlajuj chic cˈä xil na u wäch ri Cristo."
"New","40","1","18","Are je waˈ xbantajic aretak xil u wäch ri alaj a Jesús: Ri kˈapoj al María ru nan u yoˈm chi u tzij che cˈulanem rucˈ ri a José. Mäjaˈ cˈu quecˈuliˈc aretak ri al María xcanaj yawab winak rumal ru chukˈab ri Lokˈalaj Espíritu."
"New","40","1","19","Ri a José cˈut ri rachajil are jun achi ri jicom ranimaˈ cho ri Dios, man craj tä cˈut cäresaj u qˈuixbal ri al María chquiwäch ri winak. Rumal riˈ xuchomaj u yaˈic canok xak chi cˈuyal."
"New","40","1","20","Aretak jeˈ tajin cuchomaj waˈ, xpe jun ángel ri takom lok rumal ri Dios ri xucˈut rib chuwäch ri a José pa ri u waram, xubij che: A José, at baˈ at rachalaxic ri tat David. Maxej awib chucˈamic ri al María che awixokil, rumal chi ri ral ri quil na u wäch, are rech ri Lokˈalaj Espíritu waˈ."
"New","40","1","21","Ri areˈ cäcˈoji na jun ral ala, cacoj cˈu na JESÚS che u biˈ. (Ri “Jesús” quel cubij “Toˈl Ke”.) Jeˈ u biˈ waˈ rumal chi queutoˈ na ru winakil, queresaj na pa ri qui mac, ―xcha ri ángel."
"New","40","1","22","Ronojel waˈ xbantajic rech kas jeˈ quel wi jas ru bim ri Kajaw Dios rumal ri kˈalajisal re ru Lokˈ Pixab ri cubij:"
"New","40","1","23","Ri kˈapoj ali cäcanaj na can yawab winak, cäril cˈu na u wäch jun ral ala ri cäbix na Emanuel che,"
"New","40","1","24","―cächaˈ. Quel cubij waˈ: Ri Dios cˈo kucˈ, ―cächa riˈ. Aretak xcˈastaj ri a José che ru waram, xunimaj ri xbix che rumal ri ángel ri takom lok rumal ri Dios. Xucˈam ri al María che rixokil."
"New","40","1","25","Man xquirik tä cˈu na quib, xane cˈä teˈ aretak xil na u wäch ri ral ri al María. Ri a José xucoj cˈu JESÚS che u biˈ."
