Testament,Book,Chapter,Verse,Content
"New","40","1","1","Әв ә рʼәԛәма рʼькʼьнйата Иса Мәсиһ, рʼькʼьнйата Даԝьд, рʼькʼьнйата Бьраһим:"
"New","40","1","2","Бьраһимрʼа Исһаԛ бу, Исһаԛрʼа Аԛуб бу, Аԛубрʼа Щьһуда у бьрава бун,"
"New","40","1","3","Щьһударʼа Перес у Зәра бун, (наве дийа ԝан Тʼамар бу), Пересрʼа Һәсрун бу, Һәсрунрʼа Рʼам бу,"
"New","40","1","4","Рʼамрʼа Аминадав бу, Аминадаврʼа Нәһшон бу, Нәһшонрʼа Сәлмон бу,"
"New","40","1","5","Сәлмонрʼа Боԝаз бу, (наве дийа ԝи Рʼәхаб бу), Боԝазрʼа Овед бу, (наве дийа ԝи Рʼутʼ бу), Оведрʼа Йеша бу"
"New","40","1","6","у Йешарʼа Даԝьд пʼадша бу. Даԝьд пʼадшарʼа Сьлеман бу, (дийа ԝи бәре кʼӧлфәта Урийа бу),"
"New","40","1","7","Сьлеманрʼа Рʼәһобоԝам бу, Рʼәһобоԝамрʼа Әбийа бу, Әбийарʼа Асаф бу,"
"New","40","1","8","Асафрʼа Йеһошәфат бу, Йеһошәфатрʼа Йорам бу, Йорамрʼа Узийа бу,"
"New","40","1","9","Узийарʼа Йотам бу, Йотамрʼа Аһаз бу, Аһазрʼа Һьзԛийа бу,"
"New","40","1","10","Һьзԛийарʼа Мьнашә бу, Мьнашәрʼа Амос бу, Амосрʼа Йошийа бу"
"New","40","1","11","у Йошийарʼа Йәхонийа у бьрава бун. Ԝи чахи щьмәʼт сьргун чу Бабилоне."
"New","40","1","12","Ле пәй сьргунчуйина Бабилонеда, жь Йәхонийарʼа Шалтийел бу, Шалтийелрʼа Зәрубабәл бу,"
"New","40","1","13","Зәрубабәлрʼа Абийуд бу, Абийудрʼа Елйаԛим бу, Елйаԛимрʼа Азур бу,"
"New","40","1","14","Азуррʼа Садоԛ бу, Садоԛрʼа Ахин бу, Ахинрʼа Елйуд бу,"
"New","40","1","15","Елйудрʼа Елазар бу, Елазаррʼа Мәтан бу, Мәтанрʼа Аԛуб бу,"
"New","40","1","16","Аԛубрʼа Усьв бу, мере Мәрйәме, йа кӧ Иса жь ԝе ԝәльди, кӧ Мәсиһ те готьне."
