Testament,Book,Chapter,Verse,Content
"New","40","1","1","Ыбрайымдын тукумунан чыккан Дөөт падышанын тукуму Ыйса Машаяктын санжырасы:"
"New","40","1","2","Ыбрайымдан Ыскак, Ыскактан Жакып, Жакыптан Жүйүт жана анын ага-инилери,"
"New","40","1","3","Жүйүттүн Тамар аттуу аялынан Перес менен Зерак, Перестен Эсрон, Эсрондон Рам,"
"New","40","1","4","Рамдан Аминадап, Аминадаптан Наасон, Наасондон Салмон,"
"New","40","1","5","Салмондун Рахап аттуу аялынан Обоз, Обоздун Рут аттуу аялынан Абыт, Абыттан Жесей,"
"New","40","1","6","Жесейден Дөөт падыша туулган. Дөөт падыша Урийдин жесирине үйлөнүп, андан Сулайман туулган."
"New","40","1","7","Сулаймандан Рехабам, Рехабамдан Абыя, Абыядан Аса,"
"New","40","1","8","Асадан Жашапат, Жашапаттан Жорам, Жорамдан Узия,"
"New","40","1","9","Узиядан Жотам, Жотамдан Ахаз, Ахаздан Эзекия,"
"New","40","1","10","Эзекиядан Манаш, Манаштан болсо Амос, Амостон Жошия,"
"New","40","1","11","Жошиядан Экония жана анын бир туугандары туулган. Ушундан соң, Жүйүттүн эли Бабылга зордук менен көчүрүлгөн."
"New","40","1","12","Бабылга көчүрүлгөндөн кийин Экониядан Шелтиел, Шелтиелден Зоробабыл,"
"New","40","1","13","Зоробабылдан Абыют, Абыюттан Элияким, Элиякимден Азор,"
"New","40","1","14","Азордон Садок, Садоктон Аким, Акимден Элиют,"
"New","40","1","15","Элиюттан Элазар, Элазардан Матан, Матандан Жакып,"
"New","40","1","16","Жакыптан Жусуп туулган. Жусуп Машаяк аталган Ыйсаны төрөгөн Мариямдын күйөөсү болот."
"New","40","1","17","Ошентип, Ыбрайымдан Дөөткө чейинки мезгилдин аралыгында он төрт муун, Дөөттөн Бабылга көчүрүлгөн мезгилге чейин он төрт муун, Бабылга көчүрүлгөндөн Машаяк төрөлгөнгө чейинки аралыкта он төрт муун өткөн."
"New","40","1","18","Ал эми Ыйса Машаяк мындайча төрөлгөн: сөйкө салынып, Жусупка башы байланган, келечекте төрөлө турган Ыйсанын энеси Мариям күйөөгө чыга электе эле Ыйык Рухтан кош бойлуу экендиги маалым болот."
"New","40","1","19","Болочок күйөөсү Жусуп адил адам болгондуктан Мариямды эл алдында шерменде кылгысы келбей, жашыруун башын ачып коюуну чечет."
"New","40","1","20","Ушундай ойлоп жүргөндө, Жараткан Эгенин периштеси түшүнө кирип, мындай дейт: «Жусуп! Дөөттүн тукуму, колуктуң Мариямды алгандан коркпо! Анткени боюндагы Бала Ыйык Рухтан бүткөн."
"New","40","1","21","Төрөгөндө Балага Ыйса деген ат коёсуң, анткени Ал Өз элин алардын күнөөлөрүнөн куткарат»."
"New","40","1","22","Мунун баары Жараткан Эгенин Өз пайгамбары аркылуу айттырган сөзүнүн аткарылышы үчүн болду."
"New","40","1","23","Ал мындай дебеди беле: «Бир кыз кош бойлуу болуп, Уул төрөйт, атын Имануэл коюшат».(Мунун мааниси: Кудай биз менен.)"
"New","40","1","24","Жусуп ушул түштөн кийин Жараткан Эгенин периштесинин буйругу боюнча колуктусу Мариямга үйлөнөт."
"New","40","1","25","Бирок ал төрөгөнгө чейин аны менен төшөктө чогуу жатпайт. Аялы Уул төрөгөндө, Балага Ыйса деген ат коёт."
"New","40","2","1","Ыйса Ирод падышанын тушунда Иудея аймагынын Бейтлехем деген шаарында төрөлдү. Чыгыштан Иерусалимге келишкен акылмандар:"
"New","40","2","2","«Иудейлердин жаңы төрөлгөн падышасы кайда болду экен? — деп адамдардан сурамжылашты. — Биз күн чыгыштан анын жылдызын көрүп, ага таазим кылганы келдик»."
"New","40","2","3","Муну укканда, Ирод падышанын тынчы кетти. Аны менен бирге бүткүл Иерусалим калкы да дүрбөлөңгө түштү."
