Testament,Book,Chapter,Verse,Content
"New","40","1","1","Oyo ezali bakombo ya bankoko ya Yesu Kristo, mwana ya David, mwana ya Abraham:"
"New","40","1","2","Abraham abotaki Izaki; Izaki abotaki Zakobi; mpe Zakobi abotaki Yudana bandeko na ye."
"New","40","1","3","Yuda na mwasi na ye Tamare babotaki Farezi mpe Zara; Fareziabotaki Esromi; mpe Esromi abotaki Arami."
"New","40","1","4","Arami abotaki Aminadabi; Aminadabi abotaki Nasoni; mpe Nasoni abotaki Salmon;"
"New","40","1","5","Salmon na mwasi na ye Rabi babotaki Bowazi; mpe Bowasi na mwasi na ye Ruti babotaki Obedi."
"New","40","1","6","Obedi abotaki Isayi; Isayi abotaki Mokonzi David; mpe Mokonzi David na mwasi oyo Uri atikaki, babotaki Salomon."
"New","40","1","7","Salomon abotaki Robowami; Robowami abotaki Abia; mpe Abia abotaki Asa;"
"New","40","1","8","Asa abotaki Zozafati; Zozafati abotaki Zorami; mpe Zorami abotaki Oziasi."
"New","40","1","9","Oziasi abotaki Zowatami; Zowatami abotaki Akazi; mpe Akazi abotaki Ezekiasi."
"New","40","1","10","Ezekiasi abotaki Manase; Manase abotaki Amoni; mpe Amoni abotaki Zoziasi."
"New","40","1","11","Zoziasi abotaki Zakoniasi na bandeko na ye; bango babotamaki tango bamemaki bato ya Isayele na bowumbu na ekolo ya Babilone."
"New","40","1","12","Sima ya komema bato ya Isayele na Babilone; Zekoniasi abotaki Salatiele; mpe Salatiele abotaki Zorobabele;"
"New","40","1","13","Zorobabele abotaki Abiyudi; Abiyudi abotaki Eliyakimi; mpe Eliyakimi abotaki Azori."
"New","40","1","14","Azori abotaki Sadoki; Sadoki abotaki Akimi; mpe Akimi abotaki Eliyudi."
"New","40","1","15","Eliyudi abotaki Eleyazari; Eleyazari abotaki Matani; mpe Matani abotaki Zakobi."
"New","40","1","16","Zakobi abotaki Zozefi, oyo azalaki mobali ya Mariya, mama ya Yesu oyo babengaka Kristo."
"New","40","1","17","Bango nyonso, banda na Abraham kino na David, ezalaki na mabota zomi na minei; banda David kino na tango bamemaki bato ya Isayele na bowumbu na Babilone, ezalaki na mabota zomi na minei; mpe kobanda tango bamemaki bato ya Isayele na bowumbu kino na Kristo, ezalaki na mabota zomi na minei."
"New","40","1","18","Tala ndenge Yesu Kristo abotamaki: mama na ye Mariya, azalaki elenge mwasi oyo Zozefi andimaki kobala. Kasi liboso ete bavanda esika moko, Mariya azwaki zemi na nguya ya Molimo Mosantu."
"New","40","1","19","Zozefi, mobali na ye, azalaki moto na sembo mpe alingaki te koyokisa ye soni na miso ya bato; yango wana akanaki aboya ye na sekele."
"New","40","1","20","Awa azalaki kokanisa mpo na makambo yango, anzelu ya Nkolo abimelaki ye na ndoto, mpe alobaki na ye: —Zozefi mwana ya David, kobanga te mpo na kozwa Mariya mwasi na yo, pamba te zemi oyo azali na yango ewuti na Molimo Mosantu."
"New","40","1","21","Akobota mwana mobali, bongo okopesa ye kombo Yesu, pamba teye moto akobikisa bato na ye na masumu na bango!"
"New","40","1","22","Nyonso oyo esalamaki mpo ete maloba oyo Nkolo alobaki na monoko ya moprofeta ekokisama:"
"New","40","1","23","	 Boyoka, elenge mwasi oyo ayebi naino mobali te, akozwa zemi. Akobota mwana mobali, mpe bakopesa ye kombo Emanuele; yango elingi koloba: Nzambe azali elongo na biso!"
"New","40","1","24","Tango Zozefi alamukaki, asalaki ndenge anzelu ya Nkolo atindaki ye, mpe azwaki Mariya mwasi na ye."
"New","40","1","25","Kasi Zozefi ayebaki nzoto na ye te kino tango abotaki mwana mobali; mpe apesaki ye kombo Yesu."
"New","40","2","1","Yesu abotamaki na Betelemi ya Yudea, tango Erode azalaki mokonzi; sima na yango, bato ya mayele oyo bayekolaka minzoto, bawutaki na mokili ya Este, bakomaki na Yeruzalem."
"New","40","2","2","Batunaki: —Mokonzi ya Bayuda oyo awuti kobotama azali wapi? Pamba te, tomonaki monzoto na ye na mokili ya Este, yango wana toye kokumbamela ye!"
"New","40","2","3","Tango mokonzi Erode ayokaki sango yango, ye na bato nyonso ya Yeruzalem bamitungisaki mingi."
"New","40","2","4","Abengisaki bakonzi nyonso ya banganga-Nzambe mpe balakisi ya Mibeko, mpe atunaki bango soki Kristo asengeli kobotama wapi."
"New","40","2","5","Bazongiselaki ye: —Na Betelemi ya Yudea, pamba te moprofeta akomaki boye:"
"New","40","2","6","	 E e yo Betelemi, kati na mokili ya Yudea, ozali moke te kati ya bakonzi ya Yudea, pamba te, Mokonzi akobima epai na yo, oyo akozala mobateli ya bato na ngai Isayele!"
"New","40","2","7","Bongo Erode abengisaki na sekele bato ya mayele oyo batalaka minzoto mpe atunaki bango bayebisa ye tango penza oyo monzoto ebimaki."
"New","40","2","8","Atindaki bango na Betelemi na maloba oyo: —Bokende kuna mpe botuna malamu makambo ya mwana wana. Tango bokomona ye, boyebisa ngai, mpo ngai mpe nakende kokumbamela ye!"
"New","40","2","9","Sima ya koyoka maloba ya mokonzi, bakendaki. Mpe monzoto oyo bamonaki na Este ezalaki kokende liboso na bango kino tango etelemaki likolo ya esika mwana azalaki."
"New","40","2","10","Tango bamonaki monzoto, bayokaki esengo mingi penza."
"New","40","2","11","Bakotaki na ndako, bamonaki mwana na mama na ye Mariya; bafukamaki mpe bakumbamelaki ye. Bongo bafungolaki basaki na bango, mpe bapesaki ye makabo oyo: wolo, ansa mpe mafuta ya solo kitoko."
"New","40","2","12","Awa Nzambe akebisaki bango na ndoto, ete bazonga te epai ya Erode, bazongaki na mokili na bango na nzela mosusu."
"New","40","2","13","Tango bakendaki, anzelu ya Nkolo abimelaki Zozefi na ndoto mpe alobaki na ye: —Telema, kamata mwana na mama na ye, mpe kina na Ezipito. Vanda kuna kino tango nakoyebisa yo pamba te Erode akoluka mwana, mpo na koboma ye."
"New","40","2","14","Kaka na butu wana, Zozefi atelemaki, akamataki mwana na mama na ye, mpe akendaki na Ezipito."
"New","40","2","15","Avandaki kuna kino tango Erode akufaki. Na bongo nde maloba ya Nkolo, oyo alobaki na monoko ya moprofeta ekokisamaki: Nabengaki mwana na ngai abima na Ezipito."
"New","40","2","16","Tango Erode amonaki ete bato ya mayele oyo batalaka minzoto batosaki ye te, atondaki na kanda. Yango wana atindaki ete baboma, na Betelemi mpe na bamboka ya pembeni-pembeni na yango, bana nyonso ya mibali oyo bazalaki na bambula mibale kino na nse; pamba te alandaki malamu penza tango oyo bato ya mayele baoyo batalaka minzoto bayebisaki ye."
"New","40","2","17","Na ndenge wana nde, maloba ya moprofeta Jeremiya ekokisamaki:"
"New","40","2","18","	 Mongongo eyokani na Rama; kolela mpe mawa monene. Ezali Rashele, azali kolela bana na ye; aboyi bakitisa ye motema, pamba te bana na ye bakufi."
"New","40","2","19","Sima ya liwa ya Erode, anzelu ya Nkolo abimelaki Zozefi na ndoto na Ezipito,"
"New","40","2","20","mpe alobaki na ye: —Telema, kamata mwana na mama na ye mpe zonga na mokili ya Isayele, pamba te baoyo bazalaki koluka koboma mwana basiʼbakufi."
"New","40","2","21","Zozefi atelemaki, akamataki mwana na mama na ye, mpe azongaki na mokili ya Isayele."
"New","40","2","22","Kasi tango ayokaki ete Arkelawusi akomaki mokonzi ya Yudea na esika ya tata na ye Erode, abangaki kokende kuna. Awa bakebisaki ye na ndoto, akendaki kovanda na ekolo ya Galileya,"
"New","40","2","23","kuna afandaki na vile ya Nazareti. Na bongo nde maloba ya baprofeta ekokisamaki: Bakobenga ye moto ya Nazareti."
"New","40","3","1","Na mikolo wana, Jean-Batiste ayaki mpe abandaki koteya na esobe ya Yudea."
"New","40","3","2","Azalaki koloba boye: —Bobongola mitema, pamba te Bokonzi ya likolo ekomi pene-pene!"
"New","40","3","3","Ezali ye nde moprofeta ezayi alobelaki: Mongongo ya moto ezali kobelela na esobe: Bobongisa bala-bala ya Nkolo, bosalela ye banzela oyo etengama te!"
"New","40","3","4","Jean azalaki kolata bilamba oyo basala na bapuale ya shamo, mpe mokaba ya mposo ya nyama na loketo. Azalaki kolia mabanki na mafuta ya nzoyi."
"New","40","3","5","Bato bazalaki kowuta na Yeruzalem, na Yudea mobimba mpe na bapembeni ya mayi ya Yordani, bazalaki kokende epai na ye."
"New","40","3","6","Bazalaki koyambola masumu na bango, bongo Jean azalaki kobatisa bango na mayi ya Yordani."
"New","40","3","7","Kasi tango amonaki ete bafarizeo mingi na Basaduseoo bazalaki koya kozwa libatisi, alobaki na bango: —Bino libota ya banioka! Nani akebisi bino ete bokima kandaoyo ezali koya?"
"New","40","3","8","Bobota mbuma oyo ebongi mpo na bato oyo babongoli mitema."
"New","40","3","9","Bokanisa te ete bokoki komiloba: “Abraham azali tata na biso!” Pamba te nalobi na bino ete Nzambe akoki kobimisela Abraham bana wuta na mabanga oyo."
"New","40","3","10","Epasola komi esiʼebongisami mpo na kokata misisa ya nzete. Nzete nyonso oyo ebotaka mbuma ye malamu te, bakokata yango mpe bakobwaka yango na moto."
"New","40","3","11","—Ngai nazali kobatisa bino na mayi mpo na kolakisa ete bosiʼbobongoli mitema. Kasi moto oyo akoya sima na ngai, aleki ngai na nguya mpe nakoki kutu te komema basapato na ye; ye moto akobatisabino na Molimo Mosantu mpe na moto."
"New","40","3","12","Asimbi kiyungulu na maboko na ye, mpe akopetola esika na ye oyo batutelaka mbuma; mpe akobomba ble na ebombelo na ye; kasi akotumba matiti na moto moko oyo ekufaka te!"
"New","40","3","13","Yesu awutaki na Galileya mpe ayaki na Yordani. Ayaki epai ya Jean mpo na kozwa libatisi."
"New","40","3","14","Kasi Jean alingaki kopekisa ye, mpe alobaki na ye: —E e! ezali ngai moto nalingaki koya kozwa libatisi epai na yo, kasi yo oye epai na ngai!"
"New","40","3","15","Kasi Yesu azongisaki: —Tika ete ezala bongo sikʼoyo! Pamba te, ezali na lolenge oyo nde ekoki na biso kokokisa bosembo nyonso. Bongo Jean andimaki."
"New","40","3","16","Tango Yesu azuaki libatisi, abimaki na mayi, likolo efungwamaki, mpe amonaki Molimo na Nzambe azalaki kokita lokola pijon, mpe ayaki likolo na ye."
"New","40","3","17","Mpe mongongo ewutaki na likolo elobaki: —Oyo azali Mwana na ngai ya bolingo, asepelisaka ngai mingi!"
"New","40","4","1","Bongo Molimo amemaki Yesu na esobe mpo zabolo ameka ye."
"New","40","4","2","Sima ya koboya kolia bilei mpo na mabondeli mikolo ntuku minei: moi mpe butu, Yesu ayokaki nzala."
"New","40","4","3","Momeki ayaki epai na ye mpe alobaki: —Soki ozali Mwana ya Nzambe, loba na mabanga oyo ebongwana mampa!"
"New","40","4","4","Kasi Yesu azongisaki: —Ekomama: Moto akozala na bomoi kaka mpo na limpa te, kasi mpe mpo na maloba nyonso oyo ebimaka na monoko ya Nzambe!"
"New","40","4","5","Bongo Zabolo amemaki ye na vile ya bosantu, atiaki ye na esika oyo eleki likolo, oyo ya Ndako ya Nzambe,"
"New","40","4","6","mpe alobaki na ye: —Soki ozali Mwana ya Nzambe, mibwaka na nse. Pamba te ekomama: Akotinda baanzelu na ye mpo na yo. Bakomema yo na maboko na bango, mpo ete lokolo na yo etuta libanga te!"
"New","40","4","7","Yesu azongisaki: —Ekomama lisusu: Komeka Nkolo Nzambe na yo te!"
"New","40","4","8","Zabolo amemaki ye lisusu likolo ya ngomba moko ya molayi penzampe alakisaki ye bokonzi ya mikili nyonso, na lokumu na yango."
"New","40","4","9","Bongo alobaki na ye: —Soki ofukameli ngai mpe okumbameli ngai, nakopesa yo nyonso oyo!"
"New","40","4","10","Kasi yesu alobaki na ye: —Longwa Satana! Pamba te ekomama: Kumbamela Nkolo Nzambe na yo mpe salela kaka ye moko!"
"New","40","4","11","Bongo zabolo atikaki ye, mpe baanzelu bayaki kosalela ye."
"New","40","4","12","Tango yesu ayokaki ete batiaki Jean na boloko, azongaki na Galileya;"
"New","40","4","13","tango atikaki Nazareti, akendaki kovanda na Kapenawumi, oyo ezali pembeni ya ebale, na mikili ya zabumoni mpe ya Neftali,"
"New","40","4","14","mpo ete maloba ya moprofeta Ezayi ekokisama:"
"New","40","4","15","	 Mokili ya zabuloni mpe mokili ya Neftali, nzela ya ebale, na ngambo ya Yordani, e e yo Galileya ya bapakano:"
"New","40","4","16","	 Bato oyo bazalaki na molili, bamonaki mwinda monene; bazalaki kovanda na mboka ya molili ya kufa, moi ebimeli bango."
"New","40","4","17","Banda tango wana, Yesu abandaki koteya boye: —Bobongola mitema, pamba te Bokonzi ya likolo ekomi pene-pene!"
"New","40","4","18","Awa Yesu azalaki kotambola pembeni-pembeni ya ebale monene ya Galileya, amonaki bandeko mibale: Simon oyo bazalaki kobenga lisusu Piere na ndeko na ye Andele; bazalaki kobwaka monyama na ebale, pamba te bazalaki baluki mbisi."
"New","40","4","19","Yesu alobaki na bango: —Bolanda ngai, mpe nakokomisa bino baluki ya bato!"
"New","40","4","20","Kaka na tango wana, batikaki minyama na bango; mpe balandaki ye."
"New","40","4","21","Tango apusanaki mwa liboso, amonaki lisusu bandeko mibale: Zaki mwana ya Zebede na ndeko na ye Jean; bazalaki kobongisa minyama na bango na kati ya bwato elongo na tata na bango Zebede. Bongo Yesu abengaki bango."
"New","40","4","22","Mpe kaka na tango wana, basundolaki bwato na bango, batikaki tatana bango, mpe balandaki ye."
"New","40","4","23","Yesu atambolaki na Galileya mobimba, azalaki koteya na bandakona bango ya mayangani, azalaki kosakola Sango Malamu ya Bokonzi, mpe azalaki kobikisa bamaladi ya ndenge nyonso mpe bapasi ya ndenge na ndengekati na bato."
