Testament,Book,Chapter,Verse,Content
"New","40","1","1","Chitabu cha lukolo lwa Yesu Kiristu, mtsukulu wa Daudi, iyakalile mtsukulu wa Abrahamu."
"New","40","1","2","Abrahamu tsakamweleka Isaka, Isaka kamweleka Yakobu, Yakobu kamweleka Yuda na ndughu tsake,"
"New","40","1","3","Yuda kaweleka Peresi na Sela, mai wawo tsakakala Tamari, Peresi kamweleka Hesironi, Esironi kamweleka Aramu,"
"New","40","1","4","Aramu kamweleka Aminadabu, Aminadabu kamweleka Nasoni, Nasoni kamweleka Salimoni,"
"New","40","1","5","Salimoni kamweleka Boasi, mai wake Boasi tsakakala Rahabu, Boasi kamweleka Obedi kwa Rutu, Obedi kamweleka Yese,"
"New","40","1","6","Yese kamweleka Mndewa Daudi, naye Daudi kamweleka Selemani, mai wake Selemani tsakakala mwehe wa Uriya."
"New","40","1","7","Selemani kamweleka Rehoboamu, Rehoboamu kamweleka Abiya, Abiya kamweleka Asa,"
"New","40","1","8","Asa kamweleka Yehoshafati, Yehoshafati kamweleka Yoramu, Yoramu kamweleka Uzia,"
"New","40","1","9","Uzia kamweleka Yosamu, Yosamu kamweleka Ahasi, Ahasi kamweleka Hesekiya,"
"New","40","1","10","Hesekiya kamweleka Manase, Manase kamweleka Amoni, Amoni kamweleka Yosiya,"
"New","40","1","11","Yosiya kamweleka Yekoniya na ndughu tsake mne ghamatsuwa ghala Wayahudi ghawaghalighwe Babeli."
"New","40","1","12","Wayahudi hawakalile Babeli, Yekoniya kamweleka Setieli, Setieli kamweleka Serubabeli,"
"New","40","1","13","Serubabeli kamweleka Abihudi, Abihudi kamweleka Eliyakimu, Eliyakimu kamweleka Asori,"
"New","40","1","14","Asori kamweleka Sadoki, Sadoki kamweleka Akimu, Akimu kamweleka Eliudi,"
"New","40","1","15","Eliudi kamweleka Eliasali, Eliasali kamweleka Matani, Matani kamweleka Yakobu,"
"New","40","1","16","Yakobu kamweleka Yosefu, mmale wake Mariya, mai wake Yesu iyokemighwa Kiristu Mkombotsi."
"New","40","1","17","Apfo tsakukala na pfeleko kumi na nne kulawa Abrahamu mbaka Daudi, na pfeleko kumi na nne kulawa Daudi mbaka Wayahudi hawaghalighwe akula Babeli, na pfeleko kumi na nne kulawa Wayahudi hawaghalighwe Babeli mbaka kwelekighwa kwa Kiristu Mkombotsi."
"New","40","1","18","Ukwelekighwa kwa Yesu Kiristu tsakukala pfino, Mariya mai wake Yesu tsakalapfighwa tsengele na Yosefu, lekeni ng'ana wawase hamwe bae, Mariya tsakoneka kana inda kwa uwetso wa Ghumuhe Mwenzeluka."
"New","40","1","19","Kwaapfila Yosefu tsakakala imunu yanoghile, ng'abamile bae kumghela ichinyala Mariya, apfo kabama yamleke chinyelenyele."
"New","40","1","20","Hang'ali yakwalangula chinu acho, Malaika kamlawila mndoto kamlongela, “Yosefu mwana wa Daudi, uleke kupfuka kumsola Mariya yawe mwehe wako, kwaapfila inda yake ilawa kwe Ghumuhe Mwenzeluka."
"New","40","1","21","Katsakwelekela imwana mmale, naghwe kutsomwing'a taghwa Yesu. Kwaapfila katsowakombola iwanu wake kulawa mne nzambi tsawo.”"
"New","40","1","22","Ghose ghano ghalawila kutimilitsa aghala ghayalongile Imtwatsa kubitila nabii,"
"New","40","1","23","“Mwali ng'ana yawase na mmale katsokinda inda, katsomweleka imwana, nawo watsomkema Imanweli! Mana yake, Imulungu kahamwe na twetwe.”"
"New","40","1","24","Apfo Yosefu hayalamke katenda ka malaika pfayamlongele, kamsola Mariya, mwehe wake."
"New","40","1","25","Lekeni ng'awasile naye bae mbaka hayeleke imwana. Yosefu kamwing'a litaghwa imwana ayo Yesu."
"New","40","2","1","Yesu tsakoneka mne ghumji ghwa Betilehemu mne isi ya Yudeya, ghamatsuwa ghala Herodi hakalile Imndewa. Iwanu iwomanya igholawila kwa kulola tsinondo iwalawile ubali wa kwalilawila litsua tsawatsa Yerusalemu,"
"New","40","2","2","waghutsa, “Yalikwani imndewa wa Wayahudi yelekighwe? Tuyona inondo yake kulawa ubali wa kwalilawila litsua, kuya tutsa kumtamanila.”"
"New","40","2","3","Imndewa Herodi na iwanu wose iwali Yerusalemu hawahulike apfo, tsawaghanzika."
"New","40","2","4","Herodi kawakema hamwe iwatambika wakulu na iwolangulitsa Ghamalaghitso, kawaghutsa, “Kiristu Mkombotsi yatsakonekela kwani?”"
"New","40","2","5","Wamwidika, “Katsakonekela Betilehemu mne isi ya Yudeya, kwaapfila yandikighwa na nabii,"
"New","40","2","6","‘Naghwe Betilehemu yuli mne isi ya Yuda, ng'auli mdodo bae mne ipfilongotsi wa Yudeya, kwaapfila kuna ghweghwe katsolawila chilongotsi, naye katsokuwa imdimi we iwanu wangu we Isiraeli.’ ”"
"New","40","2","7","Kuya Herodi kawakema chinyelenyele awala iwanu iwomanya igholawila kwa kulola tsinondo ili wamlongele inondo tsailawile tsuwachi."
"New","40","2","8","Kuya kawatuma Betilehemu, kawalongela, “Mghende mkabame pfinoghile kwayali imwana. Baho hamtsomwona muye mnilongele ili na nene nighende nikamtamanile.”"
"New","40","2","9","Nawo hawamalitse kumhulikitsa imndewa tsawoka, na inondo iyawonile kulawa ubali wa kwalilawila litsuwa iwalongotsa na ukwima hanu kwayakalile imwana."
"New","40","2","10","Hawayonile inondo ayo, wadeng'elela sideke."
"New","40","2","11","Apfo wengila mng'anda, wamwona imwana hamwe na Mariya mai wake, nawo wenama hambele hake, wamtamanila. Kuya wapfughula imikoba yawo, wamwing'a nzawadi, nzahabu, upfumba na dawa inoghile iikemighwa manemane."
"New","40","2","12","Kuya woya ukaye yawo kwa inzila ingi, kwaapfila Imulungu tsakawakanya mndoto waleke kumuyila Herodi."
"New","40","2","13","Iwanu awo hawokile, malaika kamlawila Yosefu mndoto kamlongela, “Winuke, umsole imwana na mai wake, mtsumile Misiri. Mkale ako mbaka hanitsokulongela, kwaapfila Herodi kobama yamkome imwana.”"
"New","40","2","14","Apfo Yosefu kalamka, kamsola imwana na mai wake ichilo chicho, waghenda Misiri."
"New","40","2","15","Tsakakala ako mbaka Herodi hayafile. Chinu acho chitendeka ili imbuli yalongile Imtwatsa kubitila nabii itimile, “Tsanimkema mwanangu kulawa Misiri.”"
"New","40","2","16","Herodi hayatangile ka iwanu iwomanya igholawila kwa kulola tsinondo wamghutsukila, tsakona maya ng'ani. Kalapfa laghitso iwana wose iwamale iwali Betilehemu na awala iwali habehi wakomighwe, iwana iwakalile na miyaka mili na awala ing'awapfikile miyaka mili kulawa litsuwa lila iwanu wala hawayonile inondo."
"New","40","2","17","Kuya achila ichilongighwe na nabii Yeremiya chitimila,"
"New","40","2","18","“Listi lyohulikighwa ako Rama, chililo cha usungu mkulu, Raheli kowalilila iwanaghe naye kolema kukanzighwa, kwaapfila wose wafa.”"
"New","40","2","19","Herodi hayafile, malaika we Imtwatsa kamlawila Yosefu mndoto mne isi ya Misiri,"
"New","40","2","20","kamlongela, “Winuke, umsole imwana na mai wake muye Isiraeli, kwaapfila awala iwabamile kumkoma imwana, wose ma wafa.”"
"New","40","2","21","Apfo Yosefu kenuka, kamsola imwana na mai wake woya Isiraeli."
"New","40","2","22","Lekeni Yosefu hayahulike Akelao kawa mndewa hanu ha Herodi, aba wake ako Yudeya, tsakapfuka kughenda ako, naye kwaapfila kakanyighwa mndoto, tsakaghenda Galilaya,"
"New","40","2","23","kuya kakala mne ghumji ghwa Natsareti. Apfo chitimila achila ichilongighwe na manabii, “Katsokemighwa Mnasaleti.”"
"New","40","3","1","Imiyaka mingi hambele Yohane Mbatitsa tsakaghenda mne inyika ya Yudeya, kandusa kuwapetela iwanu."
"New","40","3","2","Kalonga, “Mtsileke nzambi tsenu kwaapfila Undewa wa kulanga wa habehi!”"
"New","40","3","3","Yohane iyo imunu iyalongighwe ne nabii Isaya, “Litsi lye imunu lyokema kunyika, ‘Muiyandae inzila ye Imtwatsa, mgholoseleni inzila yake.’ ”"
"New","40","3","4","Yohane tsakapfala ghamaghwanda ighatendighwe kwe imighala ye ngamiya, na ghumsipi ghwe ingotsi mchuno, chijo chake tsachikala iwanzighe ne uki ye kwibagho."
"New","40","3","5","Iwanu wamghendela kulawa Yerusalemu, Yudeya yose na kulawa mne isi tsose itsili habehi ne ghumto Yoridani."
"New","40","3","6","Watsitoghola nzambi tsawo na kutsileka, naye kawabatitsa mne ghumto Yoridani."
"New","40","3","7","Yohane hawonile Mafarisayo na Masadukayo wengi womtsila yawabatitse, kawalongela, “Mwemwe iwana we nzoka! Yuhi yawalongele mwodaha kuhepa ukuhighighwa ne Imulungu ikukutsa?"
"New","40","3","8","Mtende aghala igholangusa ka mtsileka nzambi tsenu."
"New","40","3","9","Mleke kwipfikitsa ka mwodaha kuhepa ukuhighighwa ne Imulungu kwa kulonga mwinaye aba wenu Abrahamu. Nomlongelani ghendo, Imulungu kodaha kumtendela Abrahamu iwana kulawa mne ghamabwe ghano."
"New","40","3","10","Hoya ma ikighwa mmasina mwe imibiki, apfo chila mbiki ing'aukweleka ghamatunda ghanoghile woghanighwa na kwasighwa mmoto."
