Testament,Book,Chapter,Verse,Content
"New","40","1","1","Inilah salasilah Isa al-Masih, keturunan Daud, keturunan Ibrahim."
"New","40","1","2","Ibrahim beroleh anak yang dinamai Ishak, Ishak beroleh Yakub, dan Yakub beroleh Yudah serta saudara-saudaranya."
"New","40","1","3","Yudah beroleh Peres dan Zerah daripada isterinya Tamar, Peres beroleh Hezron, dan Hezron beroleh Ram."
"New","40","1","4","Ram beroleh Aminadab, Aminadab beroleh Nahason, dan Nahason beroleh Salmon."
"New","40","1","5","Salmon beroleh Boas daripada isterinya Rahab, Boas beroleh Obed daripada isterinya Rut, dan Obed beroleh Isai,"
"New","40","1","6","dan Isai beroleh Raja Daud. Raja Daud beroleh Sulaiman daripada isteri Uria."
"New","40","1","7","Sulaiman beroleh Rehabeam, Rehabeam beroleh Abia, dan Abia beroleh Asa."
"New","40","1","8","Asa beroleh Yosafat, Yosafat beroleh Yoram, dan Yoram beroleh Uzia."
"New","40","1","9","Uzia beroleh Yotam, Yotam beroleh Ahaz, dan Ahaz beroleh Hizkia."
"New","40","1","10","Hizkia beroleh Manasye, Manasye beroleh Amon, dan Amon beroleh Yosia."
"New","40","1","11","Yosia beroleh Yoyakhin dan saudara-saudaranya sekitar masa mereka dibawa sebagai tawanan di Babel."
"New","40","1","12","Seterusnya, Yoyakhin beroleh Sealtiel, dan Sealtiel beroleh Zerubabel."
"New","40","1","13","Zerubabel beroleh Abihud, Abihud beroleh Elyakim, dan Elyakim beroleh Azur."
"New","40","1","14","Azur beroleh Zadok, Zadok beroleh Akhim, dan Akhim beroleh Eliud."
"New","40","1","15","Eliud beroleh Eleazar, Eleazar beroleh Matan, dan Matan beroleh Yakub."
"New","40","1","16","Maka Yakub beroleh Yusuf, suami Maryam, Maryamlah yang melahirkan Isa yang dipanggil al-Masih."
"New","40","1","17","Dengan demikian, ada empat belas keturunan dari Ibrahim hingga ke Daud; empat belas keturunan dari Daud hingga ke masa pembuangan di Babel; dan empat belas keturunan dari masa itu hingga kelahiran al-Masih."
"New","40","1","18","Inilah kisah kelahiran Isa al-Masih: Ibu-Nya, Maryam bertunang dengan Yusuf, tetapi sebelum perkahwinan mereka dilangsungkan, Maryam mengandung melalui kuasa Roh Suci."
"New","40","1","19","Yusuf, seorang yang takwa dan berakhlak, tidak mahu memalukan Maryam di mata masyarakat. Dia berniat memutuskan pertunangan mereka secara diam-diam."
"New","40","1","20","Dia memikirkan hal itu sehalus-halusnya. Suatu malam dia bermimpi malaikat Tuhan memperlihatkan diri kepadanya lalu berkata, ‘Hai Yusuf keturunan Daud! Janganlah takut mengambil Maryam sebagai isterimu. Dia mengandung melalui kuasa Roh Suci."
"New","40","1","21","Maryam akan melahirkan seorang anak lelaki. Namakanlah anak itu Isa. Dia akan menyelamatkan umat-Nya daripada dosa mereka.’"
"New","40","1","22","Segala ini terjadi supaya berlakulah firman Tuhan melalui nabi-Nya:"
"New","40","1","23","‘Seorang anak dara akan mengandung, dan melahirkan seorang anak lelaki, maka Anak itu akan dipanggil Immanuel’ bererti, ‘Allah menyertai kita’ dalam bahasa Ibrani."
"New","40","1","24","Apabila Yusuf terjaga, dia pun mematuhi apa yang disampaikan oleh malaikat Tuhan itu lalu berkahwin dengan Maryam."
"New","40","1","25","Tetapi Yusuf tidak menyentuh Maryam sebagai isterinya hinggalah Maryam melahirkan Anak itu. Yusuf menamai Anak itu Isa."
"New","40","2","1","Isa dilahirkan di Baitlahim, Yudea, semasa pemerintahan Raja Herodes. Tidak lama kemudian datanglah beberapa orang ahli ilmu bintang dari Timur ke Baitulmaqdis."
"New","40","2","2","Mereka bertanya, ‘Di manakah Anak yang baru lahir, yang akan menjadi Raja orang Yahudi? Kami melihat bintang-Nya muncul di Timur, dan kami datang hendak menyembah-Nya.’"
"New","40","2","3","Apabila mendengar perkara itu, Raja Herodes berasa risau, begitu juga semua penduduk Baitulmaqdis."
