Testament,Book,Chapter,Verse,Content
"New","40","1","1","Isinduna thamliba asi David amadi Abraham-gi charon suron oiriba Jisu Christtagi pari purigi maramdani."
"New","40","1","2","Abraham-na Isaac pok-i, Isaac-na Jacob pok-i, Jacob-na Judah amasung mahakki machin manaosing pok-i."
"New","40","1","3","Aduga Judah-na Perez amasung Zerah pok-i, amasung Tamar-na makhoigi mamani. Aduga Perez-na Hezron pok-i, Hezron-na Ram pok-i."
"New","40","1","4","Aduga Ram-na Amminadab pok-i, Amminadab-na Nahshon pok-i, Nahshon-na Salmon pok-i."
"New","40","1","5","Salmon-na Rahab louduna Boaz pok-i. Aduga Boaz-na Ruth louduna Obed pok-i. Adudagi Obed-na Jesse pok-i."
"New","40","1","6","Jesse-na David ningthou pok-i; aduga David-na Uriah-na louramba nupi adu louduna Solomon pok-i."
"New","40","1","7","Aduga Solomon-na Rehoboam pok-i, Rehoboam-na Abijah pok-i, Abijah-na Asa pok-i."
"New","40","1","8","Aduga Asa-na Jehoshaphat pok-i, Jehoshaphat-na Jehoram pok-i. Jehoram-na Uzziah pok-i."
"New","40","1","9","Aduga Uzziah-na Jotham pok-i, Jotham-na Ahaz pok-i, Ahaz-na Hezekiah pok-i."
"New","40","1","10","Aduga Hezekiah-na Manasseh pok-i, Manasseh-na Amon pok-i, Amon-na Josiah pok-i."
"New","40","1","11","Aduga makhoibu Babylon-da lanpha oina puba matam aduwaida Josiah-na Jeconiah amasung mahakki machin-manaosing pok-i."
"New","40","1","12","Adudagi makhoibu Babylon-da lanpha oina pukhraba matungda, Jeconiah-na Shealtiel pok-i, Shealtiel-na Zerubbabel pok-i."
"New","40","1","13","Aduga Zerubbabel-na Abiud pok-i, Abiud-na Eliakim pok-i, Eliakim-na Azor pok-i."
"New","40","1","14","Aduga Azor-na Zadok pok-i, Zadokna Akim pok-i, Akim-na Eliud pok-i."
"New","40","1","15","Aduga Eliud-na Eleazar pok-i, Eleazar-na Matthan pok-i, Matthan-na Jacob pok-i."
"New","40","1","16","Aduga Jacob-na Mary-gi mapuroiba Joseph pok-i. Mary-na Christta kouba Jisu-bu pok-i."
"New","40","1","17","Asumna Abrahamda-gi houraga David phaobagi miron pumnamak asi taramarini. Aduga David-tagi houraga makhoibu Babylon-da lanpha oina pukhiba phaoba miron taramarini. Aduga Babylon-da lanpha oina pukhibadagi Christta pokpa phaoba adu miron taramarini."
"New","40","1","18","Jisu Christta asi matou asumna pokkhi. Ibungogi mama Mary asi Joseph-ka luhongnabagi waroinaraga, makhoi ani leiminadringeigi mamangda mahak Thawai Asengbagi mapanna mironle haiba khanglakle."
"New","40","1","19","Adubu Joseph achumba chatpa mi ama oiba maramna, Marybu miyam mangda phongdoktuna ikai phiruk khumhanninglamde. Maram aduna mahakna mana-manin naidana Mary-bu thadoklage haina leplammi."
"New","40","1","20","Aduga mahakna asumna khallingeida, yeng-u, Mapu Ibungogi dut amana mamangda uhanbiduna asumna hairak-i, “He David-ki macha Joseph, Mary-bu nahakki nupi oina loubada kiganu, Maramdi mahakna naopuriba angang adu Thawai Asengbadagini."
"New","40","1","21","Aduga mahakna machanupa ama pokkani, nahakna mahakki maming Jisu thon-gadabani. Maramdi mahakna mahakki misingbu makhoigi paptagi kanbigani.””"
"New","40","1","22","Mapu Ibungona Tengban Mapugi wa phongdokpa maichousinggi mapanna phongdokpikhiba wasing adu thungnanaba pumnamak asi thoklare,"
"New","40","1","23","“Yeng-u, leisabi asengbi amana mironduna machanupa ama pokkani, aduga mahakki maming Immanuel kougani, masigi wahanthokti “‘Eikhoiga leiminaba Tengban Mapu’’ haibani.””"
"New","40","1","24","Aduga Joseph-na tumlambadagi hougatlaga, Mapu Ibungogi dut aduna piramba yathang adugi matung inna mahakna Mary-bu luhongduna loure."
"New","40","1","25","Adubu Mary-na machanupa adu poktriba phaoba Joseph-na mahakka phidinnaramde. Aduga mahakna angang adugi maming Jisu thonkhi."
"New","40","2","1","Herod Ningthougi haktakta, Judea-gi Bethlehem-da Jisu poklaba matungda, yeng-u, nongpoklomdagi khang-heiraba misingna Jerusalem-da laktuna hanglak-i,"
"New","40","2","2","“Jihudigi ningthou oina pokkhraba angang adu kadaida leibage? Maramdi nongpoklomda Ibungo mahakki thawanmichak thokpa eikhoina ure. Aduna eikhoina Ibungobu khurumjaba lakcharibani.””"
"New","40","2","3","Madu tabada Herod ningthou wakhal yamna langtaknarammi aduga Jerusalem-da leiriba mi pumnamaksu wakhal langtaknarammi."
"New","40","2","4","Adudagi mahakna athoiba purohitsing amasung Wayel Yathanggi ojasing pumnamak kouraduna Christta pokkadaba mapham adu kadaidano haina hanglammi."
"New","40","2","5","Maduda makhoina mangonda khumlak-i; “Judea-gi Bethlehem-da pokkani. Maramdi Tengban Mapugi wa phongdokpiba maichouna asumna haikhi:"
"New","40","2","6","“‘Judea-gi lamda leiba Bethlehem, nahakti Judah-gi leingakpasinggi maraktagi hanthaba natte; maramdi nangondagi eigi mi Israel-bu chingbigadaba leingakpa ama thoklakkani.’’ ””"
"New","40","2","7","Maduda Herod-na khang-heiraba mising adubu lonna kouraduna karamba matamda thawanmichak adu thokkhibage haibadu makhoidagi khangdokle."
"New","40","2","8","Adudagi mahakna makhoibu Bethlehem-da tharaduna hairak-i, “Nakhoina chattuna, pikliba angang adubu cheksinna thiyu; aduga nakhoina mahakpu hek phangbaga eihaknasu laktuna mahakpu khurumjanaba eingonda pao pirak-u.””"
"New","40","2","9","Makhoina ningthougi wa adu taraba matungda mapham adu thadoktuna chatkhre. Amasung makhoina nongpoklomda ukhiba thawanmichak aduna angang aduna leiriba mapham aduphaoba laktuna leptriphaoba makhoigi mamang thaduna chatlammi."
"New","40","2","10","Makhoina thawanmichak adu uba matamda hainingngai leitana haraojarammi."
"New","40","2","11","Adudagi makhoina yum adugi manungda changlaklammi. Amasung makhoina pikliba angang aduna mama Mary-ga loinana leiramba adu ubada khuru-khudak kunduna Ibungobu khurumjare. Aduga makhoina sana, kunduru amadi myrrh-gi khudonpot adu louthokchaduna Ibungoda khudol tamjare."
"New","40","2","12","Adudagi Tengban Mapuna makhoida Herod-ki manakta amuk halluraganu haina mamang amada khanghanbirabada makhoina atoppa lambi amada chattuna mareibakta hankhirammi."
"New","40","2","13","Amasung makhoina chatkhraba tungda, Mapu Ibungogi dut amana Joseph-ki mamangda uhanbiduna hairak-i, “Hougatlu, pikliba angang adu mamaga loinana puduna Egypt-ta chellu. Aduga eina nangonda amuk hallak-u haidriba phaoba mapham aduda leiyu. Maramdi Herod-na angang asibu hatnanaba thirakkadouri.””"
"New","40","2","14","Adudagi Joseph-na hougattuna ahing adumaktada angang adu mamaga loinana puraduna Egypt-ta chatkhi."
