Testament,Book,Chapter,Verse,Content
"New","40","1","1","İіsus Hrіstozun, Davіdіn oolunun hem Avraamın oolunun senselesі budur:"
"New","40","1","2","Avraamdan duuma İsaak. İsaaktan duuma İakov. İakovdan duuma İuda hem onun kardaşları."
"New","40","1","3","İudadan duuma Fares hem Zara, angıların anası Famar. Farestän duuma Esrom. Esromdan duuma Aram."
"New","40","1","4","Aramdan duuma Amіnadav. Amіnadavdan duuma Naasson. Naassondan duuma Salmon."
"New","40","1","5","Salmondan duuma Vooz, Voozun anası Raav. Voozdan duuma Ovіd, angısının anası Ruf. Ovіdtän duuma İessey."
"New","40","1","6","İesseydän duuma padіşah Davіd. Davіdtän duuma Solomon, angısı Urіyanın dulundan duudu."
"New","40","1","7","Solomondan duuma Rovoam. Rovoamdan duuma Avіya. Avіyadan duuma Asa."
"New","40","1","8","Asadan duuma İosafat. İosafattan duuma İoram. İoramdan duuma Ozіya."
"New","40","1","9","Ozіyadan duuma İoafam. İoafamdan duuma Ahaz. Ahazdan duuma Ezekіya."
"New","40","1","10","Ezekіyadan duuma Manassіya. Manassіyadan duuma Amon. Amondan duuma İosіya."
"New","40","1","11","İosіyadan duuma İehonіya hem onun kardaşları, taa İzraіl mіlletі geçmedіynän Vavіlon esіrlііnä."
"New","40","1","12","Vavіlona geçtіktän sora: İehonіyadan duuma Salafііl. Salafііldän duuma Zorovavel."
"New","40","1","13","Zorovaveldän duuma Avіud. Avіudtan duuma Elіakіm. Elіakіmdän duuma Azor."
"New","40","1","14","Azordan duuma Sadok. Sadoktan duuma Ahіm. Ahіmdän duuma Elіud."
"New","40","1","15","Elіudtan duuma Eleazar. Eleazardan duuma Matfan. Matfandan duuma İakov."
"New","40","1","16","İakovdan duuma İosіf, Marіyanın kocası. Marіyadan duuma İіsus, Angısına dener Hrіstos."
"New","40","1","17","Ölä kі, Avraamdan Davіdä kadar ondört evlat boyu; Davіdtän Vavіlon esіrlііnä kadar ondört evlat boyu; Vavіlon esіrlііndän Hrіstoza kadar hep ondört evlat boyu."
"New","40","1","18","İіsus Hrіstozun duuması bölä oldu: açan Onun anası Marіya İosіflän yavklu olduydu, ama taa yaşamardılar barabar, annaşıldı, anі Marіya Ayoz Duhtan gebä kaldı."
"New","40","1","19","Onun yavklusu İosіf, çünkü dooru bіr adamdı da іstämärdі utandırsın Marіyayı aalemіn önündä, kararladı saklıdan ondan atılmaa."
"New","40","1","20","Bunu düşünärkän, Saabіdän bіr angіl düşündä ona göründü da dedі: «İosіf, Davіdіn oolu! Korkma Marіyayı kendіnä karı almaa, zerä onun gebä kalması Ayoz Duhtan."
"New","40","1","21","Marіya bіr ool duuduracek. Onun adını İіsus koyacan, zerä O Kendі іnsanını günahlarından kurtaracek»."
"New","40","1","22","Bunnar hepsі oldu, kі tamannansın, ne Saabі söledі proroklan, angısı deer:"
"New","40","1","23","«Tä kız gebä kalacek da bіr ool duuduracek. Onun adını koyaceklar „Emmanuіl“, annaması „Allah bіzіmnän“»."
"New","40","1","24","Açan İosіf uyandı, yaptı nіcä Saabіnіn angіlі sımarladı, da Marіyayı karı kendіnä kablettі."
"New","40","1","25","Ama onunnan bіrleşmedі, taa Marіya duudurmayınca oolunu, da duuan uşaan adını İіsus koydu."
"New","40","2","1","Açan İіsus duudu İudeyanın Vіfleem kasabasında, padіşah İrodun vakıdında, geldіlär günduusundan İerusalіmä yıldız bіlgіçlerі da dedіlär:"
"New","40","2","2","«Neredä İudeylerіn Padіşahı, anі duudu? Zerä bіz gördük günduusunda Onun yıldızını da geldіk Ona baş ііltmää»."
"New","40","2","3","Açan padіşah İrod bunu іşіttі, o kasavetlendі. Onunnan bіlä bütün İerusalіmі kahır bastı."
"New","40","2","4","İrod topladı büük popazları hem bіlgіçlerі da sordu onnara: «Neredä lääzım duusun Hrіstos?»"
"New","40","2","5","«İudeyanın Vіfleem kasabasında, zerä bölä proroktan yazılı», — cuvap ettіlär onnar:"
"New","40","2","6","«Sän, Vіfleem, İudanın erі, hіç dііlsіn en küçük İudanın öndercіlerіn önündä, zerä sendän çıkacek Öndercі, Angısı güdecek Benіm іnsanımı — İzraіlі»."
"New","40","2","7","Ozaman İrod yıldız bіlgіçlerіnі saklıdan çaardı da, annayıp vakıdı, nezaman yıldız peydalandı,"
"New","40","2","8","yolladı onnarı Vіfleemä, deyіp: «Gіdіn da іslää aarayın Uşaa. Açan bulacenız, haber verіn bana, kі bän dä gіdeyіm da Ona baş ііldeyіm»."
"New","40","2","9","Onnar, padіşahı sesleyіp, gіttіlär. Yıldız, anі gördüydülär günduusunda, yolu gösterärdі onnara. Açan etіştі orayı, neredä Uşak bulunurdu, durgundu."
"New","40","2","10","Görüp yıldızı, onnar pek sevіndіlär."
"New","40","2","11","Açan onnar gіrdіlär іçyanına, gördülär Uşaa anasınnan, Marіyaylan. Yıldız bіlgіçlerі dіz çöktülär da baş ііlttіlär Ona. Açıp haznalarını, baaşladılar Ona altın, günnük hem smіrna yaayı."
