Testament,Book,Chapter,Verse,Content
"New","40","1","1","In se tocayomej de itajhuehuentzitzihuan Jesucristo yejhuan teicniu itech David niman Abraham."
"New","40","1","2","Abraham tajtli catca itech Isaac, niman Isaac tajtli catca itech Jacob, niman Jacob tajtli catca intech Judá niman icnihuan Judá."
"New","40","1","3","Judá tajtli catca intech Fares niman Zara, niman innan Fares niman Zara itoca catca Tamar. Fares tajtli catca itech Esrom, niman Esrom tajtli catca itech Aram."
"New","40","1","4","Aram tajtli catca itech Aminadab, niman Aminadab tajtli catca itech Naasón, niman Naasón tajtli catca itech Salmón."
"New","40","1","5","Salmón tajtli catca itech Booz, niman inan Booz itoca catca Rahab. Booz tajtli catca itech Obed, niman inan Obed itoca catca Rut. Obed tajtli catca itech Isaí,"
"New","40","1","6","niman Isaí tajtli catca itech rey David. Rey David tajtli catca itech Salomón, niman inan Salomón cahuajli catca itech Urías."
"New","40","1","7","Salomón tajtli catca itech Roboam, niman Roboam tajtli catca itech Abías, niman Abías tajtli catca itech Asa."
"New","40","1","8","Asa tajtli catca itech Josafat, niman Josafat tajtli catca itech Joram, niman Joram tajtli catca itech Uzías."
"New","40","1","9","Uzías tajtli catca itech Jotam, niman Jotam tajtli catca itech Acaz, niman Acaz tajtli catca itech Ezequías."
"New","40","1","10","Ezequías tajtli catca itech Manasés, niman Manasés tajtli catca itech Amón, niman Amón tajtli catca itech Josías."
"New","40","1","11","Josías tajtli catca intech Jeconías niman icnihuan. Niman yejhuamej nemiyaj ipan on tonaltin ijcuac on hebreos oquimajsiquej niman oquintzacuatoj ne ipan on país itoca Babilonia."
"New","40","1","12","Ijcuac on hebreos yoquintzacuatoj ne ipan on país itoca Babilonia, Jeconías onochiu tajtli itech Salatiel, niman Salatiel onochiu tajtli itech Zorobabel."
"New","40","1","13","Zorobabel tajtli catca itech Abiud, niman Abiud tajtli catca itech Eliaquim, niman Eliaquim tajtli catca itech Azor."
"New","40","1","14","Azor tajtli catca itech Sadoc, niman Sadoc tajtli catca itech Aquim, niman Aquim tajtli catca itech Eliud."
"New","40","1","15","Eliud tajtli catca itech Eleazar, niman Eleazar tajtli catca itech Matán, niman Matán tajtli catca itech Jacob."
"New","40","1","16","Jacob tajtli catca itech José yejhuan ihuehuentzin catca María, niman María nantli catca itech Jesús. Yejhua no itoca Cristo yejhuan quijtosnequi on yejhuan Dios quitlalia para tlamandaros."
"New","40","1","17","Yejhua ica, tej, Abraham hasta David, onochiu majtlactli huan nahui itajhuehuentzitzihuan Cristo. Niman David hasta on tonaltin ijcuac on hebreos oquimajsiquej niman oquintzacuatoj ne Babilonia, no onochiu majtlactli huan nahui itajhuehuentzitzihuan Cristo. Niman desde on tonaltin ijcuac on hebreos oquimajsiquej niman oquintzacuatoj ne Babilonia hasta onen Cristo, no ijqui onochiu majtlactli huan nahui itajhuehuentzitzihuan Cristo."
"New","40","1","18","Ijquin otlacat Jesucristo. María, on inan, yoquitlalijca compromiso para nonamictis ihuan José. Pero ijcuac xe san secan nemij, yejhua oquimat ica yocan se conetzintli. On conetzintli quitlacatilis ipampa ipoder on Espíritu Santo."
