Testament,Book,Chapter,Verse,Content
"New","40","1","1","Tshamba yo kubahwa kwa Jesu Kristu, mwana wa Dhavhidha, mwana wa Abrahama."
"New","40","1","2","Abrahama wakabara Isaka, na Isaka wakabara Jakobe, na Jakobe wakabara Judha, no vanukuna vake."
"New","40","1","3","Na Judha wakabara Faresi na Zara ndi Tamari; na Faresi wakabara Esiromi; na Esiromi wakabara Aramu;"
"New","40","1","4","na Aramu wakabara Aminadhabhi, na Aminadhabhi wakabara Nasoni; na Nasoni wakabara Saremona,"
"New","40","1","5","na Saremona wakabara Bhowazi ndi Rahabhi; na Bhowazi wakabara Obhedhi ndi Rute; na Obhedhi wakabara Jesi;"
"New","40","1","6","na Jesi wakabara Dhavhidha wayiva mambo; na Dhavhidha mambo wakabara Soromona ngo mukaji uwo wayiva wa Uriya;"
"New","40","1","7","na Soromona wakabara Robhowami; na Robhowami wakabara Abhiya; na Abhiya wakabara Asafi;"
"New","40","1","8","na Asafi wakabara Josafati; na Josafati wakabara Jorami; na Jorami wakabara Oziya;"
"New","40","1","9","na Oziya wakabara Jotami; na Jotami wakabara Ahazi; na Ahazi wakabara Hezekiya;"
"New","40","1","10","na Hezekiya wakabara Manasa; na Manasa wakabara Amoni; na Amoni wakabara Josiya;"
"New","40","1","11","na Josiya wakabara Jekoniya no vanukuna vake, ngo mukuvo wokutohwa kuenda Bhabhurona."
"New","40","1","12","Ngosure kwokutohwa kuenda, Jekoniya wakabara Saratieri; na Saratieri wakabara Zorobhabheri;"
"New","40","1","13","na Zorobhabheri wakabara Abhiyudhi; na Abhiyudhi wakabara Eriyakimi; na Eriyakimi wakabara Azori;"
"New","40","1","14","na Azori wakabara Zadhoki; na Zadhoki wakabara Akimi; na Akimi wakabara Eriyudhi;"
"New","40","1","15","na Eriyudhi wakabara Eriyazari; na Eriyazari wakabara Matani; na Matani wakabara Jakobe;"
"New","40","1","16","na Jakobe wakabara Josefa mwamuna wa Mariya, uwo wakazobereka Jesu unozwi."
"New","40","1","17","Ndizvo rusinga hwese kubvira kuna kuguma kuna Dhavhidha uri mibarihwana iri gumi na murongomuna; kubvira kuna Dhavhidha kuguma kwokutohwa kuenda Bhabhurona iri mibarihwana iri gumi na murongomuna; no kubvira kwokutohwa kuenda Bhabhurona mbhera kuguma kuna Kristu iri mibarihwana iri gumi na murongomuna."
"New","40","1","18","Zvino kubahwa kwa Jesu Kristu kwayinga kwakadari: Apo Mariya mayi wake wayinga aemesehwa kuchadha na Josefa, vasati vasongana, iye wakavoneka uno mimba yo Mweya Wakachena."
"New","40","1","19","Na Josefa mwamuna wake ngokuti wayiva mundhu wakarurama, asikadi kuti amupsheruje, wayida kuti amurambe ngo kufishika."
"New","40","1","20","Kwakati acharangarija ndizvo, vonayi, ngirosi ya Mambo yakavoneka kwaari ngo kurota, yechiti: Josefa, iwewe mwana wa Dhavhidha, usatya kutora Mariya mukaji wako; ngokuti mimba iyo yaanayo iri yo Mweya Wakachena."
"New","40","1","21","Unozobereka mwana worume; newe unozodura zina rake 18 kuti Jesu; ngokuti ndiye unozoponesa vandhu vake kubva kuzvishaishi zvavo."
"New","40","1","22","Zvino izvi zvakaitika kuti zvizarisike izvo zvakavereketwa ndi Mambo kubudikija ngo muprofeti, echiti:"
