Testament,Book,Chapter,Verse,Content
"New","40","1","1","Kunin kitaaba maqaa warra Yesus Kiristoon keessaa dhalate. Yesus Kiristoon dhaloota Daawit, Daawit dhaloota Abrahaam. Yoseefiin, dhirsi Maariyami haadha Yesus kiristoo ka Yaaqoob, Yaaqoob ka Maattaan, Maattaan ka Ele'azaar; Ele'azaar ka Eliyud; Eliyud ka Akim; Akim ka Zaadoq; Zaadoq ka Azor; Azor ka Eeliyaqim; Eeliyaqim ka Abiyuud; Yahuda ka Zarubaabel; Zarubaabel ka Salaatini'el; Salaatini'el ka Yekoniyas; warrii maqaa isaanii armaa olitti barreeffamee kun warra eegii gosa Israa'el booji'anii lafa Baabilon geessan dhalate. Yekoniyasii fi obbooleeyyan isaa ta Yosiyas; jarii kun bara gosa Israa'el booji'anii lafa Baabilon geessan dhalate. Yosiyas ka Amos; Amos ka Maase; Maaseen ka Hisqiyas; Hisqiyas ka Akaaz; Akaaz ka Yo'atinaam; Yo'atinaam ka Oziyas; Oziyas ka Yooraam; Yooraam ka Yoshaafaax; Yoshaafaax ka Asaaf; Asaaf ka abiiyi; Abiiyi ka Rehobi'aam; Reh obi'aam ka Solomoon; Solomoon ka Daawit (haatini isaa Uriiya); Daawiti hayyu Israa'el ka Isey; Isey ka Yoobeed; Yoobeed ka Bo'az; (haatini isaa Ruuth); Bo'az ka Salmoon (haatini isaa Rahaab); Salamoon ka Nahasoon; Nahasoon ka Amaadaab; Amaadaab ka Aaram; Aaram ka Hesroom; Hesroom ka Faares; Faaresii fi Zaara ta Yihuudaa (haatini isan Taamaar); Yihuudaa fi oboleeyan isaa ta Yaaqoob; Yaaqoob ka Yisaniihaqi; Yisaniihaqi ka Abrahaam;"
"New","40","1","2","Duuba akkanaan Abrahaamii fi Daawit jidduu dhalootii kudhanii afuriitti jira, ammallee kudhanii afurii dhibiitti Daawitii fi ganna gosa Israa'el booji'anii lafa Baabilon geessan jidduu jira, akkasuma ammallee dhalootii kudhanii afurii gaafasii fi dhaloota Kiristoo jidduu jira."
"New","40","1","3","Dhalootii Yesus Kiristoo akkana, Yoseef haadha isaa Maariyam kadhatee, adoo warrii dhiirsaa fi niitii hinta'in, isii Hafuura Qulqulloon garaachoofte argan."
"New","40","1","4","Yoseefiin, isii kadhate sun, nama dansaa isii ceersuu hinfeenee, ammoo dhossaan lakkisuu fedhe."
"New","40","1","5","Adoo innii waan kana herreguu, ergamaan Aabboo oobjuun isatti mullatee, “Yoseef, ilma Daawati, garaachii isiin qabdu kunin ka Hafuura Qulqullootii Maariyam fuudhuu hinsodaatin."
"New","40","1","6","Isiin ilma deetti, duuba atin maqaa isaa Yesus baas, maaliif innii gumii ufii cufa cubbuu keessaa baasa” jedheen."
"New","40","1","7","Wantii kunin cuftii akka wantii Aabboon afaan raagatiin,"
"New","40","1","8","“Ilaalaa, intaltii dubraa garaachoofteetti ilma deettii, maqaa isa Amaanu'el baasan” jedhee dubbate guutamtuuf taate. Akkas jechuun Waaqii nu waliin jira jechuu."
"New","40","1","9","Yoseef hirriiba dammaqee waan ergamaan Aabboo jedheen tolchee, Maariyam fuudhe."
"New","40","1","10","Haga isiin ilma hinda'in ammoo niitii hintolfanne. Jennaan mucaan dhalannaan Yoseef maqaa isaa Yesus baase."
