Testament,Book,Chapter,Verse,Content
"New","40","1","1","[1-6а] Родословная Иису́са Христа, потомка Давида и Авраама. Вот Его предки: От Авраама до царя Давида: Авраам, Исаак, Иаков, Иуда и его братья, Па́рец и Зе́рах (их матерью была Тама́р), Хецро́н, Рам, Амминада́в, Нахшо́н, Салмо́н, Бо́аз (его матерью была Раа́в), Ове́д (его матерью была Руфь), Иессе́й, царь Давид."
"New","40","1","2","***"
"New","40","1","3","***"
"New","40","1","4","***"
"New","40","1","5","***"
"New","40","1","6","[6б-11] От Давида до выселения в Вавилон: Давид, Соломон (его матерью была бывшая жена У́рии), Рехава́м, Авия, Аса́ф, Иосафа́т, Иора́м, Озия, Иофа́м, Аха́з, Езекия, Манассия, Амо́ц, Иосия, Иехо́ния и его братья."
"New","40","1","7","***"
"New","40","1","8","***"
"New","40","1","9","***"
"New","40","1","10","***"
"New","40","1","11","***"
"New","40","1","12","[12-16] После выселения в Вавилон и до рождения Иисуса: Иехо́ния, Шеалтиэл, Зороваве́ль, Авиу́д, Элиаким, Азо́р, Цадо́к, Ахим, Элиу́д, Элеаза́р, Матта́н, Иаков, Иосиф, муж Марии, матери Иисуса, называемого Христом, то есть Помазанником."
"New","40","1","13","***"
"New","40","1","14","***"
"New","40","1","15","***"
"New","40","1","16","***"
"New","40","1","17","Всех поколений от Авраама до Давида было четырнадцать, от Давида до выселения в Вавилон — четырнадцать, и от выселения в Вавилон до рождения Помазанника — четырнадцать."
"New","40","1","18","Вот как родился Иисус Христос. Его мать Мария была обручена с Иосифом, но, прежде чем они вступили в брак, обнаружилось, что Мария ждет ребенка от Духа Святого."
"New","40","1","19","Иосиф, ее нареченный, как человек праведный, решил разорвать помолвку, но тайно, чтобы не выставлять ее на позор."
"New","40","1","20","Когда же он это задумал, явился ему во сне ангел от Господа. «Иосиф, сын Давида, не бойся взять Марию в жены, — сказал он. — Ребенок, которого она носит, зачат от Духа Святого."
"New","40","1","21","Она родит сына, и ты назовешь Его Иисусом, потому что Он спасет Свой народ от грехов»."
"New","40","1","22","Все это произошло, чтобы исполнилось то, что сказал Господь через пророка:"
"New","40","1","23","	«И вот дева зачнет и родит сына, Его назовут Эммануил», что значит «С нами Бог»."
"New","40","1","24","Иосиф, пробудившись ото сна, поступил так, как велел ему ангел Господень: взял Марию как жену к себе в дом."
"New","40","1","25","Но он не прикасался к ней до тех пор, пока она не родила Сына. Он назвал Его Иисусом."
"New","40","2","1","И вот после того как в иудейском городе Вифлее́ме, при царе Ироде, родился Иисус, в Иерусалим явились с востока звездочеты."
"New","40","2","2","«Где новорожденный царь иудеев? — спрашивали они. — Мы видели, как взошла Его звезда, и пришли воздать Ему почести»."
"New","40","2","3","Царь Ирод, услышав об этом, пришел в смятение, а с ним и весь Иерусалим."
"New","40","2","4","Собрав всех старших священников и учителей Закона, он спросил у них, где надлежит родиться Помазаннику."
"New","40","2","5","«В иудейском городе Вифлееме, — ответили они. — Потому что так написано пророком:"
"New","40","2","6","„И ты, Вифлеем, земля Иуды, не самый малый средь главных городов Иуды: из тебя произойдет вождь, пастырь народа Моего Израиля“»."
"New","40","2","7","Тогда Ирод, тайно призвав к себе звездочетов, выведал у них точное время появления звезды"
"New","40","2","8","и направил их в Вифлеем, сказав им: «Ступайте и все в точности разузнайте о ребенке. А когда найдете Его, дайте мне знать, я тоже приду воздать Ему почести»."
"New","40","2","9","Выслушав царя, они отправились в путь. И вдруг звезда, восход которой они видели, стала двигаться перед ними, пока не остановилась над тем местом, где был ребенок."
"New","40","2","10","Когда они увидели звезду, они очень сильно обрадовались."
"New","40","2","11","Войдя в дом, они увидели ребенка и Марию, Его мать, и, встав на колени, склонились перед Ним ниц, а потом, достав ларцы с сокровищами, преподнесли Ему в дар золото, ладан и смирну."
"New","40","2","12","Получив во сне повеление не возвращаться к Ироду, они отправились в свои края другой дорогой."
"New","40","2","13","После того как они ушли, ангел Господень является во сне Иосифу и говорит: «Встань, возьми ребенка с матерью и беги в Египет. Оставайся там до тех пор, пока не скажу тебе, ведь Ирод собирается разыскать ребенка и убить Его»."
"New","40","2","14","Тот встал, взял ребенка с матерью и ночью отправился в Египет."
"New","40","2","15","Там он оставался до смерти Ирода. Это произошло, чтобы исполнилось то, что сказал Господь через пророка: «Из Египта призвал Я Сына Моего»."
"New","40","2","16","Когда Ирод увидел, что звездочеты его провели, он пришел в ярость. Он приказал убить в Вифлееме и его окрестностях всех мальчиков в возрасте до двух лет, то есть рожденных в то время, о котором он узнал от звездочетов."
"New","40","2","17","И так исполнилось сказанное через пророка Иеремию:"
"New","40","2","18","«Слышен в Раме́ вопль, рыдания и стоны. Это Рахиль оплакивает своих детей и не хочет утешиться, потому что их больше нет»."
