Testament,Book,Chapter,Verse,Content
"New","40","1","1","Jisu Mạsi do Dạudakʼ bõsren ar Dạud do Abraham bõsren hoṛe tahekana. Jisu Mạsi reakʼ bõs budạ do nonkaleka."
"New","40","1","2","Abraham do Isạhak jonome emadea; Isạhak do Jakob jonome emadea, Jakob do Jihudạ jonome emadea ar uniren boehako;"
"New","40","1","3","Jihudạ do Phares jonome emadea ar Seroho hõ Thamar hotete; Phares do Hesrom jonome emadea; Hesrom do Aram jonome emadea;"
"New","40","1","4","Aram do Aminadab jonome emadea; Aminadab do Nahason jonome emadea; Nahason do Salmon jonome emadea."
"New","40","1","5","Salmon do Boas jonome emadea Rahab hotete; Boas do Obed jonome emadea Rut hotete; Obed do Jisại jonome emadea;"
"New","40","1","6","Ar Jisại do Dạud raj jonome emadea. Dạud do Solomon jonome emadea; Uriạ rinicʼ hotete;"
"New","40","1","7","Solomon do Rehoboam jonome emadea; Rehoboam do Abiạ jonome emadea; Abiạ do Asaph jonome emadea;"
"New","40","1","8","Asaph do Josaphat jonome emadea; Josaphat do Joram jonome emadea; Joram do Usiạ jonome emadea;"
"New","40","1","9","Usiạ do Jotham jonome emadea; Jotham do Ahas jonome emadea; Ahas do Hiskiạ jonome emadea;"
"New","40","1","10","Hiskiạ do Manase jonome emadea; Manase do Amos jonome emadea; Amos do Josiạ jonome emadea;"
"New","40","1","11","Josiạ do Jekhoniạ jonome emadea ar uniren boehako Babel disạmte bondikate idiko jokhecʼ."
"New","40","1","12","Babelte bondikate idiko tayom Jikhoniạ do Sealtiel jonome emadea; Sealtiel do Serubabel jonome emadea;"
"New","40","1","13","Serubabel do Abihud jonome emadea; Abihud do Eliạkim jonome emadea; Eliạkim do Asor jonome emadea;"
"New","40","1","14","Asor do Sadok jonome emadea; Sadok do Akhim jonome emadea; Akhim do Elihud jonome emadea;"
"New","40","1","15","Elihud do Eleasar jonome emadea; Eleasar do Mathan jonome emadea; Mathan do Jakob jonome emadea;"
"New","40","1","16","Jakob do Mạriạmren jãwãe Joseph jonome emadea; ar nui Mạriạm khonge Mạsiko metae Jisu doe janamlena."
"New","40","1","17","Ado nonka leka Abraham khon Dạud hạbicʼ gelpon piṛhi; Dạud khon Babelte bondikate idiko hạbicʼ gelpon piṛhi; ar Babelte bondi idiko tayom khon Mạsi hạbicʼ gelpon piṛhi."
"New","40","1","18","Jisu Mạsiakʼ janam do nonka leka hoelena. Jisuren eṅgat Mạriạm do Joseph tulucʼ baplakʼ reakʼ ṭhik akantae tahẽkana, menkhan unkin ạurikin mitʼ ṭhenokʼrege Sonot Jiu reakʼ daṛete Mạriạm doe bhạrti hoṛmoyena."
"New","40","1","19","Mạriạmren jãwãe Joseph do dhorom hoṛe tahẽkante hoṛko samaṅre Mạriạm lajaore paṛao ocoye do bae khojlakʼa; onate uni do mone monete Mạriạm bạgiye reakʼe goṭakeda."
"New","40","1","20","Ado Joseph noako reakʼ tinreye gunạnokʼkan tahẽkana unre Probhuren mitʼṭen goḍet do kukmũte uni ṭhen ńel ocoyenteye menkeda, “E Dạud bõsren Joseph; Mạriạm baplaye do alom botorokʼa, ente uniakʼ kukhire okoeye janam akan uni do sonot Jiu reakʼ daṛetegeye janam akana. Uniren do mitʼṭen koṛa gidrại hoyokʼtaea."
"New","40","1","21","Ar am do uniakʼ ńutum Jisum dohoetaea, ente uni do acʼren hoṛko akoakʼ kại khone bańcaokoa.”"
"New","40","1","22","Noa joto do hoyena nạbi hotete Probhui roṛletʼakʼ katha jemon purạukʼ: enkathae,"
"New","40","1","23","“Mitʼṭen kũạri kuṛi doe bhạrti hoṛmokʼa, ar uniren do mitʼṭen koṛa gidrại hoyokʼtaea; ar uniakʼ ńutum do Immanuel dohokʼtaea.” Ona reakʼ mane do, Abon tulucʼ Isor."
"New","40","1","24","Ado Probhuren goḍet okalekae hukumade tahẽkan, onkage Joshep do jạpitʼ khon beretʼkateye kạmikeda."
