Testament,Book,Chapter,Verse,Content
"New","40","1","1","Lista de antepasados de Jesucristo, que fue descendiente de David y de Abraham:"
"New","40","1","2","Abraham fue el padre de Isaac; Isaac, padre de Jacob; Jacob, padre de Judá y de sus hermanos;"
"New","40","1","3","Judá, padre de Fares y de Zera, cuya madre fue Tamar; Fares, padre de Jezrón; Jezrón, padre de Aram;"
"New","40","1","4","Aram, padre de Aminadab; Aminadab, padre de Naasón; Naasón, padre de Salmón;"
"New","40","1","5","Salmón, padre de Booz, cuya madre fue Rajab; Booz, padre de Obed, cuya madre fue Rut; Obed, padre de Isaí;"
"New","40","1","6","e Isaí, padre del rey David. David fue el padre de Salomón, cuya madre había sido la esposa de Urías;"
"New","40","1","7","Salomón, padre de Roboán; Roboán, padre de Abías; Abías, padre de Asá;"
"New","40","1","8","Asá, padre de Josafat; Josafat, padre de Jorán; Jorán, padre de Uzías;"
"New","40","1","9","Uzías, padre de Jotán; Jotán, padre de Acaz; Acaz, padre de Ezequías;"
"New","40","1","10","Ezequías, padre de Manasés; Manasés, padre de Amón; Amón, padre de Josías;"
"New","40","1","11","y Josías, padre de Jeconías y de sus hermanos en tiempos del destierro a Babilonia."
"New","40","1","12","Después del destierro a Babilonia, la lista continúa así: Jeconías fue el padre de Salatiel; Salatiel, padre de Zorobabel;"
"New","40","1","13","Zorobabel, padre de Abiud; Abiud, padre de Eliaquín; Eliaquín, padre de Azor;"
"New","40","1","14","Azor, padre de Sadoc; Sadoc, padre de Aquín; Aquín, padre de Eliud;"
"New","40","1","15","Eliud, padre de Eleazar; Eleazar, padre de Matán; Matán, padre de Jacob;"
"New","40","1","16","y Jacob, padre de José, que fue el esposo de María, de la cual nació Jesús, llamado el Cristo."
"New","40","1","17","En total hubo catorce generaciones desde Abraham hasta David, catorce desde David hasta el destierro a Babilonia, y catorce desde el destierro hasta el Cristo."
"New","40","1","18","El nacimiento de Jesucristo fue así: María, su madre, estaba comprometida para casarse con José, pero, antes de unirse a él, resultó que estaba embarazada por obra del Espíritu Santo."
"New","40","1","19","Como José, su esposo, era un hombre justo y no quería exponerla a vergüenza pública, decidió divorciarse de ella en secreto."
"New","40","1","20","Pero, cuando él estaba pensando hacer esto, un ángel del Señor se le apareció en sueños. El ángel le dijo: «José, hijo de David, no temas recibir a María por esposa, porque ella ha quedado embarazada por obra del Espíritu Santo."
"New","40","1","21","Dará a luz un hijo, y le pondrás por nombre Jesús, porque él salvará a su pueblo de sus pecados»."
"New","40","1","22","Todo esto sucedió para que se cumpliera lo que el Señor había dicho por medio del profeta:"
