Testament,Book,Chapter,Verse,Content
"New","40","1","1","KITABU eba ukoo wa Yesu Kristo, mwana wa Daud, mwana wa Ibrahimu."
"New","40","1","2","Ibrahimu alimzaa Isaak; Isaak akamzaa Yakob; Yakob akamzaa Yuda na ndugu zake;"
"New","40","1","3","Yuda na Tamar wakamzaa Parez na Zara; Parez akamzaa Esrom; Esrom akamzaa Aram;"
"New","40","1","4","Aram akamzaa Aminadab; Aminadab akamzaa Nahashon; Nahashon akamzaa Salmon;"
"New","40","1","5","Salmon na Rahab wakamzaa Boaz; Boaz na Ruth wakamzaa Obed; Obed akamzaa Yese;"
"New","40","1","6","Yese akamzaa mfalme Daud. Mfalme Daud na mke wa Uria wakamzaa Suleman;"
"New","40","1","7","Suleman akamzaa Rehoboam; Rehoboam akamzaa Abia; Abia akamzaa Asa;"
"New","40","1","8","Asa akamzaa Yehoshafat; Yehoshafat akamzaa Yoram; Yoram akamzaa Uzia;"
"New","40","1","9","Uzia akamzaa Yotham; Yotham akamzaa Ahaz; Ahaz akamzaa Hezekia;"
"New","40","1","10","Hezekia akamzaa Manasse; Manasse akamzaa Amon; Amon akamzaa Yosia;"
"New","40","1","11","Yosia akamzaa Yekonia na ndugu zake, wakati wa uhamisho wa Babel."
"New","40","1","12","Na haada ya uhamisho ule wa Babel, Yekonia akamzaa Shealtiel; Shealtiel akamzaa Zerubbabel;"
"New","40","1","13","Zerubbabel akamzaa Ahihud; Ahihud akamzaa Eliakim; Eliakim akamzaa Azor;"
"New","40","1","14","Azor akamzaa Sadok; Sadok akamzaa Ahim; Ahim akamzaa Eliud;"
"New","40","1","15","Eliud akamzaa Eleazar; Eleazar akamzaa Mattan; Mattan akamzaa Yakob;"
"New","40","1","16","Yakob akamzaa Yusuf mumewe Mariamu aliyemzaa YESU aitwae Kristo."
"New","40","1","17","Bassi vizazi vyote tangu Ibrahimu hatta Daud vizazi kumi na vine; na tangu Daud hatta uhamisho ule wa Babel vizazi kumi na vine; na tangu uhamisho ule wa Babel hatta Kristo vizazi kumi na vine."
"New","40","1","18","Na kuzaliwa kwake Yesu Kristo kulikuwa hivi. Mariamu mama yake alipoposwa na Yusuf, kabla hawajakaribiana, alionekana ana mimba kwa uweza wa Roho Mtakatifu."
"New","40","1","19","Nae Yusuf, mumewe, kwa kuwa mtu wa haki, asitake kumwaibisha, aliazimu kumwacha kwa siri."
"New","40","1","20","Alipokuwa akifikiri haya, malaika wa Bwana akamtokea katika udoto, akisema, Yusuf, mwana wa Daud, usikhofu kumchukua Mariamu mke wako, maana mimba yake ni kwa uweza wa Roho Mtakatifu."
"New","40","1","21","Nae atazaa mtoto mwanamume, nawe utamwita jina lake Yesu, maana, ndiye atakaewaokoa watu wake na dhambi zao."
"New","40","1","22","Haya yote yamekuwa, illi litimie neno lililonenwa na Bwana kwa ujumbe wa nabii akinena,"
"New","40","1","23","Angalia, mwanamke bikira atachukua mimba, nae atazaa mwana, Na watamwita jina lake Immanuel; tafsiri yake, Mungu kati yetu."
"New","40","1","24","Yusuf alipoamka katika usingizi, akatenda kama malaika wa Bwana alivyomwagiza;"
"New","40","1","25","akamchukua mkewe; asimjue kamwe hatta alipomzaa mwanawe wa kifungua mimba; akainwita jina lake YESU."
"New","40","2","1","ALIPOZALIWA Yesu katika Bethlehemu ya Yahudi zamani za mfalme Herode, majusi wa mashariki walifika Yerusalemi,"
"New","40","2","2","wakinena, Yuko wapi yeye aliyezaliwa mfalme wa Wayahudi? Kwa maana tuliiona nyola yake mashariki, nasi tumekuja kumsujudu."
"New","40","2","3","Mfalme Herode aliposikia haya, akafadhaika, na Yerusalemi pia pamoja nae."
"New","40","2","4","Akakusanya makuhani wakuu wote na waandishi wa watu, akatafuta khabari kwao, Kristo azaliwa wapi?"
"New","40","2","5","Nao wakamwambia, Katika Bethlehemu ya Yahudi; kwa maana ndivyo ilivyoandikwa na nabii,"
"New","40","2","6","Na wewe Bethlehemu wa inchi ya Yuda, Huwi mdogo kamwe katika majumbe ya Yuda: Kwa kuwa kwako atatoka liwali Atakaewachunga watu wangu Israeli."
"New","40","2","7","Kisha Herode akawaita majusi kwa faragha, akapata kwao hakika ya muda ile nyota ilipoonekana."
"New","40","2","8","Akawapeleka Bethlehemu, akasema, Shikeni njia, mkahoji sana mambo ya mtoto; mkiisha kumwona, nileteeni khabari, illi nami nije nimsujudie."
"New","40","2","9","Nao waliposikia maneno ya mfalme wakashika njia; na tazama ile nyota waliyoiona mashariki ikawatangulia, hatta ikaenda ikasimama juu ya mahali alipokuwapo mtoto."
"New","40","2","10","Walipoiona ile nyota, wakafurahi furaha kuliwa mno."
