Testament,Book,Chapter,Verse,Content
"New","40","1","1","Ибраһим һәм Давыт нәселеннән булган Гайсә Мәсихнең шәҗәрәсе менә мондый:"
"New","40","1","2","Ибраһим – Исхакның, Исхак – Ягъкубның, Ягъкуб – Яһүдәнең һәм аның агай-энеләренең,"
"New","40","1","3","Яһүдә – Тамардан туган Перес һәм Зерахның, Перес – Хесронның, Хесрон – Рамның,"
"New","40","1","4","Рам – Амминадабның, Амминадаб – Нахшонның, Нахшон – Салмонның,"
"New","40","1","5","Салмон – Рәхәбтән туган Богазның, Богаз – Руттан туган Обиднең, Обид – Ишайның,"
"New","40","1","6","Ишай исә Давыт патшаның әтисе иде. Давыт – Уриянең хатыныннан туган Сөләйманның,"
"New","40","1","7","Сөләйман – Рехабгамның, Рехабгам – Абиянең, Абия – Асаның,"
"New","40","1","8","Аса – Еһошафатның, Еһошафат – Йорамның, Йорам – Уззиянең,"
"New","40","1","9","Уззия – Иотамның, Иотам – Әхәзнең, Әхәз – Хизәкыйянең,"
"New","40","1","10","Хизәкыйя – Менашшеның, Менашше – Амонның, Амон исә Йошиянең әтисе иде."
"New","40","1","11","Исраил халкы Бабилгә сөрелгән дәвердә Йошиянең углы Якөнья һәм аның агай-энеләре туды."
"New","40","1","12","Бабилгә сөрелгәннән соң Якөньянең углы Шеһалтиел туды. Шеһалтиел – Зеруббабелның,"
"New","40","1","13","Зеруббабел – Абиһудның, Абиһуд – Эльякыймның, Эльякыйм – Аззурның,"
"New","40","1","14","Аззур – Садыйкның, Садыйк – Ахимнең, Ахим – Элиудның,"
"New","40","1","15","Элиуд – Элгазарның, Элгазар – Маттанның, Маттан – Ягъкубның,"
"New","40","1","16","Ягъкуб исә Мәрьям ире Йосыфның әтисе иде. Мәрьямнән Мәсих дип аталган Гайсә туды."
"New","40","1","17","Шулай итеп, Ибраһимнан – Давытка кадәр, Давыттан – Бабилгә сөрелгән вакытка кадәр һәм Бабилгә сөрелгән вакыттан башлап Мәсих туганга кадәр ундүртәр буын булды."
"New","40","1","18","Гайсә Мәсихнең тууы менә болайдыр: Аның анасы Мәрьям Йосыфка ярәшелгән иде, әмма алар өйләнешкәнче Мәрьямнең Изге Рухтан балага узганы ачыкланды."
"New","40","1","19","Аның кияве Йосыф, тәкъва кеше буларак, Мәрьямне оятка калдырмас өчен ярәшүне яшертен генә өзәргә ниятләде."
"New","40","1","20","Әмма шул турыда уйланып йөргәндә, төшендә аның янына Раббы фәрештәсе килеп: – Давытның нәсел варисы Йосыф! Мәрьямне хатынлыкка алырга курыкма. Карынында йөрткән баласы аның Изге Рухтан."
"New","40","1","21","Мәрьям Угыл тудырачак, һәм син Аңа Гайсә дип исем кушарсың, чөнки Ул Үз халкын гөнаһлардан коткарачак! – диде."
"New","40","1","22","Болар барысы да Раббының пәйгамбәр аша: «Менә, гыйффәтле кыз, авырга калып, угыл табачак, Аңа Иммануил дип исем кушарлар», – дип әйткән сүзләре гамәлгә ашсын өчен булды (бу исем «Аллаһы безнең белән» дигәнне аңлата)."
"New","40","1","23",""
"New","40","1","24","Йосыф, йокысыннан уянгач, Раббы фәрештәсе кушканча эшләде – Мәрьямгә өйләнде."
"New","40","1","25","Әмма Мәрьямнең Углы туганчы, Йосыф аңа якынаймады. Балага ул Гайсә дип исем кушты."
"New","40","2","1","Яһүдия җирендәге Бәйт-Лехем шәһәрендә Гайсә туганнан соң, Иерусалимгә көнчыгыштан йолдызчылар килде. Ул заманда Яһүдиядә Һируд патша идарә итә иде."
"New","40","2","2","– Яһүдиләрнең яңа туган Патшасы кайда? – дип сорашты алар кешеләрдән. – Көнчыгышта Аның йолдызын күреп, Аңа баш ияргә дип килдек без."
"New","40","2","3","Бу хакта ишеткәч, Һируд патша һәм аның белән бергә бөтен Иерусалим хафага төште."
"New","40","2","4","Һируд, барлык баш руханиларны һәм Канун белгечләрен җыеп, алардан Мәсихнең кайда туарга тиешлеген сорады."
"New","40","2","5","– Яһүдия җирендәге Бәйт-Лехем шәһәрендә, – диде алар, – чөнки пәйгамбәр аша Аллаһы болай дип әйткән:"
"New","40","2","6","«Ә син, Яһүдия җирендәге Бәйт-Лехем, Яһүдәнең бөек шәһәрләреннән һич тә ким түгелсең, чөнки синдә Юлбашчы туачак һәм Ул халкым Исраилнең Көтүчесе булачак»."
"New","40","2","7","Шуннан Һируд, йолдызчыларны яшертен генә чакыртып алып, алардан йолдызның төгәл калыккан вакытын белеште"
"New","40","2","8","һәм аларны Бәйт-Лехемгә җибәреп: – Барыгыз, Бала хакында барын да җентекләп белешегез. Аны тапкач, миңа хәбәр итегез. Мин дә барып Аңа баш иярмен, – диде."
"New","40","2","9","Патшаны тыңлап бетергәннән соң, йолдызчылар юлга чыктылар, ә көнчыгышта алар күргән йолдыз алларыннан барды һәм, Бала яткан урынга барып җиткәч, туктап калды."
"New","40","2","10","Йолдызны күрүләренә алар бик шат иде."
"New","40","2","11","Өйгә кергәч, алар Бала белән анасы Мәрьямне күрделәр һәм Бала каршында тезләнеп баш иделәр, аннары, хәзинәләрен чыгарып, Аңа алтын, ладан һәм мирра бүләк иттеләр."
"New","40","2","12","Төшләрендә Һируд янына кире кайтмаска дип Аллаһыдан кисәтү алгач, алар башка юл белән үз илләренә кайтып киттеләр."
"New","40","2","13","Алар китү белән, Раббы фәрештәсе Йосыфның төшенә кереп: – Бала белән анасын ал да Мисырга кач. Мин сиңа әйткәнгә кадәр шунда кал, чөнки Һируд Баланы табып үтерергә ниятли, – диде."
"New","40","2","14","Йосыф төнлә торды да, анасы белән Баланы алып, Мисырга китеп барды."
"New","40","2","15","Һируд үлгәнче, ул шунда яшәде. Раббының пәйгамбәр аша «Үземнең Углымны Мин Мисырдан чакырып алдым» дигән сүзе әнә шулай гамәлгә ашты."
"New","40","2","16","Йолдызчылар тарафыннан алданганын күреп, Һируд бик ярсыды. Шуннан ул, йолдызчылар сүзе буенча Баланың яшен чамалап, Бәйт-Лехемдәге һәм аның тирәсендәге ике яшькә җитмәгән барлык ир балаларны үтерергә боерды."
"New","40","2","17","Аллаһының Ишагыйя пәйгамбәр аша: «Рамаһ шәһәрендә бер тавыш – ачыргаланып, иңрәп елаган тавыш ишетелә. Балаларын кызганып Рахилә елый анда; һичкемнең юатуын теләми ул, чөнки балалары юк инде», – дип әйткән сүзләре әнә шулай гамәлгә ашты."
"New","40","2","18",""
"New","40","2","19","Һирудның вафатыннан соң, Мисырда Йосыфның төшенә Раббы фәрештәсе кереп:"
"New","40","2","20","– Тор, Бала белән Аның анасын алып, Исраил җиренә әйләнеп кайт. Баланы юк итәргә теләүчеләр инде үлде, – диде."
"New","40","2","21","Йосыф торды да, Бала белән Аның анасын алып, Исраил җиренә юнәлде."
