Testament,Book,Chapter,Verse,Content
"New","40","1","1","İbrahim’in ve Davud’un neslinden gelen İsa Mesih’in soy kaydı:"
"New","40","1","2","İbrahim İshak’ın babasıydı. İshak Yakub’un babasıydı. Yakub, Yahuda ve kardeşlerinin babasıydı."
"New","40","1","3","Yahuda Tamar’dan doğan Peres’le Zerah’ın babasıydı. Peres Hesron’un babasıydı. Hesron Ram’ın babasıydı."
"New","40","1","4","Ram Amminadav’ın babasıydı. Amminadav Nahşon’un babasıydı. Nahşon Salmon’un babasıydı."
"New","40","1","5","Salmon Rahav’dan doğan Boaz’ın babasıydı. Boaz Rut’tan doğan Oved’in babasıydı. Oved İşay’ın babasıydı."
"New","40","1","6","İşay, Kral Davud’un babasıydı. Davud, Uriya’nın karısından doğan Süleyman’ın babasıydı."
"New","40","1","7","Süleyman Rehavam’ın babasıydı. Rehavam Aviya’nın babasıydı. Aviya Asa’nın babasıydı."
"New","40","1","8","Asa Yehoşafat’ın babasıydı. Yehoşafat Yoram’ın babasıydı. Yoram Uzziya’nın babasıydı."
"New","40","1","9","Uzziya Yotam’ın babasıydı. Yotam Ahaz’ın babasıydı. Ahaz Hizkiya’nın babasıydı."
"New","40","1","10","Hizkiya Manaşşe’nin babasıydı. Manaşşe Amon’un babasıydı. Amon Yoşiya’nın babasıydı."
"New","40","1","11","Yoşiya, Yehoyakin’in ve kardeşlerinin babasıydı. Bunlar, Babil Sürgünü zamanında doğdular."
"New","40","1","12","Yehoyakin, Babil Sürgünü’nden sonra doğan Şealtiel’in babasıydı. Şealtiel de Zerubbabil’in babasıydı."
"New","40","1","13","Zerubbabil Avihud’un babasıydı. Avihud Elyakim’in babasıydı. Elyakim Azor’un babasıydı."
"New","40","1","14","Azor Sadok’un babasıydı. Sadok Ahim’in babasıydı. Ahim Elihud’un babasıydı."
"New","40","1","15","Elihud Elazar’ın babasıydı. Elazar Mattan’ın babasıydı. Mattan Yakub’un babasıydı."
"New","40","1","16","Yakub Yusuf’un babasıydı. Yusuf Meryem’in kocasıydı. Meryem’den Mesih diye bilinen İsa dünyaya geldi."
"New","40","1","17","Böylece İbrahim’den Davud’a kadar on dört nesil, Davud’dan İsrailoğullarının Babil’e sürülmesine kadar on dört nesil, Babil Sürgünü’nden Mesih’e kadar on dört nesil geçti."
"New","40","1","18","İsa Mesih’in dünyaya gelmesi şöyle oldu: Annesi Meryem, Yusuf’la nişanlıydı. Fakat evlenmelerinden önce Meryem’in Mukaddes Ruh vasıtasıyla hamile olduğu anlaşıldı."
"New","40","1","19","Meryem’in nişanlısı Yusuf sâlih bir adamdı. Onu herkesin önünde utandırmak istemedi; nişanı sessizce bozmaya karar verdi."
"New","40","1","20","Böyle düşününce Rab’bin meleği Yusuf’a rüyada göründü; ona şöyle dedi: “Davud oğlu Yusuf, Meryem’le evlenmekten çekinme. Onun rahmindeki, Mukaddes Ruh’tandır."
"New","40","1","21","Meryem bir oğul doğuracak, O’nun adını İsa koyacaksın. Çünkü halkını günahlarından O kurtaracak.”"
"New","40","1","22","Böylece Rab’bin Yeşaya Peygamber’in ağzıyla söylediği şu sözler yerine geldi:"
"New","40","1","23","“Kız hamile kalacak ve bir oğul doğuracak. Çocuğa İmmanuel adını verecekler.” İmmanuel, ‘Allah bizimle’ demektir."
"New","40","1","24","Yusuf uyanınca Rab’bin meleğinin dediğini yaptı. Meryem’le evlendi."
"New","40","1","25","Fakat çocuk doğuncaya kadar Meryem’e el sürmedi. Doğan çocuğa İsa adını verdi."
"New","40","2","1","İsa, Kral Hirodes’in zamanında Yahudiye bölgesindeki Beytlehem şehrinde doğdu. Doğumundan sonra doğulu müneccimler Kudüs’e geldi."
"New","40","2","2","Bunlar halka şunu sordu: “Yahudilerin kralı olarak dünyaya gelen çocuk nerede? O’nun doğduğunu gösteren yıldızı gördük, O’na secde etmeye geldik.”"
"New","40","2","3","Kral Hirodes bunu duydu, bütün Kudüs halkıyla birlikte telaşa kapıldı."
"New","40","2","4","Bütün başrahipleri ve din âlimlerini bir araya topladı. Onlara Mesih’in nerede doğacağını sordu."
"New","40","2","5","Onlar şöyle cevap verdiler: “Yahudiye’deki Beytlehem şehrinde. Çünkü Allah eski peygamberlerden biri vasıtasıyla şöyle dedi:"
"New","40","2","6","‘Sen, ey Yahuda’daki Beytlehem, Yahuda beylikleri arasında hiç de önemsiz değilsin. Çünkü halkım İsrailoğullarını güdecek önder senden çıkacak.’”"
"New","40","2","7","Hirodes müneccimleri çağırtarak onlarla gizlice görüştü. Yıldızı kesin olarak ilk ne zaman gördüklerini sordu."
"New","40","2","8","Sonra müneccimlere şöyle dedi: “Gidin, çocukla ilgili her şeyi araştırın. O’nu bulduğunuzda haber verin. Ben de geleyim, O’nun önünde secde edeyim.” Sonra onları Beytlehem’e gönderdi."
"New","40","2","9","Müneccimler kralın emrine uyarak gittiler. Daha önce gördükleri yıldız onlara yol gösterdi. Çocuğun bulunduğu yerin üzerine gelince durdu."
"New","40","2","10","Yıldızın durduğunu görünce büyük sevinç duydular."
"New","40","2","11","Eve girdiler, çocukla annesi Meryem’i gördüler. O’nun önünde yere kapanarak secde ettiler. Hazine sandıklarını açtılar, O’na hediyeler sundular. Bu hediyeler altın, günnük ve mürdü."
"New","40","2","12","Sonra Allah onları Hirodes’e dönmemeleri için rüyada uyardı. Bu sebeple ülkelerine başka yoldan döndüler."
"New","40","2","13","Müneccimler gittikten sonra Rab’bin meleği rüyada Yusuf’a göründü. Ona şöyle dedi: “Kalk! Çocuğu ve annesini al, Mısır’a kaç. Hirodes çocuğu öldürmek istiyor. Yakında O’nu aratmaya başlayacak. Ben haber verene kadar Mısır’da kalın” dedi."
