Testament,Book,Chapter,Verse,Content
"New","40","1","1","LLyver cenedleth Iesu Christ vap Dauid, vap Abrahā,"
"New","40","1","2","Abraham a genetlodd Isaac. Ac Isaac a genetlodd Iaco b. Ac Iaco b a genetloedd Iudas, a ei vroder."
"New","40","1","3","Ac Iudas a genetloedd Phares, a’ Zara o Thamar. A’ Phares a genetlawdd Esrom. Ac Esrom a genetlawð Aram."
"New","40","1","4","Ac Aram a genetloð Aminadab. Ac Aminadab a genetloð Naasson. A’ Naasson a genetlawdd Salmō."
"New","40","1","5","A’ Salmō a genetloð Booz o Rachab. A’ Booz a genetlawdd Obed o Ruth. Ac Obed a genetlawdd Iesse."
"New","40","1","6","Ac Iesse a genetlawdd Dauid Vrenhin. A’ Dauid Vrenhin a genetlawdd Solomon o hon oedd vvreic Urias."
"New","40","1","7","A’ Solomon a genetlawdd Roboam. A’ Roboam a genetlodd Abia. Ac Abia a genetloedd Asa."
"New","40","1","8","Ac Asa a genetlawdd Iosaphat. Ac Iosaphat a genetlawdd Ioram. Ac Ioram a genetlawdd Ozias."
"New","40","1","9","Ac Ozias a genetlawdd Ioatham. Ac Ioatham a genetlawdd Achaz. Ac Achaz a genetlawdd Ezecias."
"New","40","1","10","Ac Ezecias a genetlawdd Manasses. A’ Manasses a genetlawdd Amon. Ac Amon a genetlawdd Iosias."
"New","40","1","11","Ac Iosias a genetlawdd Iacim. Ac Iacim a genetlawdd Iechonias, a’ ei vroder yn‐cylch amser ei traigl i Vabylon."
"New","40","1","12","Ac yn ol ei treiglo hwy i Vabylon, Iechonias a genetloedd Salathiel. A’ Salathiel a genetlawdd Zorababel."
"New","40","1","13","A’ Zorobabel a genetlawdd Abiud. Ac Abiud a genetlawdd Eliacim. Ac Eliacim a genetlawdd Azor."
"New","40","1","14","Ac Azor a genetlawdd Sadoc. A’ Sadoc a genetloedd Achim. Ac Achim a genetlawdd Eliud."
"New","40","1","15","Ac Eliud a genetlawdd Eleazar. Ac Eleazar a genetlawdd Matthan. A’ Matthan a genetlawdd Iacob."
"New","40","1","16","Ac Iacob a genetlawdd Ioseph, gwr Mair, o’r hon y ganet Iesu yr hwn a elwir Christ."
"New","40","1","17","A’r oll genedlaethae o Abraham i Ddauid, pedair Cenedlaeth ar ddec: ac o Dauid yd y treigl ir Babilon, pedair cenedlaeth ar ddec: ac o’r treigl i Vabylon yd Christ, pedair cenedlaeth ar ddec."
"New","40","1","18","¶ A’ genedigaeth Iesu Christ oedd val hyn, wedy dyweddio Mair ei vam ac Ioseph, cyn na ei dyvot wy ynghyt, hi a gahat yn veichioc o’r Yspryt glan."
