Testament,Book,Chapter,Verse,Content
"Old","1","1","1","בראשית ברא אלהים את השמים ואת הארץ:"
"Old","1","1","2","והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים:"
"Old","1","1","3","ויאמר אלהים יהי אור ויהי אור:"
"Old","1","1","4","וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך:"
"Old","1","1","5","ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד:"
"Old","1","1","6","ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים:"
"Old","1","1","7","ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן:"
"Old","1","1","8","ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני:"
"Old","1","1","9","ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן:"
"Old","1","1","10","ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב:"
"Old","1","1","11","ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן:"
"Old","1","1","12","ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב:"
"Old","1","1","13","ויהי ערב ויהי בקר יום שלישי:"
"Old","1","1","14","ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים:"
"Old","1","1","15","והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן:"
"Old","1","1","16","ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים:"
"Old","1","1","17","ויתן אתם אלהים ברקיע השמים להאיר על הארץ:"
"Old","1","1","18","ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי טוב:"
"Old","1","1","19","ויהי ערב ויהי בקר יום רביעי:"
"Old","1","1","20","ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף על הארץ על פני רקיע השמים:"
"Old","1","1","21","ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב:"
"Old","1","1","22","ויברך אתם אלהים לאמר פרו ורבו ומלאו את המים בימים והעוף ירב בארץ:"
"Old","1","1","23","ויהי ערב ויהי בקר יום חמישי:"
"Old","1","1","24","ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו ארץ למינה ויהי כן:"
"Old","1","1","25","ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמש האדמה למינהו וירא אלהים כי טוב:"
"Old","1","1","26","ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ:"
"Old","1","1","27","ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם:"
"Old","1","1","28","ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ:"
"Old","1","1","29","ויאמר אלהים הנה נתתי לכם את כל עשב זרע זרע אשר על פני כל הארץ ואת כל העץ אשר בו פרי עץ זרע זרע לכם יהיה לאכלה:"
"Old","1","1","30","ולכל חית הארץ ולכל עוף השמים ולכל רומש על הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן:"
"Old","1","1","31","וירא אלהים את כל אשר עשה והנה טוב מאד ויהי ערב ויהי בקר יום הששי:"
"Old","1","2","1","ויכלו השמים והארץ וכל צבאם:"
"Old","1","2","2","ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו אשר עשה:"
"Old","1","2","3","ויברך אלהים את יום השביעי ויקדש אתו כי בו שבת מכל מלאכתו אשר ברא אלהים לעשות:"
"Old","1","2","4","אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים ארץ ושמים:"
"Old","1","2","5","וכל שיח השדה טרם יהיה בארץ וכל עשב השדה טרם יצמח כי לא המטיר יהוה אלהים על הארץ ואדם אין לעבד את האדמה:"
"Old","1","2","6","ואד יעלה מן הארץ והשקה את כל פני האדמה:"
"Old","1","2","7","וייצר יהוה אלהים את האדם עפר מן האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה:"
"Old","1","2","8","ויטע יהוה אלהים גן בעדן מקדם וישם שם את האדם אשר יצר:"
"Old","1","2","9","ויצמח יהוה אלהים מן האדמה כל עץ נחמד למראה וטוב למאכל ועץ החיים בתוך הגן ועץ הדעת טוב ורע:"
"Old","1","2","10","ונהר יצא מעדן להשקות את הגן ומשם יפרד והיה לארבעה ראשים:"
"Old","1","2","11","שם האחד פישון הוא הסבב את כל ארץ החוילה אשר שם הזהב:"
"Old","1","2","12","וזהב הארץ ההוא טוב שם הבדלח ואבן השהם:"
"Old","1","2","13","ושם הנהר השני גיחון הוא הסובב את כל ארץ כוש:"
