Testament,Book,Chapter,Verse,Content
"Old","1","1","1","U početku Bog stvori nebo i zemlju."
"Old","1","1","2","Zemlja bijaše bezoblična i pusta. Tama se prostirala nad bezdanima; duh Božiji lebdio je nad vodama."
"Old","1","1","3","I Bog reče: „Neka bude svjetlost!” I bi svjetlost."
"Old","1","1","4","I vidje Bog da je svjetlost dobra; tad Bog odvoji svjetlost od tame."
"Old","1","1","5","I Bog svjetlost nazva dan a tamu noć. Tako bude večer, pa jutro: prvi dan."
"Old","1","1","6","I Bog reče: „Neka bude svod posred voda, neka brana bude među vodama!”"
"Old","1","1","7","I Bog načini svod i razdvoji vode ispod svoda od voda iznad. I bi tako."
"Old","1","1","8","I Bog nazva svod nebom. Tako dođe večer, pa jutro: drugi dan."
"Old","1","1","9","I Bog reče: „Neka se skupe vode pod nebom na jedno mjesto, da se kopno ukaže!” I bi tako."
"Old","1","1","10","I Bog nazva kopno zemljom, a skupljene vode morem. I vidje Bog da je dobro."
"Old","1","1","11","I Bog reče: „Neka iz zemlje niknu biljke i trava, što sjeme donose, blagorodna stabla na zemlji i neka svako po svojoj vrsti plod donosi što u sebi sadrži sjeme!” I bi tako."
"Old","1","1","12","I nikne iz zemlje trava i bilje što sjeme donose po svojoj vrsti; stabala što plodove rađaju i sjemena daju po vrsti svojoj. I Bog vidje da je dobro."
"Old","1","1","13","Tako dođe večer, pa jutro: treći dan."
"Old","1","1","14","I Bog reče: „Neka budu svjetla na svodu nebeskom da se razlikuju dan i noć te neka služe kao znakovi za određivanje vremena, dana i godina,"
"Old","1","1","15","i neka bude svjetlost na svodu nebeskom da zemlju obasjava!” I bi tako."
"Old","1","1","16","I Bog stvori dva velika svjetla, veće da vlada danju i manje da vlada noću: uz njih i zvijezde."
"Old","1","1","17","I Bog ih postavi na svod nebeski da zemlju obasjavaju"
"Old","1","1","18","i da danju i noću vladaju i dijele svjetlost od tame. I Bog vidje da je dobro."
"Old","1","1","19","Tako dođe večer, pa jutro: četvrti dan."
"Old","1","1","20","I Bog reče: „Neka u vodama vrvi mnoštvo živih bića i neka ptice lete iznad zemlje, svodom nebeskim.”"
"Old","1","1","21","I Bog stvori velike životinje morske i sva živa bića što se kreću, kojih je mnoštvo u vodi, po njihovoj vrsti, uz to stvori svakojakih ptica krilatih po vrsti njihovoj. I Bog vidje da je dobro."
"Old","1","1","22","I Bog ih blagoslovi govoreći: „Plodite se i napunite vode morske i neka se ptice na zemlji množe!”"
"Old","1","1","23","Tako dođe večer, pa jutro: peti dan."
"Old","1","1","24","Bog reče: „Neka zemlja rađa živa bića po vrsti njihovoj, stoku, gmazove i životinje zemaljske, po vrsti njihovoj!” I bi tako."
"Old","1","1","25","I Bog stvori životinje zemaljske po njihovoj vrsti i stoku po njihovoj vrsti i sve gmazove po njihovoj vrsti. I Bog vidje da je dobro."
"Old","1","1","26","I Bog reče: „Stvorimo čovjeka po svojoj slici, nama sličnog. Neka vlada ribama morskim i pticama nebeskim, i nad stokom, zemljom cijelom te svim gmazovima što puze zemljom.”"
"Old","1","1","27","Tako Bog stvori čovjeka po svojoj prilici, po slici Božijoj On ga stvori; stvori ih kao muško i žensko."
"Old","1","1","28","I Bog ih blagoslovi, i reče: „Plodite se i množite, zemlju napunite, sebi je potčinite; i vladajte ribama morskim i pticama nebeskim, i svim živim što se miče na zemlji!”"
"Old","1","1","29","Zatim Bog reče: „Gle, dao sam vam sve bilje što sjeme nosi, što raste na cijeloj površini zemaljskoj, sva stabla koja nose plodove pune sjemenja. Neka vam to služi kao hrana."
"Old","1","1","30","Svim životinjama zemaljskim, svim pticama nebeskim i svim gmazovima, svemu u čemu je dašak života, dadoh kao hranu bilje zeleno!” I bi tako."
"Old","1","1","31","I Bog vidje sve što je stvorio i gle, bijaše veoma dobro. Tako dođe večer, pa jutro: šesti dan."
