Testament,Book,Chapter,Verse,Content
"Old","1","1","1","Di destpêkê de Xwedê erd û ezman afirandin."
"Old","1","1","2","Erd vikîvala û bêşikil dibû, tariyê kûrahî radipêça. Ruhê Xwedê li ser rûyê avê digeriya."
"Old","1","1","3","Xwedê got: “Bila ronahî çêbe.” Ronahî çêbû."
"Old","1","1","4","Xwedê dît ku ronahî qenc e û wî ronahî ji tariyê veqetand."
"Old","1","1","5","Xwedê navê ronahiyê “Roj” û navê tariyê “Şev” danî. Bû êvar û sibe, ev roja pêşî bû."
"Old","1","1","6","Xwedê got: “Bila di nava avê de qûbeyek çêbe ku avê ji hev veqetîne.”"
"Old","1","1","7","Xwedê qûbeyek çêkir û ava bin qûbeyê, ji ava li serê wê veqetand. Wisa jî bû."
"Old","1","1","8","Xwedê navê qûbeyê “Ezman” danî. Bû êvar û sibe, ev roja diduyan bû."
"Old","1","1","9","Xwedê got: “Bila ava di bin ezmên de li derekê bicive û bejahî bê dîtin.” Wisa jî bû."
"Old","1","1","10","Xwedê navê bejahiyê “Erd” û navê ava civiyayî “Derya” danî. Xwedê dît ku ev qenc e."
"Old","1","1","11","Xwedê got: “Bila li erdê giya û şînahiyên bi dar û ber çêbin û li gorî cureyên xwe ber û fêkî bidin.” Wisa jî bû."
"Old","1","1","12","Erdê, giya û şînahiyên li gorî cureyên xwe ber didin û darên wiha gihandin ku berê wan di fêkiyê wan de ne. Xwedê dît ku ev qenc e."
"Old","1","1","13","Bû êvar û sibe, ev roja sisêyan bû."
"Old","1","1","14","Xwedê got: “Bila di qûbeya ezmên de ronahî çêbin ku roj û şevê ji hev veqetînin û ji roj, demsal û salan re bibin nîşan."
"Old","1","1","15","Bila ev di qûbeya ezmên de bibin ronahî ku ronahiyê bidin erdê.” Wisa jî bû."
"Old","1","1","16","Xwedê du ronahiyên mezin çêkirin: Ya mezin ji bo ku serweriyê li rojê bike, ya biçûk jî, ji bo ku serweriyê li şevê bike. Wî stêr jî çêkirin."
"Old","1","1","17","Xwedê ew di qûbeya ezmên de bi cih kirin ku ew ronahiyê bidin erdê,"
"Old","1","1","18","serweriyê li şev û rojê bikin û ronahî û tariyê ji hev veqetînin. Xwedê dît ku ev qenc e."
"Old","1","1","19","Bû êvar û sibe, ev roja çaran bû."
"Old","1","1","20","Xwedê got: “Bila av kerî bi kerî bi afirîdên jîndar tije be û bila li ser erdê, li qûbeya ezmên teyr bifirin.”"
"Old","1","1","21","Xwedê cinawirên deryayê yên mezin, hemû keriyên jîndar ên di avê de tevdigerin û teyrên ku difirin li gorî cureyên wan afirandin. Xwedê dît ku ev qenc e."
"Old","1","1","22","Xwedê ew pîroz û bereket kirin û got: “Zêde û berdar bin, ava deryayan dagirin. Bila teyr li erdê zêde bin.”"
"Old","1","1","23","Bû êvar û sibe, ev roja pêncan bû."
"Old","1","1","24","Xwedê got: “Bila erd li gorî cureyên wan afirîdên jîndar, heywanên kedî, afirîdên bi erdê ve dişêlin û heywanên kovî derîne.” Wisa jî bû."
"Old","1","1","25","Xwedê li gorî cureyên wan heywanên kovî, kedî û hemû afirîdên ku bi erdê ve dişêlin afirandin. Xwedê dît ku ev qenc e."
"Old","1","1","26","Xwedê got: “Em mirovan di sûretê xwe de çêkin ku bişibin me. Bila ew bibin serwerên masiyên avê, teyrên ezmanan, heywanên kedî, hemû afirîdên bi erdê ve dişêlin û seranserê dinyayê.”"
"Old","1","1","27","Xwedê mirov di sûretê xwe de, di sûretê Xwedê de afirandin. Wî ew bi awayê nêr û mê afirandin."
"Old","1","1","28","Xwedê ew pîroz û bereket kirin û ji wan re got: “Zêde û berdar bin, erdê dagirin û bixin bin serweriya xwe. Bibin serwerên masiyên deryayan, teyrên ezmanan û hemû afirîdên dişêlin.”"
"Old","1","1","29","Piştre Xwedê got: “Ez hemû giya û şînahiyên li ser tevahiya rûyê erdê ên ku tov didin û hemû darên ku tovê wê di fêkiyê wê de ye, didim we. Wê ev ji we re bibin xwarin."
"Old","1","1","30","Ji her tiştê ku hilma jiyanê pê re ye; hemû heywanên kovî, teyrên ezmanan û afirîdên dişêlin, ez hemû şînahiyan ji bo xwarinê didim wan.” Wisa jî bû."
"Old","1","1","31","Xwedê her tiştê çêkiribû dît ku qenc e. Bû êvar û sibe, ev roja şeşan bû."
"Old","1","2","1","Erd û ezman bi hemû nexşên xwe temam bûn."
"Old","1","2","2","Xwedê di roja heftan de karê xwe bir serî. Wî di roja heftan de ji hemû karên xwe bêhna xwe veda."
"Old","1","2","3","Xwedê roja heftan pîroz û bereket kir. Wekî rojeke pîroz kifş kir. Çimkî Xwedê di wê rojê de ji hemû afirandinên xwe, bêhna xwe veda."
"Old","1","2","4","Serpêhatiya afirandina erd û ezmanan ev e: Gava Xwedê Xudan erd û ezman afirandin,"
"Old","1","2","5","hê li erdê tu şitlekî çolê tunebû û tu giyayekî çolê şîn nebûbû. Çimkî Xwedê Xudan hê baran bi ser erdê ve nebarandibû û mirovê erdê bajo jî tunebû."
"Old","1","2","6","Lê ji erdê hilm radibû û av dida tevahiya rûyê erdê."
"Old","1","2","7","Xwedê Xudan Adem ji axa erdê çêkir û hilma jiyanê pif kir pozê wî. Bi vî awayî Adem bû canekî jîndar."
"Old","1","2","8","Xwedê Xudan li rojhilat, li Êdenê bexçeyek çand û Ademê ku şikil dabûyê danî wê derê."
"Old","1","2","9","Xwedê Xudan ji axê cûr bi cûr darên spehî û xweşfêkî gihandin. Di nava bexçeyê de dara jiyanê û dara zanîna qencî û xerabiyê jî hebû."
"Old","1","2","10","Çemek ji Êdenê dertê ku av dide bexçeyê. Li wir ji hev vediqete û dibe çar mil."
"Old","1","2","11","Navê çemê pêşî Pîşon e. Ew ber bi seranserê welatê Hawîlayê ve diherike ku li wir zêr heye."
"Old","1","2","12","Zêrê vî welatî qenc e û li vir benîştê daran û onîks jî hene."
"Old","1","2","13","Navê çemê diduyan Gîhon e ku ber bi seranserê welatê Kûş ê ve diherike."
"Old","1","2","14","Navê çemê sisêyan Dîcle ye û ber bi rojhilatê Aşûrê ve diherike. Çemê çaran jî Ferat e."
"Old","1","2","15","Xwedê Xudan Adem hilda û li nav Bexçeyê Êdenê danî ku li wê derê bixebite û ji bexçeyê hebe."
"Old","1","2","16","Xwedê Xudan li Adem emir kir û got: “Tu dikarî ji her dara bexçe bixwî,"
"Old","1","2","17","lê ji dara zanîna qencî û xerabiyê nexwe. Çimkî gava tu jê bixwî, tê esse bimirî.”"
"Old","1","2","18","Xwedê Xudan got: “Ne baş e ku Adem tenê bimîne, ezê alîkareke li gorî wî jê re çêkim.”"
"Old","1","2","19","Xwedê Xudan tevahiya heywanên erdê û teyrên ezmanan ji axê çêkir. Wî hemû anîn ba Adem ku bibîne, wê çi navî li wan bike. Adem bi çi navî bangî afirîdên jîndar kir, ew bû navê wan."
"Old","1","2","20","Adem nav li hemû heywanên kedî, heywanên kovî û teyrên ezmanan danî. Lê ji bo Adem alîkareke li gorî wî nehat dîtin."
"Old","1","2","21","Xwedê Xudan kir ku Adem bikeve xeweke giran. Hê di xewê de bû, wî parsûyekî wî derxist û goşt xist cihê wî."
"Old","1","2","22","Xwedê Xudan ji wî parsûyê ku ji bedena Adem derxistibû, jinekê çêkir û anî ba wî."
"Old","1","2","23","Li ser vê yekê Adem got: “Niha ev hestî ji hestiyê min, Goşt ji goştê min e. Wê jê re ‘Jin ’ bê gotin, Çimkî ew ji mêr hate hildan.”"
"Old","1","2","24","Ji ber vê yekê wê mêr dev ji dê û bavê xwe berde, xwe li jina xwe bigire û wê herdu bibin yek beden."
"Old","1","2","25","Adem û jina xwe, herdu jî tazî bûn û şerm nedikirin."
"Old","1","3","1","Di nav hemû heywanên kovî yên Xwedê Xudan çêkiribûn de yê herî jîr mar bû. Marî ji jinê re got: “Ma bi rastî jî Xwedê got: ‘Divê hûn ji tu dareke bexçeyê nexwin’?”"
"Old","1","3","2","Jinê ji marî re got: “Em dikarin ji fêkiyên darên li bexçeyê bixwin."
"Old","1","3","3","Lê Xwedê got: ‘Divê hûn ji fêkiyê dara li nava bexçeyê nexwin û dest nedinê yan na hûnê bimirin.’”"
"Old","1","3","4","Marî ji jinê re got: “Hûn qet namirin."
"Old","1","3","5","Çimkî Xwedê dizane, çaxê hûn ji wê bixwin, wê çavên we vebin û wekî Xwedê, hûnê bi qencî û xerabiyê bizanin.”"
"Old","1","3","6","Gava jinikê dît ku fêkiyê darê çêjdar e, li ber çavan xweş xuya dike û daxwaza zanabûnê dide, wê fêkiyek jê kir û xwar. Mêrê wê jî li ba wê bû. Wê fêkî da wî û mêrik jî xwar."
"Old","1","3","7","Li ser vê yekê çavên herduyan jî vebûn û wan fêm kir ku tazî ne. Pelên hejîran bi hev ve dirûtin û ji xwe re kirin daw."
"Old","1","3","8","Bihîstin ku dengê Xwedê Xudan, di hênikahiya rojê de, di nav bexçe de digere. Adem û jina xwe, ji hizûra Xwedê Xudan, xwe di nav darên bexçe de veşartin."
"Old","1","3","9","Lê Xwedê Xudan gazî Adem kir û got: “Tu li ku yî?”"
"Old","1","3","10","Adem got: “Min li bexçeyê tu bihîstî û ez tirsiyam, çimkî ez tazî bûm û min xwe veşart.”"
"Old","1","3","11","Xwedê Xudan got: “Kê ji te re got tu tazî yî? Ma te ji wê dara ku min ji te re gotibû: ‘Jê nexwe’ xwar?”"
"Old","1","3","12","Adem got: “Jinika te dabû min, fêkiyek ji wê darê da min û min jî xwar.”"
"Old","1","3","13","Xwedê Xudan ji jinikê re got: “Te çi kir?!” Jinikê got: “Marî ez xapandim, loma min xwar.”"
"Old","1","3","14","Li ser vê yekê Xwedê Xudan ji marî re got: “Ji ber ku te ev yek kir, Wê di nava hemû heywanên kedî û kovî de, Yê herî bi nalet tu bî. Tê li ser zikê xwe bişêlî, Di hemû rojên jiyana xwe de axê bixwî."
"Old","1","3","15","Ezê dijminatiyê bixim navbera te û jinê, Navbera ziriyeta te û ya wê. Wê serê te biperçiqîne, Tê jî êrîşî pehniya wî bikî.”"
"Old","1","3","16","Wî ji jinikê re got: “Gava zarokanînê ezê êşa te gelekî zêde bikim Û bi êş tê zarokê xwe bînî. Tê hewcedarê mêrê xwe bî Ewê jî serwerê te be.”"
"Old","1","3","17","Wî ji Adem re got: “Ji ber ku te guhdariya dengê jina xwe kir Û ji wê dara ku min ji te re gotibû ‘Divê tu nexwî’ te xwar, Ax ji rûyê te bi nalet bû. Tê di hemû rojên jiyana xwe de Bi zehmetî jê bixwî."
"Old","1","3","18","Wê ax stirî û diriyan bide te. Tê giyayên çolê bixwî."
"Old","1","3","19","Tê nanê xwe, bi xwêdana eniya xwe bixwî. Heta ku tu bizivirî axa tu jê hatî çêkirin. Çimkî tu ax î û tê vegerî axê.”"
"Old","1","3","20","Adem navê jina xwe Hewa danî. Çimkî ew bû diya hemû mirovan."
"Old","1","3","21","Xwedê Xudan ji Adem û jina wî re kincên çermîn çêkirin û li wan kirin."
"Old","1","3","22","Piştre Xwedê Xudan got: “Niha Adem bûye yekî mîna me, bi qencî û xerabiyê dizane. Êdî divê destûr neyê dayîn ku ew destê xwe dirêjî fêkiyê dara jiyanê bike, jê bixwe û her û her bijî.”"
"Old","1","3","23","Bi vî awayî Xwedê Xudan Adem ji Bexçeyê Êdenê derxist ku erdê jê hatibû çêkirin, bajo."
"Old","1","3","24","Piştî wî Adem qewitand û li aliyê rojhilatê Bexçeyê Êdenê, wî xerûb û şûrekî agiravêj ê bi her aliyî ve dizivire bi cih kirin ku parastina riya dara jiyanê biparêzin."
"Old","1","4","1","Adem bi Hewaya jina xwe re raza. Hewa bi zaro ma û Qayîn jê re çêbû. Wê got: “Bi alîkariya Xudan min kurek anî.”"
"Old","1","4","2","Wê piştre birayê wî Habîl anî dinyayê. Habîl bû şivanê pêz, Qayîn bû cotkar."
"Old","1","4","3","Piştî demekê, Qayîn ji hatina dexlê axê hinek anî û pêşkêşî Xudan kir."
"Old","1","4","4","Habîl jî, ji keriyê xwe yên ku nû hatine dinyayê, yên qelew anî. Xudan Habîl û pêşkêşiya wî qebûl kir."
"Old","1","4","5","Lê Qayîn û pêşkêşiya wî red kir. Qayîn gelek hêrs bû û rûyê xwe tirş kir."
"Old","1","4","6","Xudan ji Qayîn re got: “Tu çima hêrs bûyî û te çima rûyê xwe tirş kir?"
"Old","1","4","7","Heke tu ya rast bikî, ma ezê te qebûl nekim? Lê heke tu ya rast nekî, guneh li ber deriyê te, di kozikê de li benda te ye. Lê divê tu bi ser guneh bikevî.”"
"Old","1","4","8","Qayîn ji Habîlê birayê xwe re got: “Em herin çolê.” Gava ew li çolê bûn Qayîn êrîşî Habîlê birayê xwe kir û ew kuşt."
"Old","1","4","9","Xudan ji Qayîn pirsî: “Ka birayê te Habîl li ku ye?” Qayîn got: “Ez nizanim, ma ez nobedarê birayê xwe me?”"
"Old","1","4","10","Xudan got: “Te çi kir? Binêre! Dengê xwîna birayê te ji axê gazî min dike."
